,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CC_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-03-25,84094,3035,25154,71660,48940,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1939.0,-0.2701738530691845,22720,3.2494505759895667,-22119,-1.5963484434998911,0.022313432835820896,0.04689772606335805,-0.05598831548198635,0.006188757091284192,
2003-04-01,86614,2837,26436,72929,48371,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1951.0,-0.28353383979495234,24558,2.18564939234666,-23599,-1.7599353104858848,0.015152514427040395,0.050558535168927,0.006188757091284192,0.04100461301896474,
2003-04-08,82495,4638,29352,68615,44079,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",2031.0,-0.2974240863082611,24536,-0.025400050800101596,-24714,-1.2873207564596947,0.07636608870037447,0.1387761106207708,0.04100461301896474,-0.08124076809453473,
2003-04-15,79767,2290,31110,68573,39120,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1866.0,-0.369237905399476,29453,5.960361234014182,-28820,-4.977271349778775,0.04643755861569461,0.12293413173652695,-0.08124076809453473,0.0760986066452305,
2003-04-22,82674,2999,29510,69068,43095,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",2008.0,-0.3141616469506737,25973,-4.362706382338561,-26511,2.894680757706821,0.039852714353218084,0.07102648497339198,0.0760986066452305,0.04033864541832677,
2003-04-29,87299,4625,26753,70685,50297,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",2089.0,-0.23354219406866059,20388,-6.755449113385104,-22128,5.301545830611801,0.07289514142599726,0.13968385493020588,0.04033864541832677,-0.06318812829104836,
2003-05-06,89664,5321,26393,74077,53088,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1957.0,-0.23408502855103497,20989,0.6884385846344173,-21072,1.2096358492078947,0.04862186922502261,0.03329759727565113,-0.06318812829104836,-0.07920286152273892,
2003-05-13,90524,3635,30362,75853,48386,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1802.0,-0.30342229684945426,27467,7.224750178443968,-26727,-6.306879014989293,0.052141437068875314,0.16633820631232168,-0.07920286152273892,-0.08823529411764708,
2003-05-20,97808,3832,27057,77626,53470,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1643.0,-0.24697366268607884,24156,-3.6575935663470465,-23225,3.8685873359551057,0.05230518093610789,0.11337369290038525,-0.08823529411764708,-0.04077906269020082,
2003-05-27,101610,3553,25745,79742,56173,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1576.0,-0.23195551618935145,23569,-0.6001554065107149,-22192,1.0561508261082937,0.03545598351911121,0.05430404805788791,-0.04077906269020082,-0.029187817258883197,
2003-06-03,100042,2323,25940,77412,51906,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1530.0,-0.25495291977369505,25506,1.9063084342092314,-23617,-1.4024210215529969,0.05101377998422493,0.05041927608534126,-0.029187817258883197,-0.0209150326797386,
2003-06-10,97795,1267,21657,75470,53348,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1498.0,-0.22620788383864207,22122,-3.3825793166869915,-20390,3.2256452290038187,0.026269620705180952,0.2329000174489618,-0.0209150326797386,0.051401869158878455,
2003-06-17,96326,2001,14729,73384,60732,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1575.0,-0.13134563876834915,12652,-9.683521652436218,-12728,7.834756378137941,0.07061051626949805,0.45797967722653915,0.051401869158878455,-0.007619047619047636,
2003-06-24,94921,1936,14066,72489,60126,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1563.0,-0.1302451512310237,12363,-0.30002283910885946,-12130,0.6208085044536262,0.011318478301851223,0.045494313210848646,-0.007619047619047636,0.07165706973768393,
2003-07-01,91673,2732,12285,67762,57775,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1675.0,-0.10894156403739377,9987,-2.503134185269856,-9553,2.71488922367021,0.05638178385655225,0.1716055137510821,0.07165706973768393,0.013134328358209046,
2003-07-08,91476,2743,11934,67844,57882,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1697.0,-0.10890288163015435,9962,-0.027270843105385446,-9191,0.39488180816598123,0.00150326901356919,0.024664440962049464,0.013134328358209046,-0.10489098408956987,-0.19324056363478068
2003-07-15,90623,2257,11895,66656,55089,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1519.0,-0.12763867892256933,11567,1.754558572740391,-9638,-0.4886527613800341,0.03269949484578422,0.03709723007348785,-0.10489098408956987,-0.06056616194865039,-0.19081086420099508
2003-07-22,89008,2520,12870,65283,53145,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1427.0,-0.13636976451554916,12138,0.63008287079439,-10350,-0.7856725113933548,0.028008579052251157,0.08044184535412606,-0.06056616194865039,0.035739313244568915,-0.18886653921222915
2003-07-29,86367,3118,14549,62515,49564,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1478.0,-0.14995310708951334,12951,0.9134010426029121,-11431,-1.2144975732518426,0.05664754325074278,0.12888436067244013,0.035739313244568915,-0.006089309878213767,-0.18752469672523897
2003-08-05,80026,4107,18613,63514,48512,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1469.0,-0.18746407417589284,15002,2.374749615014994,-14506,-3.5603876480600225,0.01830824987056576,0.2224031690140845,-0.006089309878213767,0.017699115044247815,-0.18752267597359407
2003-08-12,78552,4434,17641,60266,46912,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1495.0,-0.1700020368672981,13354,-2.059330717516807,-13207,1.6232224527028716,0.045233163522364665,0.05884484711211778,0.017699115044247815,0.03678929765886285,-0.18695749406693937
2003-08-19,75694,6819,16406,57215,48298,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1550.0,-0.11780326049620841,8917,-5.648487626031164,-9587,4.608412261941135,0.042051690313042,0.15586652314316468,0.03678929765886285,0.1548387096774193,-0.18479642426785403
2003-08-26,78824,17008,14246,52154,57354,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1790.0,0.06596975540444534,-5200,-18.650091156498533,2762,16.314371020160117,0.1289129561310589,0.3951174249696039,0.1548387096774193,0.0011173184357542443,-0.1771974491262692
2003-09-02,77620,16967,11556,51274,58654,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1792.0,0.09507858799278536,-7380,-2.765655130417132,5411,3.3606515781995334,0.019831162215268174,0.09574729165936262,0.0011173184357542443,-0.030133928571428603,-0.16918933038747347
2003-09-09,79531,15648,11772,54505,61136,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1738.0,0.08337629352076549,-6631,0.964957485184231,3876,-1.9775830971399126,0.04940289343744866,0.05598103574033552,-0.030133928571428603,-0.15420023014959727,-0.16197316970438094
2003-09-16,73784,9580,10923,55179,55168,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1470.0,-0.0001490838122086089,11,8.351460436810804,-1343,-6.562221020734054,0.060191939971181815,0.33736526361995806,-0.15420023014959727,0.09047619047619038,-0.15747805620737615
2003-09-23,75225,9073,10552,57428,56763,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1603.0,-0.008840146227982718,665,0.8863710289493657,-1479,-0.1843218041851892,0.033662898126822605,0.04473885350318471,0.09047619047619038,0.014348097317529618,-0.15346081539712228
2003-09-30,75067,8663,10825,56912,57083,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1626.0,0.002277965017917327,-171,-1.1113326686606846,-2162,-0.9079428381522101,0.007333654984867757,0.03504720853858785,0.014348097317529618,-0.04735547355473557,-0.14936242643883174
2003-10-07,75608,9167,11176,56996,55641,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1549.0,-0.017921383980531162,1355,2.0328506534162814,-2009,0.20381792265576085,0.01354794605680194,0.04202919923315145,-0.04735547355473557,-0.057456423499031684,-0.14599214329887533
2003-10-14,78461,5835,12395,60305,53769,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1460.0,-0.08330253246836007,6536,6.8524494762459005,-6560,-6.019204317003492,0.04541788663499132,0.2496434448710916,-0.057456423499031684,-0.03630136986301369,-0.14442490302811245
2003-10-21,86695,3046,18160,68667,51833,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1407.0,-0.1941749812561278,16834,13.124992034259058,-15114,-10.902231681982132,0.08546058091286307,0.4033764029048382,-0.03630136986301369,0.002842928216062468,-0.14563831957025916
2003-10-28,98867,3956,19122,69896,52786,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1411.0,-0.17306077862178482,17110,0.31835746006113386,-15166,-0.05998039102601073,0.017785820250729528,0.08111621457665309,0.002842928216062468,0.021970233876683176,-0.14629123526196217
2003-11-04,111213,4344,19172,78256,62611,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1442.0,-0.14067600010790104,15645,-1.481788665581033,-14828,0.34187342591562403,0.12909340015759546,0.018625616601462835,0.021970233876683176,0.018723994452149784,-0.1461606483979142
2003-11-11,103941,6006,19563,75353,62465,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1469.0,-0.12399341934366612,12888,-2.47902673248631,-13557,1.1428520047116795,0.022123380110000146,0.08029254174977511,0.018723994452149784,0.04356705241660985,-0.1456568477375904
2003-11-18,92329,5073,9217,67750,65976,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1533.0,-0.01921389812518277,1774,-10.692604458298458,-4144,9.056099133162082,0.08311024034219225,0.7892932120363891,0.04356705241660985,-0.060013046314416174,-0.14284700441287024
2003-11-25,92774,3343,7444,68684,65568,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1441.0,-0.033586996356737876,3116,1.453497817587107,-4101,0.04657258282879702,0.009996126687125705,0.32474274589783997,-0.060013046314416174,0.06523247744621785,-0.14047178684643258
2003-12-02,91736,3420,6874,67966,66993,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1535.0,-0.010606523066189937,973,-2.309914415676806,-3454,0.6973936663289284,0.01587889655376818,0.06285214688167864,0.06523247744621785,0.12703583061889256,-0.137708696127704
2003-12-09,97595,11176,8872,68904,74211,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1730.0,0.05437778574722066,-5307,-6.84573122874335,2304,6.276707072468824,0.056989134612025295,0.48653232242617717,0.12703583061889256,-0.09075144508670518,-0.13370689442197642
2003-12-16,96290,9597,8459,69988,74299,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1573.0,0.04477100425797071,-4311,1.020544085250269,1138,-1.1947333367488089,0.008122699896733594,0.11032343819229065,-0.09075144508670518,-0.022886204704386515,-0.1300644883264673
2003-12-30,90488,8733,10126,68531,70072,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1537.0,0.01702988241534789,-1541,2.87672655519784,-1393,-2.628518018485824,0.04100921336479008,0.1342064796648815,-0.022886204704386515,0.008458035133376729,-0.127122600911631
2004-01-06,89463,4908,10393,71291,68481,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1550.0,-0.03140963303265037,2810,4.808372380868181,-5485,-4.5221465829723275,0.031129267664482155,0.2674335010783609,0.008458035133376729,0.05870967741935473,-0.1252458760512588
2004-01-13,92651,6554,11153,73745,71934,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1641.0,-0.019546470086669328,1811,-1.1166627544347942,-4599,0.9903535539832109,0.04054805428373341,0.13587846614333315,0.05870967741935473,-0.03168799512492382,-0.1232131951673244
2004-01-20,85478,7042,11335,63017,62667,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1589.0,-0.004094620838110391,350,-1.5768853007522854,-4293,0.3302716646339489,0.15908946246141115,0.03645861674919736,-0.03168799512492382,0.0,-0.12195828827265451
2004-01-27,86587,8494,10836,63910,64488,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1589.0,0.00667536697194729,-578,-1.0856594679332694,-2342,2.2824586443295347,0.021137400894094924,0.10093119503362649,0.0,0.006922592825676421,-0.12059793105765548
2004-02-03,87295,4953,7227,66513,66398,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1600.0,-0.0013173721289879146,115,0.8003510919653065,-2274,0.07853372908173283,0.033955052629203,0.5870279146141215,0.006922592825676421,-0.043749999999999956,-0.11958822559034421
2004-02-10,82584,4756,10428,65630,61429,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1530.0,-0.05086941780490167,4201,4.6806804513431475,-5672,-3.892548255913855,0.046057343438874854,0.22378819810326658,-0.043749999999999956,0.00588235294117645,-0.11955622383604629
2004-02-17,78675,4775,10050,63109,59129,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1539.0,-0.05058786145535431,3980,-0.2676063159934128,-5275,0.4807226581420129,0.039439454179551366,0.02677908937605396,0.00588235294117645,-0.03573749187784281,-0.11887650284493355
2004-02-24,88387,4852,17340,71530,59113,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1484.0,-0.14048446038444568,12417,10.723863997457897,-12488,-9.168096599936447,0.06458057454283811,0.33196647440519106,-0.03573749187784281,0.0242587601078168,-0.11996191404249489
2004-03-02,87283,4446,10791,71583,65917,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1520.0,-0.06491527559776818,5666,-7.638001063504814,-6345,6.950117098668356,0.04986909090909091,0.45645468268031764,0.0242587601078168,-0.05394736842105263,-0.11783287496413518
2004-03-09,98202,4883,15687,81717,71664,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1438.0,-0.10237062381621556,10053,5.026179210155472,-10804,-5.108669500360895,0.10353955183497304,0.25926105979581915,-0.05394736842105263,0.004172461752433909,-0.11557192470608274
2004-03-16,103789,4708,21947,85909,70079,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1444.0,-0.15252098006532483,15830,5.882772244964461,-17239,-6.552819698173153,0.037034900120522095,0.24141812042768712,0.004172461752433909,0.02423822714681445,-0.11404380866018145
2004-03-23,102078,4115,19481,84053,70220,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1479.0,-0.13551401869158877,13833,-1.9240960024665428,-15366,1.8046228405707732,0.01294458524822879,0.12964061705373792,0.02423822714681445,0.011494252873563315,-0.11199878513757129
2004-03-30,103854,4611,19704,84368,70638,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1496.0,-0.13220482600573882,13730,-0.10090323086267364,-15093,0.26744254393698935,0.004728849205837193,0.029570224141476455,0.011494252873563315,-0.04278074866310155,-0.1093455346171204
2004-04-06,95075,6473,15054,75454,67999,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1432.0,-0.0784117801735472,7455,-6.042136075644655,-8581,6.270341055712827,0.08053508814733745,0.3025038323965253,-0.04278074866310155,-0.06983240223463683,-0.10540087962440109
2004-04-20,102927,5988,25499,82958,63915,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1332.0,-0.18501462201366017,19043,12.188272416513279,-19511,-11.496187220615303,0.07889809563364267,0.34712738590529424,-0.06983240223463683,0.03453453453453448,-0.10323915915719721
2004-04-27,105091,5728,26564,86957,66660,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1378.0,-0.19313737617874033,20297,1.2183392112856686,-20836,-1.2873201395163563,0.04390139112207633,0.04103183451009538,0.03453453453453448,0.006531204644412147,-0.09985261051833691
2004-05-04,103828,5721,26457,85970,65312,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1387.0,-0.19896367068613477,20658,0.3435118135710955,-20736,0.0951556270280043,0.015434750994830845,0.0035427932127540555,0.006531204644412147,-0.023792357606344683,-0.09763726482094191
2004-05-11,105986,7168,26183,86586,67570,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1354.0,-0.1794199233861076,19016,-1.5814616481103363,-19015,1.6575490233848287,0.018643452087495783,0.051602650595184554,-0.023792357606344683,-0.025110782865583436,-0.09659645192320053
2004-05-18,113320,10562,34381,88881,64908,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1320.0,-0.21155135898340982,23973,4.677032815654898,-23819,-4.53267412677146,0.03223247436422631,0.25792670716240573,-0.025110782865583436,0.05757575757575761,-0.09616311212382311
2004-05-25,108124,10215,30341,83895,64868,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1396.0,-0.1759738818393696,19027,-4.36463113307448,-20126,3.2589128132721497,0.03378528263076168,0.10817141729953644,0.05757575757575761,0.01934097421203429,-0.0937121810659369
2004-06-01,104155,11190,23209,80231,69609,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1423.0,-0.10198262205367001,10622,-7.773482298102179,-12019,7.497872812696533,0.056093166043780035,0.23567545568185122,0.01934097421203429,-0.046380885453267795,-0.09092389182300595
2004-06-08,102081,11676,25593,78570,65765,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1357.0,-0.12543960188477776,12805,2.0959147424511544,-13917,-1.8222840958187319,0.0381404371773998,0.07700770077007701,-0.046380885453267795,-0.014738393515106862,-0.08887550885561028
2004-06-15,100491,12466,25830,76105,62955,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1337.0,-0.13085748972544806,13150,0.33796690863138096,-13364,0.5417266680381265,0.03793326621602186,0.026817422185084604,-0.014738393515106862,-0.0007479431563200967,-0.08648905827775939
2004-06-22,96130,13285,26127,73334,61314,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1336.0,-0.12503900967439924,12020,-1.1244788090475764,-12842,0.5194495029405618,0.032766918186679345,0.02831624885821577,-0.0007479431563200967,0.03293413173652704,-0.08454350300537011
2004-06-29,97080,13365,24673,72120,61891,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1380.0,-0.1053667078697981,10229,-1.8631020493082284,-11308,1.5957557474253616,0.013364574549850385,0.04032809295967191,0.03293413173652704,-0.0304347826086957,-0.08404390818039799
2004-07-06,106874,13254,31004,79917,62118,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1338.0,-0.16654190916406236,17799,7.797692624639472,-17750,-6.6357643180881745,0.05649311789347696,0.14555560576618917,-0.0304347826086957,0.07772795216741413,-0.08474192275603332
2004-07-13,100486,12182,18922,76452,70362,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1442.0,-0.06060545747666342,6090,-10.955891984954246,-6740,10.301850777551135,0.07975397441660877,0.42290380658436216,0.07772795216741413,0.07489597780859913,-0.08381238224525005
2004-07-20,101383,14962,11707,74790,80592,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1550.0,0.0572285294378742,-5802,-11.83448440578787,3255,9.946659236112493,0.0765339614627177,0.37477970677565714,0.07489597780859913,0.03483870967741942,-0.08061754741701874
2004-07-27,104772,16996,6538,74520,87969,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1604.0,0.1283644485167793,-13449,-7.542684671000069,10458,7.10474142607735,0.04706164724996769,0.30606781677572875,0.03483870967741942,0.07418952618453867,-0.07569441035087741
2004-08-03,116826,23195,11213,79090,95234,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1723.0,0.13818841696197764,-16144,-2.5722521284312605,11982,1.454587103424579,0.06789082398292834,0.31603115554522204,0.07418952618453867,-0.04062681369704002,-0.07041444532246342
2004-08-10,115613,24628,10542,78736,96451,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1653.0,0.15322671325888956,-17715,-1.3447349049013062,14086,1.8009689623885095,0.008967560378338575,0.05982371339209554,-0.04062681369704002,-0.04597701149425293,-0.06458406416191723
2004-08-17,107302,22665,10740,73300,89380,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1577.0,0.14985741179101975,-16080,1.41420082516672,11925,-1.8691669621928328,0.0768809933611999,0.06469091453375243,-0.04597701149425293,0.06467977171845285,-0.05809711250870737
2004-08-24,108533,22488,9564,75550,92963,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1679.0,0.1604396819400551,-17413,-1.2422881213770478,12924,0.9310171292240592,0.03461454012450078,0.04221265443654062,0.06467977171845285,0.0017867778439546456,-0.051742464070104424
2004-08-31,109161,22247,9294,77181,93992,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1682.0,0.1540018871208582,-16811,0.5546700082002709,12953,0.02671998378373398,0.01553983396914233,0.016201135030595098,0.0017867778439546456,-0.12306777645659928,-0.04651544200054546
2004-09-07,103479,14841,6400,79502,91203,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1475.0,0.11307608306999488,-11701,4.681159021995035,8441,-4.133344326270371,0.029934682639641486,0.4849112565321783,-0.12306777645659928,-0.009491525423728775,-0.04560955108390027
2004-09-14,99534,11231,7529,80064,87823,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1461.0,0.07795326220186068,-7759,3.8094685878294148,3702,-4.579673170401724,0.023480078862568275,0.2526119402985075,-0.009491525423728775,0.021218343600273748,-0.04593888427218728
2004-09-21,100321,9919,9669,82899,86512,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1492.0,0.03601439379591511,-3613,4.165410814395081,250,-3.4681616332107623,0.02447302713519193,0.17623034510925056,0.021218343600273748,-0.03150134048257369,-0.04684969003612671
2004-09-28,101539,10094,9936,84617,86540,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1445.0,0.018938535932006423,-1923,1.6845924582091487,158,-0.09170562494392998,0.010201160338169049,0.022066899650524215,-0.03150134048257369,-0.01453287197231834,-0.04648262042566103
2004-10-05,110233,12103,10827,89105,92642,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1424.0,0.03208658024366569,-3537,-1.589537025182442,1276,1.1010547671338107,0.058267811848338624,0.1264718709114697,-0.01453287197231834,0.011235955056179803,-0.045695567993513944
2004-10-12,120622,12590,12109,96579,100005,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1440.0,0.02840277892921689,-3426,0.10069579889869638,481,-0.7211996407609337,0.07547409758678224,0.07162233288797118,0.011235955056179803,0.0,-0.045193167725988956
2004-10-19,121105,13084,12172,97610,100827,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1440.0,0.02656372569258082,-3217,0.17326855797449883,912,0.35731458606224403,0.009337976284664654,0.022054165346848273,0.0,0.011805555555555625,-0.04433768484765988
2004-10-26,122582,13697,12512,99009,102554,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1457.0,0.0289194172064414,-3545,-0.27083935427934436,1185,0.22542421865323478,0.015508798737863596,0.036361555190964935,0.011805555555555625,-0.0027453671928620027,-0.04217957043083678
2004-11-02,125802,14366,12550,101053,105289,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1453.0,0.03367196070014785,-4236,-0.5637042958998875,1816,0.5147574684700853,0.023160578069418732,0.02626690444345371,-0.0027453671928620027,0.24294562973158973,-0.03779789847013917
2004-11-09,117132,19176,4769,87432,106601,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1806.0,0.16365297271454426,-19169,-11.870240536716427,14407,10.008584919158677,0.07696113547695495,0.5258300271455418,0.24294562973158973,-0.06478405315614622,-0.03132263402136361
2004-11-16,117663,23691,3264,83529,109273,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1689.0,0.21879435336511902,-25744,-5.613325137451764,20427,5.139500734214391,0.03410234333668738,0.22333518827675755,-0.06478405315614622,-0.056838365896980436,-0.024409742608420916
2004-11-23,117133,21377,3253,85687,108952,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1593.0,0.1986203717142052,-23265,2.1068645198575595,18124,-1.957284787911238,0.012736399180020449,0.09439707673568819,-0.056838365896980436,0.04268675455116133,-0.01820563124192339
2004-11-30,115652,18765,2790,86363,108304,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1661.0,0.18971569882059974,-21941,1.130339016331862,15975,-1.8346665756020935,0.006801358216852368,0.14265831593597772,0.04268675455116133,0.04575556893437693,-0.014187754377581418
