,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HG_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2004-05-11,63658,16246,9323,32602,42645,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.19350004196167,0.15776493135191177,-10043,1.0804119930315719,6923,-0.5791741801399799,0.04299174717928954,0.10594860964449138,-0.030856668038969026,-0.03142021158224828,0.37934518375816284
2004-05-18,64357,15654,8562,34067,42939,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.156000018119812,0.137856021877962,-8872,1.8395174212196423,7092,0.26548116497533697,0.022842375918759577,0.05587215064420218,-0.03142021158224828,0.06574392215674774,0.38432776572993305
2004-05-25,68371,16609,8118,34897,48448,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2319999933242798,0.19819806643167426,-13551,-7.270382398185124,8491,2.1738117065742655,0.0760573519707241,0.05657782990253569,0.06574392215674774,0.049107164023565186,0.3867134610944799
2004-06-01,71536,20476,8370,34062,51977,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2925000190734863,0.2504333482442407,-17915,-6.382823126764271,12106,5.287329423293502,0.050721184579086226,0.142792761561395,0.049107164023565186,-0.04023214314042545,0.3874771961979539
2004-06-08,67204,17890,8085,33357,48390,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2404999732971191,0.2236920421403488,-15033,4.02874077387609,9805,-3.2165622903153652,0.05250345578431013,0.1105293551491819,-0.04023214314042545,-0.036678695545714235,0.38642862303675096
2004-06-15,62719,12012,8149,35861,42334,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.1950000524520874,0.10320636489739951,-6473,12.737337063270044,3863,-8.841735610975537,0.10946991495619925,0.2947274440751947,-0.036678695545714235,-0.026359916072673406,0.38194738092571584
2004-06-22,66825,12669,9974,39304,44193,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.16349995136261,0.07316124205013094,-4889,2.525550471149094,2695,-1.8622745898372106,0.06349928739954729,0.10961445038201652,-0.026359916072673406,0.006875819980133313,0.37679671458791514
2004-06-29,57873,11282,4784,34296,44230,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.1714999675750732,0.17165172014583657,-9934,-7.549569771791995,6498,5.690983913206135,0.06424623691516186,0.4093738329391261,0.006875819980133313,0.04139996788523015,0.3734722649782011
2004-07-06,58133,12326,4308,32310,44345,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2200000286102295,0.20702526964030757,-12035,-3.6303630363036308,8018,2.626440654536658,0.02740851868762638,0.09137910304196224,0.04139996788523015,0.04836066711080278,0.37085869265943694
2004-07-13,66740,21663,5368,30237,52590,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2790000438690186,0.3349265807611627,-22353,-17.748954982540038,16295,14.238040355735984,0.12457290497060138,0.38463245902852283,0.04836066711080278,0.007036703224802432,0.37365714309583853
2004-07-20,69505,23978,5806,29332,53903,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.287999987602234,0.35351413567369255,-24571,-3.323344321246629,18172,2.812406353011687,0.026647443983901002,0.09243217835079237,0.007036703224802432,-0.05279499972557811,0.37573894287232407
2004-07-27,65605,19618,5028,29960,49173,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2200000286102295,0.2928587760079262,-19213,7.708797928206604,14590,-5.1535860729443925,0.06770879405557732,0.2084719629960237,-0.05279499972557811,0.07049177348437596,0.3734979434577869
2004-08-03,71515,25103,8713,29441,53097,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.305999994277954,0.3307837516604908,-23656,-6.772349668470391,16390,2.7436933160582275,0.05382975114492718,0.27117340903714215,0.07049177348437596,-0.034456322574132,0.3724580045115374
2004-08-10,65598,19835,7447,29770,48361,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2610000371932983,0.2834080307326443,-18591,7.082430259386142,12388,-5.596028805145774,0.06482702128476533,0.23949857048603476,-0.034456322574132,0.040047513550484526,0.3694900103813925
2004-08-17,78129,30518,11146,29801,57087,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.3114999532699585,0.34924291876255936,-27286,-13.254977285892863,19372,10.646666056891979,0.10078491851579044,0.34519009216589863,0.040047513550484526,-0.05337395023786862,0.36735391327301514
2004-08-24,69773,22015,8463,32210,51697,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2415000200271606,0.27929141645048944,-19487,9.982208910903761,13552,-7.44921860000768,0.09294814497002633,0.36701883325677537,-0.05337395023786862,0.03181634913850995,0.36463311588752007
2004-08-31,73755,23031,7553,33703,55889,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.281000018119812,0.3008067249677988,-22186,-3.8682584954065327,15478,2.760380089719519,0.06345432627913207,0.06297410410672247,0.03181634913850995,-0.006245133566981087,0.36210336712263486
2004-09-07,72214,21479,8833,33281,52119,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2730000019073486,0.26086354446506216,-18838,4.539353264185479,12646,-3.839739678665853,0.04908665105386417,0.0934283452098179,-0.006245133566981087,0.003927726020531708,0.3592658643042921
2004-09-14,75040,26351,11184,31713,53405,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.277999997138977,0.28907249466950957,-21692,-3.9521422438862275,15167,3.491012822998311,0.03352992316548791,0.19243372852004795,0.003927726020531708,0.04968704763082732,0.35543605464324124
2004-09-21,85631,34903,15386,30637,58288,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.3415000438690186,0.32290875967815397,-27651,-7.941098081023454,19517,5.796908315565032,0.06701152656733202,0.2536141104416473,0.04968704763082732,0.027208330911825396,0.35171479626896285
2004-09-28,93997,41210,17175,30206,63190,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.378000020980835,0.3509048161111525,-32984,-6.227884761359788,24035,5.276126636381684,0.05710094650734507,0.1386657531900317,0.027208330911825396,0.01995648255435234,0.34908495773939213
2004-10-05,100292,45933,17686,31222,67041,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.405500054359436,0.35714713037929247,-35819,-3.016053703841612,28247,4.480994074278966,0.04953034204125663,0.08227101966393688,0.01995648255435234,0.03379572626019822,0.3467347959835012
2004-10-12,103422,47018,17364,33281,69614,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.4529999494552612,0.3513082322910019,-36333,-0.5125034898097556,29654,1.4029035217165875,0.04501676466300598,0.02185393432947097,0.03379572626019822,-0.1032346740372414,0.3444404504575115
2004-10-19,74501,20386,7107,34250,54007,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.3029999732971191,0.26519107126078845,-19757,16.027537661232618,13279,-15.833188296493978,0.18781513081115378,1.341759720656167,-0.1032346740372414,-0.012663082519910551,0.33937180221687735
2004-10-26,72971,18391,6753,35940,52891,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2864999771118164,0.23229776212467967,-16951,3.766392397417484,11638,-2.202654997919491,0.03158807173171528,0.09342188991409481,-0.012663082519910551,0.033424005906628196,0.3331416039376147
2004-11-02,69692,18988,6827,32607,49241,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.3294999599456787,0.23867875796361132,-16634,0.4344191528141316,12161,0.7167230817722109,0.08531668458606197,0.02599263993802053,0.033424005906628196,0.04437759837254873,0.327441405898161
2004-11-09,75539,22239,7630,33039,54440,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.3884999752044678,0.2833106077655251,-21401,-6.8400964242667746,14609,3.5125982896171726,0.06436973445055384,0.13572600354882988,0.04437759837254873,0.021966190064169444,0.3229117417045347
2004-11-16,80861,25259,9220,33666,56454,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.4190000295639038,0.28181694512805927,-22788,-1.8361376242735543,16039,1.8930618620844861,0.02930537061695517,0.13370457379854403,0.021966190064169444,0.03417895758661271,0.3184915114060804
2004-11-23,93862,32589,7683,35802,67272,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.4674999713897705,0.33527945281370525,-31470,-10.736943644031115,24906,10.965731316703973,0.12567669829442923,0.2201777910210568,0.03417895758661271,-0.016695068398920543,0.3152070325410557
