,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,SI_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-03-25,88189,25093,25714,32131,49159,084691,SILVER - COMMODITY EXCHANGE INC. ,4.386000156402588,0.1930853054235789,-17028,18.50991325898389,-621,-15.94223620245925,0.19110591708697255,0.26334953844942627,-0.014824793946267567,0.01071589823516983,
2003-04-01,89047,25268,28948,32501,48346,084691,SILVER - COMMODITY EXCHANGE INC. ,4.433000087738037,0.17793973968802992,-15845,1.3414371406864802,-3680,-3.4686865708875256,0.01463257758482071,0.06287811716098568,0.01071589823516983,0.009248790562217168,
2003-04-08,90692,27512,28192,30983,50126,084691,SILVER - COMMODITY EXCHANGE INC. ,4.473999977111816,0.21107705200017643,-19143,-3.703662111020023,-680,3.3690073781261582,0.040661332281251156,0.05385609651012495,0.009248790562217168,0.010058130649118757,
2003-04-15,88705,26854,27201,30838,49990,084691,SILVER - COMMODITY EXCHANGE INC. ,4.519000053405762,0.21590665689645455,-19152,-0.009923697790323292,-347,0.3671768182419618,0.0034765180383035583,0.030505966145592454,0.010058130649118757,0.016375277908796226,
2003-04-22,87564,26792,22701,29123,52924,084691,SILVER - COMMODITY EXCHANGE INC. ,4.5929999351501465,0.27181261705723814,-23801,-5.240967251000507,4091,5.003100163463165,0.056662644581764114,0.09217465096074193,0.016375277908796226,-0.009797534711368128,
2003-04-29,81957,24615,15398,29607,57474,084691,SILVER - COMMODITY EXCHANGE INC. ,4.547999858856201,0.3400197664629013,-27867,-4.643460782970171,9217,5.854003928555114,0.05780824749371275,0.23692300002499186,-0.009797534711368128,0.05255064376687968,
2003-05-06,84773,34169,8581,22310,66540,084691,SILVER - COMMODITY EXCHANGE INC. ,4.787000179290772,0.5217463107357295,-44230,-19.965347682321216,25588,19.97510889856876,0.18416432189082724,0.38294736842105265,0.05255064376687968,0.005640265176036552,
2003-05-13,89108,39038,6805,20994,73244,084691,SILVER - COMMODITY EXCHANGE INC. ,4.814000129699707,0.5863671050859631,-52250,-9.460559376216485,32233,7.838580680169393,0.08510367367728518,0.1449512466461619,0.005640265176036552,-0.01038641241955729,
2003-05-20,89363,40340,8176,17944,72581,084691,SILVER - COMMODITY EXCHANGE INC. ,4.763999938964844,0.6114051676868503,-54637,-2.678771827445347,32164,-0.07743412488216546,0.041016293841480256,0.05509522631709127,-0.01038641241955729,-0.030436604278802792,
2003-05-27,82547,36415,6110,16026,67335,084691,SILVER - COMMODITY EXCHANGE INC. ,4.61899995803833,0.6215731643790811,-51309,3.724136387542943,30305,-2.080279310229066,0.08593946809659193,0.14088183421516756,-0.030436604278802792,-0.02489711456221877,
2003-06-03,75912,26998,6250,17737,60060,084691,SILVER - COMMODITY EXCHANGE INC. ,4.504000186920166,0.5575271366845822,-42323,10.885919536748762,20748,-11.577646674016014,0.11550573929585974,0.2874458614051973,-0.02489711456221877,-0.009103100468335845,
2003-06-10,78684,26604,11940,20185,56153,084691,SILVER - COMMODITY EXCHANGE INC. ,4.4629998207092285,0.45711961771135173,-35968,8.371535462114027,14664,-8.014543155232374,0.08324818570043753,0.15784557907845578,-0.009103100468335845,0.03181720906762031,
2003-06-17,79428,27358,13676,19375,53673,084691,SILVER - COMMODITY EXCHANGE INC. ,4.605000019073486,0.4318124590824394,-34298,2.1224137054547305,13682,-1.2480300950637995,0.04503887854561384,0.06068138616756836,0.03181720906762031,-0.020195425573278913,
2003-06-24,83905,27154,17398,24569,52579,084691,SILVER - COMMODITY EXCHANGE INC. ,4.51200008392334,0.3338299267028187,-28010,7.9166037165735,9756,-4.942841315405147,0.08150567739928449,0.08812174537618962,-0.020195425573278913,0.0137410896870227,
2003-07-01,79972,26686,17810,22786,51426,084691,SILVER - COMMODITY EXCHANGE INC. ,4.573999881744385,0.3581253438703546,-28640,-0.75084917466182,8876,-1.0488051963530183,0.039562334932355954,0.019777058612010068,0.0137410896870227,0.035417617726082984,
2003-07-08,81775,31125,10210,19496,60178,084691,SILVER - COMMODITY EXCHANGE INC. ,4.736000061035156,0.49748700703148885,-40682,-15.057770219576852,20915,15.054018906617317,0.15114089916409368,0.29125438490383454,0.035417617726082984,-0.017947642958516807,0.4669529716511986
2003-07-15,87872,38637,8294,19142,67436,084691,SILVER - COMMODITY EXCHANGE INC. ,4.651000022888184,0.5495948652585579,-48294,-9.308468358300214,30343,11.529195964536838,0.08792071888932523,0.20089066928043298,-0.017947642958516807,0.02859597857421292,0.4700137825255452
2003-07-22,89035,39330,9419,20081,67934,084691,SILVER - COMMODITY EXCHANGE INC. ,4.783999919891357,0.5374627955298478,-47853,0.5018663510560816,29911,-0.49162418062636565,0.016326762483667556,0.03729307267841392,0.02859597857421292,0.07901343347179646,0.47242267584712744
2003-07-29,108811,56004,7572,16970,87846,084691,SILVER - COMMODITY EXCHANGE INC. ,5.162000179290772,0.6513679683120273,-70876,-25.858370303813103,48432,20.801931824563376,0.2196515799114639,0.2913206241348937,0.07901343347179646,-0.043781538384512486,0.47859320317350335
2003-08-05,110005,53066,5353,18014,88498,084691,SILVER - COMMODITY EXCHANGE INC. ,4.935999870300293,0.6407345120676333,-70484,0.3602576945345599,47713,-0.6607787815570118,0.015923088478293525,0.08827607456478201,-0.043781538384512486,-0.015802283369955927,0.4839979134699743
2003-08-12,107445,48346,6163,16829,84628,084691,SILVER - COMMODITY EXCHANGE INC. ,4.857999801635742,0.6310112150402531,-67799,2.4407981455388392,42183,-5.027044225262488,0.04982406339631568,0.10145113650956723,-0.015802283369955927,0.027377599685275644,0.4887402780367575
2003-08-19,107708,45072,5482,16208,85525,084691,SILVER - COMMODITY EXCHANGE INC. ,4.991000175476074,0.643564080662532,-69317,-1.4128158592768394,39590,-2.413327749080925,0.014921411931231754,0.07823317640542786,0.027377599685275644,0.0014025183803472174,0.49357852186881296
2003-08-26,103343,46748,4403,18281,85388,084691,SILVER - COMMODITY EXCHANGE INC. ,4.998000144958496,0.6493618338929584,-67107,2.051843874178334,42345,2.5578415716567013,0.021317848151327784,0.053860139586713845,0.0014025183803472174,-0.0020008460567819686,0.4982992282937871
2003-09-02,103311,47810,6073,15559,86690,084691,SILVER - COMMODITY EXCHANGE INC. ,4.98799991607666,0.6885133238474122,-71131,-3.893829286937674,41737,-0.5883320592589726,0.03935490811646079,0.050702447896368054,-0.0020008460567819686,0.051924680376659316,0.5038937605159525
2003-09-09,109498,57490,4680,13170,94925,084691,SILVER - COMMODITY EXCHANGE INC. ,5.247000217437744,0.746634641728616,-81755,-10.2835128882694,52810,10.718122949153527,0.09828391692492715,0.17810841241756475,0.051924680376659316,-0.006479968614355958,0.5108292142648858
2003-09-16,115510,56129,5118,18275,98056,084691,SILVER - COMMODITY EXCHANGE INC. ,5.2129998207092285,0.6906847891957406,-79781,1.802772653381797,51011,-1.6429523826919212,0.07079798162140788,0.02937286724247718,-0.006479968614355958,0.004220278834036639,0.5158252024574095
2003-09-23,114578,54399,5742,17429,95566,084691,SILVER - COMMODITY EXCHANGE INC. ,5.235000133514404,0.6819546509801183,-78137,1.4232533979742013,48657,-2.0379187949095314,0.029523430240276118,0.03914135115811177,0.004220278834036639,-0.01872016181311431,0.5203151875526177
2003-09-30,105542,50958,6033,13885,86031,084691,SILVER - COMMODITY EXCHANGE INC. ,5.13700008392334,0.6835762066286407,-72146,5.228752465569307,44925,-3.2571697882665083,0.13089995596300893,0.06548402379323051,-0.01872016181311431,-0.05100254616372124,0.5246115301598816
2003-10-07,89786,29732,6991,19680,69299,084691,SILVER - COMMODITY EXCHANGE INC. ,4.875,0.5526362684605618,-49619,21.344109454056202,22741,-21.019120350192342,0.2531720967868823,0.6040900797865099,-0.05100254616372124,0.010666676056690694,0.5253301131932323
2003-10-14,86995,28179,9693,20121,63911,084691,SILVER - COMMODITY EXCHANGE INC. ,4.927000045776367,0.503362262198977,-43790,6.492103445971533,18486,-4.739046176464036,0.06936643183549124,0.11235213350232362,0.010666676056690694,0.027603035343824134,0.5247809169183759
2003-10-21,90599,30156,8228,21158,68011,084691,SILVER - COMMODITY EXCHANGE INC. ,5.063000202178955,0.5171469883773552,-46853,-3.5208920052876604,21928,3.956549226967067,0.05760970740952573,0.08967278032513547,0.027603035343824134,0.005727790695714052,0.5245947235393267
2003-10-28,93409,33068,5011,20860,72895,084691,SILVER - COMMODITY EXCHANGE INC. ,5.0920000076293945,0.5570662355875772,-52035,-5.719709930573185,28057,6.764975330853542,0.05527171884166178,0.16095485700779957,0.005727790695714052,-0.0133542497409328,0.5253678547785707
2003-11-04,92256,30227,5156,21167,71040,084691,SILVER - COMMODITY EXCHANGE INC. ,5.02400016784668,0.5405935657301422,-49873,2.3145521309509793,25071,-3.1966941087047287,0.023447243701671238,0.0843908091456349,-0.0133542497409328,0.007762745427811302,0.5257219410797701
2003-11-11,91880,29492,5377,20773,70299,084691,SILVER - COMMODITY EXCHANGE INC. ,5.063000202178955,0.5390291684806269,-49526,0.3761272979535206,24115,-1.036246964967048,0.012462666900913563,0.0274169032665118,0.007762745427811302,0.05925334819631156,0.5260243780661532
2003-11-18,109720,42567,5213,20147,83030,084691,SILVER - COMMODITY EXCHANGE INC. ,5.36299991607666,0.5731224936201239,-62883,-14.537440139312146,37354,14.409011754462341,0.12945714645705922,0.27708246128087066,0.05925334819631156,-0.012120092902781598,0.5270710028562414
2003-11-25,107762,41236,1659,24955,90775,084691,SILVER - COMMODITY EXCHANGE INC. ,5.297999858856201,0.6107904456116257,-65820,-2.6768137076193947,39577,2.0260663507109005,0.10846798582908494,0.11388273691572444,-0.012120092902781598,0.03737258578681413,0.528890990742228
2003-12-02,104077,47798,2656,19115,89094,084691,SILVER - COMMODITY EXCHANGE INC. ,5.495999813079834,0.6723771822785053,-69979,-3.8594309682448356,45142,5.164158052003489,0.06950438503266826,0.14981963768977682,0.03737258578681413,0.025291197330683524,0.5319438884344893
2003-12-09,103100,50808,3595,14714,86392,084691,SILVER - COMMODITY EXCHANGE INC. ,5.635000228881836,0.6952279340446169,-71678,-1.6324452088357657,47213,1.9898728825773224,0.07025300180009099,0.07258790875503189,0.025291197330683524,-0.001064781138946036,0.5353456393847003
2003-12-16,104093,53237,3769,12072,86415,084691,SILVER - COMMODITY EXCHANGE INC. ,5.629000186920166,0.7141978807412602,-74343,-2.5848690591658583,49468,2.187196896217265,0.027059408855991146,0.0456618601550714,-0.001064781138946036,0.06288854200753935,0.5389956851266708
2003-12-30,102784,54889,3364,9077,85682,084691,SILVER - COMMODITY EXCHANGE INC. ,5.982999801635742,0.7453008250311333,-76605,-2.173056785758889,51525,1.9761175103032866,0.03934190947561709,0.03531148610371998,0.06288854200753935,0.05565772925722423,0.5431217879247601
2004-01-06,107665,59543,4042,7628,88694,084691,SILVER - COMMODITY EXCHANGE INC. ,6.315999984741211,0.7529466400408675,-81066,-4.340169676214197,55501,3.8683063511830635,0.04631340711363967,0.08385625540614924,0.05565772925722423,0.04290688871152204,0.5472360007113505
2004-01-13,108724,57364,4752,8085,89485,084691,SILVER - COMMODITY EXCHANGE INC. ,6.586999893188477,0.7486847430190207,-81400,-0.31022152045697304,52612,-2.683323271258069,0.012790816849441427,0.04650975594049842,0.04290688871152204,-0.04129343257607898,0.5511100149864979
2004-01-20,107814,54925,7743,9315,85248,084691,SILVER - COMMODITY EXCHANGE INC. ,6.315000057220459,0.7042962880516445,-75933,5.028328611898017,47182,-4.994297487215334,0.05781330964542157,0.08664709261505074,-0.04129343257607898,0.037213005761687956,0.5519324879281126
2004-01-27,114036,61066,4621,9031,94933,084691,SILVER - COMMODITY EXCHANGE INC. ,6.550000190734863,0.7532884352309797,-85902,-9.24648004897323,56445,8.591648579961786,0.09588896156361817,0.14101724846621097,0.037213005761687956,-0.06549623895612411,0.5541661124627073
2004-02-03,107432,53206,2650,10457,89457,084691,SILVER - COMMODITY EXCHANGE INC. ,6.120999813079834,0.7353488718445156,-79000,6.05247465712582,50556,-5.164158686730507,0.06907940829113038,0.17600615869378403,-0.06549623895612411,0.04313027672993308,0.5560126657097676
2004-02-10,112587,54115,3983,13702,92960,084691,SILVER - COMMODITY EXCHANGE INC. ,6.385000228881836,0.7039711511986286,-79258,-0.24015191004542408,50132,-0.39466825526844884,0.06326526785546868,0.03858996867362043,0.04313027672993308,0.06139384611983778,0.5569862466373796
2004-02-17,119070,57144,3969,14237,98639,084691,SILVER - COMMODITY EXCHANGE INC. ,6.776999950408936,0.708843537414966,-84402,-4.568911153152673,53175,2.7027987245419096,0.055051561004996634,0.04979300639798406,0.06139384611983778,-0.02331414984901581,0.5574022494396711
2004-02-24,118149,56131,2432,10984,94962,084691,SILVER - COMMODITY EXCHANGE INC. ,6.61899995803833,0.7107804551879406,-83978,0.3560930545057529,53699,0.4400772654740909,0.0654106809129179,0.04354285128835613,-0.02331414984901581,0.01374831253747466,0.5595582606312278
2004-03-02,113485,58087,3783,11316,93319,084691,SILVER - COMMODITY EXCHANGE INC. ,6.710000038146973,0.722588888399348,-82003,1.6716180416254052,54304,0.5120652735105672,0.018875137382329047,0.053450783901729436,0.01374831253747466,0.06795824867874889,0.5642478307788417
2004-03-09,116299,63135,4449,9544,96843,084691,SILVER - COMMODITY EXCHANGE INC. ,7.165999889373779,0.7506427398343923,-87299,-4.666696039124113,58686,3.8613032559369076,0.049780518296408394,0.08454663825757576,0.06795824867874889,-0.001534981821830761,0.5694285264913023
2004-03-16,117659,61444,5183,11804,97381,084691,SILVER - COMMODITY EXCHANGE INC. ,7.15500020980835,0.7273306759363924,-85577,1.4806662138109528,56261,-2.085142606557236,0.025626230709346522,0.03639665601032614,-0.001534981821830761,0.0758909473784386,0.5732472357390664
2004-03-23,119976,61720,5373,10670,97561,084691,SILVER - COMMODITY EXCHANGE INC. ,7.697999954223633,0.7242365139694605,-86891,-1.1167866461554152,56347,0.07309258110301804,0.012140699060343155,0.006945582996735874,0.0758909473784386,0.008833442476887221,0.5797135663448854
2004-03-30,119147,59587,3496,10230,95630,084691,SILVER - COMMODITY EXCHANGE INC. ,7.765999794006348,0.7167616473767698,-85400,1.242748549709942,56091,-0.21337600853504035,0.02239750614018515,0.06356704658941395,0.008833442476887221,0.0573011409093751,0.5897842652286005
2004-04-06,120507,57433,5696,11965,94944,084691,SILVER - COMMODITY EXCHANGE INC. ,8.211000442504883,0.6885824060013112,-82979,2.0319437333713815,51737,-3.654309382527466,0.02264542741958114,0.06896988705666175,0.0573011409093751,-0.1547923903042303,0.599604316503856
2004-04-20,110293,46589,3286,14364,89184,084691,SILVER - COMMODITY EXCHANGE INC. ,6.940000057220459,0.6783748741987252,-74820,6.770561046246276,43303,-6.998763557303725,0.07879437555529803,0.2657443609022556,-0.1547923903042303,-0.10230548015749363,0.6085908130845973
2004-04-27,106516,39078,4447,16276,83144,084691,SILVER - COMMODITY EXCHANGE INC. ,6.230000019073486,0.6277742311014308,-66868,7.209886393515454,34631,-7.862693008622487,0.07998390665862,0.19924181504882252,-0.10230548015749363,-0.03097910741441967,0.6165113433577699
2004-05-04,93166,37178,4130,13877,75844,084691,SILVER - COMMODITY EXCHANGE INC. ,6.037000179290772,0.665124616276324,-61967,4.601186676180104,33048,-1.486161703406061,0.10810178219146019,0.053669991284981115,-0.03097910741441967,-0.08663247056377776,0.6240750356504446
2004-05-11,91879,33653,5389,15172,71259,084691,SILVER - COMMODITY EXCHANGE INC. ,5.513999938964844,0.6104441711381273,-56087,6.311315286692571,28264,-5.134920464547153,0.06803114623225463,0.12253470621382101,-0.08663247056377776,0.028835676759402906,0.6292755049711221
2004-05-18,89376,32998,6815,13769,67093,084691,SILVER - COMMODITY EXCHANGE INC. ,5.672999858856201,0.596625492302184,-53324,3.0072160123640876,26183,-2.2649354041728795,0.06887042121144667,0.052269359254514855,0.028835676759402906,0.07139083727916873,0.6307154892320154
2004-05-25,88330,30587,7247,13654,62775,084691,SILVER - COMMODITY EXCHANGE INC. ,6.078000068664551,0.5561077776519868,-49121,4.702604726100967,23340,-3.180943430003581,0.05800154391657617,0.0751440503251044,0.07139083727916873,-0.004606758409570033,0.6301335790890543
2004-06-01,85891,30077,7209,13271,63186,084691,SILVER - COMMODITY EXCHANGE INC. ,6.050000190734863,0.5811435423967587,-49915,-0.8989018453526547,22868,-0.5343597871617798,0.010384922243875643,0.014697205385399346,-0.004606758409570033,-0.04727276739726527,0.6295516247565526
2004-06-08,83809,29672,9397,12943,58450,084691,SILVER - COMMODITY EXCHANGE INC. ,5.763999938964844,0.5429846436540229,-45507,5.132086015997019,20275,-3.0189426133122215,0.07093132379925203,0.06636975607258952,-0.04727276739726527,-0.00555171151781797,0.6280403070503014
2004-06-15,85796,29651,8623,15132,60714,084691,SILVER - COMMODITY EXCHANGE INC. ,5.73199987411499,0.5312835097207329,-45582,-0.0894891956711093,21028,0.8984715245379373,0.058711072436252405,0.02077128076501019,-0.00555171151781797,0.023203053022346598,0.6275356219163813
2004-06-22,90502,29109,8260,16743,62088,084691,SILVER - COMMODITY EXCHANGE INC. ,5.864999771118164,0.5010386510795342,-45345,0.27623665438948203,20849,-0.20863443517180288,0.03786581421014575,0.024217934651716663,0.023203053022346598,-0.0020459688924922004,0.6283802187119233
2004-06-29,90221,30613,5165,18812,68568,084691,SILVER - COMMODITY EXCHANGE INC. ,5.853000164031982,0.5514902295474446,-49756,-4.873925438111865,25448,5.081655654018696,0.09783703364614328,0.12854267985913131,-0.0020459688924922004,0.018964643417793914,0.6306817142977886
2004-07-06,82761,30389,6413,12576,60868,084691,SILVER - COMMODITY EXCHANGE INC. ,5.964000225067139,0.5835115573760588,-48292,1.6226820806685804,23976,-1.631549195863491,0.18975001361581614,0.03999782620509755,0.018964643417793914,0.06941642217836375,0.635483284118428
2004-07-13,87162,36761,2825,10362,68219,084691,SILVER - COMMODITY EXCHANGE INC. ,6.377999782562256,0.6637869713866135,-57857,-11.557376058771645,33936,12.034654003697394,0.12172153574019165,0.25160410246046583,0.06941642217836375,0.034650392299131916,0.6413613923398945
2004-07-20,92456,43271,3272,9777,72715,084691,SILVER - COMMODITY EXCHANGE INC. ,6.598999977111816,0.6807346197109977,-62938,-5.829375186434455,39999,6.956012941419426,0.061593851524996364,0.14947467932879274,0.034650392299131916,-0.05485679494036677,0.6448853848914236
2004-07-27,91991,40184,4728,12793,70304,084691,SILVER - COMMODITY EXCHANGE INC. ,6.236999988555908,0.6251807242012806,-57511,5.869819157220732,35456,-4.913688673531193,0.06530921693923969,0.10115336658354114,-0.05485679494036677,0.07022610277098429,0.6463389591018605
2004-08-03,94715,44765,4256,10658,72797,084691,SILVER - COMMODITY EXCHANGE INC. ,6.675000190734863,0.6560629256189622,-62139,-5.030926938504853,40509,5.492928656064181,0.05545503564795399,0.10307827257705882,0.07022610277098429,0.0058427016056732395,0.6486197308343434
2004-08-10,97251,48019,3675,11239,78543,084691,SILVER - COMMODITY EXCHANGE INC. ,6.714000225067139,0.6920648630862407,-67304,-5.4532017103943415,44344,4.048989072480599,0.07047069568510392,0.0741865593685921,0.0058427016056732395,0.0013404563929451108,0.6494023634261553
2004-08-17,96119,46370,2830,11578,77830,084691,SILVER - COMMODITY EXCHANGE INC. ,6.7230000495910645,0.6892705916624184,-66252,1.0817369487203217,43540,-0.8267267174630595,0.011766284896206156,0.050691056910569104,0.0013404563929451108,-0.0221627497765291,0.6503357495722087
2004-08-24,102711,48506,2074,13122,82511,084691,SILVER - COMMODITY EXCHANGE INC. ,6.573999881744385,0.6755751574806983,-69389,-3.2636627513811,46432,3.008770378385127,0.06509259356080015,0.0571767497034401,-0.0221627497765291,0.029966539435137163,0.6511927484652943
2004-08-31,95230,48118,2547,12778,80316,084691,SILVER - COMMODITY EXCHANGE INC. ,6.770999908447266,0.709209282789037,-67538,1.8021438794286884,45571,-0.8382743815170722,0.027273508496788192,0.01699398006513372,0.029966539435137163,-0.08447792562945888,0.6524551561984964
2004-09-07,87139,38898,4221,12019,69868,084691,SILVER - COMMODITY EXCHANGE INC. ,6.198999881744385,0.6638703680326834,-57849,10.174314816759425,34677,-11.439672372151632,0.1368593305408673,0.25264964400844175,-0.08447792562945888,0.0,0.6527341664704142
2004-09-14,82028,30554,7365,15141,62590,084691,SILVER - COMMODITY EXCHANGE INC. ,6.198999881744385,0.5784488223533427,-47449,11.934954497985977,23189,-13.183534353159896,0.13379475370186927,0.30296157599092804,0.0,0.0237135530907302,0.6506175414416819
2004-09-21,82327,30798,6958,15058,62814,084691,SILVER - COMMODITY EXCHANGE INC. ,6.3460001945495605,0.5800770099724271,-47756,-0.37426244696932753,23840,0.793631442921929,0.003942366961167044,0.017242292615743192,0.0237135530907302,0.038764545467729006,0.6474145100617552
2004-09-28,83896,32046,4831,15111,66557,084691,SILVER - COMMODITY EXCHANGE INC. ,6.5920000076293945,0.6132115953084771,-51446,-4.482126155453253,27215,4.099505629987732,0.04648087378165255,0.09152045990725927,0.038764545467729006,0.07387742536290487,0.6459246409485385
2004-10-05,99518,50369,4088,12655,79946,084691,SILVER - COMMODITY EXCHANGE INC. ,7.078999996185303,0.6761691352318173,-67291,-18.886478497186992,46281,22.725755697530275,0.17111046316994416,0.3501110968286905,0.07387742536290487,-0.006498093493358614,0.6458133810303021
2004-10-12,107869,58594,5141,10961,85103,084691,SILVER - COMMODITY EXCHANGE INC. ,7.0329999923706055,0.6873337103338308,-74142,-6.88418175606423,53453,7.206736469784361,0.07131703864090606,0.1455715070212599,-0.006498093493358614,0.020332735111636024,0.6458856407169404
2004-10-19,111307,60545,5058,11935,87795,084691,SILVER - COMMODITY EXCHANGE INC. ,7.176000118255615,0.6815384477166755,-75860,-1.5926725936089146,55487,1.885620521187737,0.036759249974932316,0.031004679664039754,0.020332735111636024,0.0202062400413896,0.6483645287795579
2004-10-26,116815,62746,6653,13474,90254,084691,SILVER - COMMODITY EXCHANGE INC. ,7.321000099182129,0.6572786029191456,-76780,-0.8265428050347239,56093,0.5444401520120028,0.03854311275643992,0.054698194498479805,0.0202062400413896,-0.042890332665722286,0.6513244584087919
2004-11-02,114494,58504,4172,14859,89215,084691,SILVER - COMMODITY EXCHANGE INC. ,7.006999969482422,0.6494314112529914,-74356,2.075075974831999,54332,-1.5075118777554253,0.023291119780156428,0.10726593911545089,-0.042890332665722286,0.07392609221365132,0.6538683896179388
2004-11-09,123564,64181,6960,14924,92869,084691,SILVER - COMMODITY EXCHANGE INC. ,7.525000095367432,0.6308067074552459,-77945,-3.134662078362185,57221,2.523276328890597,0.03450131270119581,0.11898904991495762,0.07392609221365132,0.008505000516758399,0.6552864756153939
2004-11-16,124272,64251,7074,14310,92973,084691,SILVER - COMMODITY EXCHANGE INC. ,7.589000225067139,0.6329905368868289,-78663,-0.5810753941277395,57177,-0.03560907707746593,0.006692579439426563,0.002579740623904662,0.008505000516758399,-0.0047437410333850405,0.6570633404453302
2004-11-23,121720,69820,4062,11541,98341,084691,SILVER - COMMODITY EXCHANGE INC. ,7.552999973297119,0.7131120604666448,-86800,-6.547734002832496,65758,6.905014806231493,0.07405216504978067,0.11614466311144798,-0.0047437410333850405,0.022507623049776715,0.6604110883681383
2004-11-30,116958,70987,3763,13545,100719,084691,SILVER - COMMODITY EXCHANGE INC. ,7.723000049591064,0.745344482634792,-87174,-0.3072625698324022,67224,1.204403549129149,0.03834978645942729,0.019612040133779263,0.022507623049776715,0.014890556827622303,0.6637230496953435
2004-12-07,125722,73786,3668,18752,109964,084691,SILVER - COMMODITY EXCHANGE INC. ,7.8379998207092285,0.7255054803455242,-91212,-3.452521417944903,70118,2.4743925169719043,0.11227819385313403,0.0373641128928138,0.014890556827622303,-0.14289358397277152,0.6659291080556107
2004-12-14,101771,46556,3331,20074,87036,084691,SILVER - COMMODITY EXCHANGE INC. ,6.7179999351501465,0.6579673973921845,-66962,19.288589109304656,43225,-21.390846470784748,0.22640276351414435,0.5525888508028144,-0.14289358397277152,0.026347134189487198,0.665651996807797
2004-12-21,98426,42217,4553,21338,82233,084691,SILVER - COMMODITY EXCHANGE INC. ,6.894999980926514,0.6186881515046837,-60895,5.961423195212782,37664,-5.464228513034165,0.05857817342692453,0.11890100491768227,0.026347134189487198,0.01899928097520709,0.6641800779127981
2004-12-28,99266,42318,4612,21040,82284,084691,SILVER - COMMODITY EXCHANGE INC. ,7.026000022888184,0.6169685491507666,-61244,-0.35458110661817,37706,0.042671651799321315,0.003377724439626805,0.0034093330492222457,0.01899928097520709,-0.08525476446918445,0.6623102830745194
2005-01-04,96882,43147,4797,18843,77637,084691,SILVER - COMMODITY EXCHANGE INC. ,6.427000045776367,0.6068619557812597,-58794,2.4681159712288196,38350,0.6487619124372898,0.07093698175787728,0.021149674620390455,-0.08525476446918445,0.030496358765538467,0.6596479971274065
