,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZW_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-06-24,88111,19927,15615,43454,43679,001602,WHEAT - CHICAGO BOARD OF TRADE ,302.25,0.0025535971672095426,-225,13.030938918119888,4312,-10.008373044997363,0.144675381313624,0.2724101063530471,-0.04577742699289655,0.013234077750206685,
2003-07-01,82925,17861,13771,40900,41528,001602,WHEAT - CHICAGO BOARD OF TRADE ,306.25,0.007573108230328611,-628,-0.457377625949087,4090,-0.25195492049800816,0.057080118406366766,0.12360900354071826,0.013234077750206685,-0.020408163265306145,0.011457783484794436
2003-07-08,85065,18674,15437,42667,43444,001602,WHEAT - CHICAGO BOARD OF TRADE ,300.0,0.009134191500617174,-777,-0.1796804341272234,3237,-1.028640337654507,0.04277037776822938,0.07267450382574536,-0.020408163265306145,0.050833333333333286,0.011371724522417501
2003-07-15,87401,21365,15091,41446,44673,001602,WHEAT - CHICAGO BOARD OF TRADE ,315.25,0.03692177435040789,-3227,-2.8801504731675776,6274,3.570211015106095,0.028449006607136635,0.08330590300636384,0.050833333333333286,0.05709754163362413,0.012284226301988586
2003-07-22,90648,26768,12517,42803,52636,001602,WHEAT - CHICAGO BOARD OF TRADE ,333.25,0.10847453887565087,-9833,-7.5582659237308505,14251,9.126897861580531,0.09765399888934292,0.20305460099274533,0.05709754163362413,0.04201050262565631,0.01560113363211487
2003-07-29,107419,40015,13477,42543,65830,001602,WHEAT - CHICAGO BOARD OF TRADE ,347.25,0.21678660199778438,-23287,-14.842026299532257,26538,13.554628894184098,0.12414531294695173,0.2655911164286248,0.04201050262565631,0.007199424046076208,0.022307315910970522
2003-08-05,114247,44664,13720,43561,70018,001602,WHEAT - CHICAGO BOARD OF TRADE ,349.75,0.23157719677540767,-26457,-2.9510607992999374,30944,4.1016952308250865,0.04583593798149306,0.08379007947382845,0.007199424046076208,0.03431022158684782,0.029057957229178172
2003-08-12,124140,48301,15076,47297,77792,001602,WHEAT - CHICAGO BOARD OF TRADE ,361.75,0.2456500724987917,-30495,-3.5344472940208496,33225,1.9965513317636348,0.09201448568619143,0.07878252362844565,0.03431022158684782,0.020732550103662817,0.035826460831353595
2003-08-19,123559,48445,15152,45836,75034,001602,WHEAT - CHICAGO BOARD OF TRADE ,369.25,0.23630816047394362,-29198,1.0447881424198486,33293,0.054776864830030615,0.034905270124927605,0.0034592826705662216,0.020732550103662817,-0.022342586323628955,0.04190166385082602
2003-08-26,118269,45325,14805,44458,73062,001602,WHEAT - CHICAGO BOARD OF TRADE ,361.0,0.2418554312626301,-28604,0.4807419937034129,30520,-2.244271967238323,0.02850578624914908,0.05765840678529852,-0.022342586323628955,0.006232686980609525,0.047782657009996725
2003-09-02,116591,46051,14864,42959,74116,001602,WHEAT - CHICAGO BOARD OF TRADE ,363.25,0.2672333198960469,-31157,-2.158638358318748,31187,0.5639685801012946,0.021806534272901985,0.0128868094886317,0.006232686980609525,-0.0447350309704061,0.054052675949598165
2003-09-09,111753,43068,13974,41853,70381,001602,WHEAT - CHICAGO BOARD OF TRADE ,347.0,0.25527726325020356,-28528,2.2548910293247335,29094,-1.7951642922695576,0.0431330969225012,0.06789733880298728,-0.0447350309704061,0.018731988472622474,0.05964224781905942
2003-09-16,110556,40088,14666,43067,68618,001602,WHEAT - CHICAGO BOARD OF TRADE ,353.5,0.23111364376424617,-25551,2.6639105885300616,25422,-3.285817830393815,0.026655325245109013,0.06706359352741352,0.018731988472622474,-0.024752475247524774,0.06427660987163203
2003-09-23,105274,37431,16118,40053,61651,001602,WHEAT - CHICAGO BOARD OF TRADE ,344.75,0.20515986853354104,-21598,3.5755635153225516,21313,-3.71666847570462,0.09813773302918273,0.076733459074866,-0.024752475247524774,0.044960116026105945,0.06798406404694543
2003-09-30,115602,39755,14754,43880,70877,001602,WHEAT - CHICAGO BOARD OF TRADE ,360.25,0.23353402190273526,-26997,-5.1285217622584875,25001,3.5032391663658644,0.11374469531270423,0.06765855179878552,0.044960116026105945,-0.07702984038861904,0.07222893476119645
2003-10-07,110826,34046,15833,46036,63484,001602,WHEAT - CHICAGO BOARD OF TRADE ,332.5,0.1574359807265443,-17448,8.260237712150309,18213,-5.871870728880124,0.08718955441928415,0.13608933619358848,-0.07702984038861904,-0.021052631578947323,0.07435911091033015
2003-10-14,110023,32243,21758,45575,56267,001602,WHEAT - CHICAGO BOARD OF TRADE ,325.5,0.09717968061223563,-10692,6.096042444913649,10485,-6.973092956526447,0.07539129239410067,0.14310846095442678,-0.021052631578947323,0.04608294930875578,0.07491571017135223
2003-10-21,106027,32922,23762,46625,54868,001602,WHEAT - CHICAGO BOARD OF TRADE ,340.5,0.0777443481377385,-8243,2.2258982212810046,9160,-1.2042936476918462,0.024129742937936606,0.047332580622397855,0.04608294930875578,0.10792951541850226,0.07498305869436142
2003-10-28,108258,35617,14336,43952,64626,001602,WHEAT - CHICAGO BOARD OF TRADE ,377.25,0.19096972048255095,-20674,-11.72437209390061,21281,11.431993737444236,0.11448912302676417,0.2426480892038516,0.10792951541850226,-0.03644797879390327,0.07768042292199374
2003-11-04,111327,41303,13019,43406,69128,001602,WHEAT - CHICAGO BOARD OF TRADE ,363.5,0.23104907165377672,-25722,-4.662934840843171,28284,6.468806000480335,0.044857554161409,0.12891646110231583,-0.03644797879390327,0.07015130674002745,0.08116607402953427
2003-11-11,123038,45027,14718,46690,77321,001602,WHEAT - CHICAGO BOARD OF TRADE ,389.0,0.24895560721078042,-30631,-4.409532278782326,30309,1.818965749548627,0.09254824168823733,0.09076910201690518,0.07015130674002745,-0.001928020565552746,0.08489473032245085
2003-11-18,143213,56447,20759,54920,89528,001602,WHEAT - CHICAGO BOARD OF TRADE ,388.25,0.24165403978689085,-34608,-3.232334725857052,35688,4.371820088102862,0.14148344040762073,0.22616117918296505,-0.001928020565552746,0.027044430135222175,0.08830254139776476
2003-11-25,119547,45641,17298,45436,73150,001602,WHEAT - CHICAGO BOARD OF TRADE ,398.75,0.23182513990313433,-27714,4.813808802273536,28343,-5.128724347650004,0.21808645202637747,0.2266798010772335,0.027044430135222175,0.019435736677116067,0.09135621370638965
2003-12-02,119266,47826,18500,45995,73675,001602,WHEAT - CHICAGO BOARD OF TRADE ,406.5,0.23208626096288967,-27680,0.028440696964373846,29326,0.822270738705279,0.009058243502966492,0.051065946989114375,0.019435736677116067,0.0,0.09428808969090006
2003-12-09,129712,54147,18967,47016,81762,001602,WHEAT - CHICAGO BOARD OF TRADE ,406.5,0.26787035894905636,-34746,-5.924571965187061,35180,4.908356111548975,0.07072636630480361,0.09284131630057171,0.0,-0.04182041820418203,0.09783058498188285
2003-12-16,122534,49539,16435,45243,80595,001602,WHEAT - CHICAGO BOARD OF TRADE ,389.5,0.28850767950119965,-35352,-0.4671888491427162,33104,-1.6004687307265328,0.023363371954417584,0.10822445205687088,-0.04182041820418203,0.017329910141206772,0.10164412687226917
2003-12-30,107880,34031,17282,43088,60556,001602,WHEAT - CHICAGO BOARD OF TRADE ,396.25,0.16192065257693733,-17468,14.595132779473452,16749,-13.347315847030211,0.21413685307398403,0.31873014635667374,0.017329910141206772,-0.004416403785488909,0.10282601953314503
2004-01-06,116310,42550,18034,42293,68100,001602,WHEAT - CHICAGO BOARD OF TRADE ,394.5,0.22188117960622475,-25807,-7.7298850574712645,24516,7.199666295884316,0.07553920991367206,0.15302720190149213,-0.004416403785488909,-0.006337135614702172,0.10511554184224271
2004-01-13,134985,44894,19061,49424,78532,001602,WHEAT - CHICAGO BOARD OF TRADE ,392.0,0.215638774678668,-29108,-2.838105064052962,25833,1.132318803198349,0.13725811997874268,0.05270893597060433,-0.006337135614702172,0.008928571428571397,0.10831098877091068
2004-01-20,139672,52307,16864,53021,89487,001602,WHEAT - CHICAGO BOARD OF TRADE ,395.5,0.2610831089982244,-36466,-5.45097603437419,35443,7.119309552913286,0.1021135655542145,0.1389310549218603,0.008928571428571397,-0.039190897597977226,0.11231824322928051
2004-01-27,136392,45615,17480,52722,86647,001602,WHEAT - CHICAGO BOARD OF TRADE ,380.0,0.2487315971611238,-33925,1.8192622716077669,28135,-5.2322584340454785,0.02252294269170332,0.1158253427371424,-0.039190897597977226,0.001315789473684159,0.11619743501311403
2004-02-03,134517,43023,17856,54420,81579,001602,WHEAT - CHICAGO BOARD OF TRADE ,380.5,0.20190013158188183,-27159,4.96070150741979,25167,-2.1760807085459555,0.04975036581151332,0.04875244337127745,0.001315789473684159,0.010512483574244502,0.11866316089785042
2004-02-10,137700,45326,18109,57916,88175,001602,WHEAT - CHICAGO BOARD OF TRADE ,384.5,0.21974582425562816,-30259,-2.3045414334247716,27217,1.5239709479099295,0.06908023081503994,0.04029321352565619,0.010512483574244502,-0.024057217165149525,0.12113739770846828
2004-02-17,142664,43256,20652,59748,85067,001602,WHEAT - CHICAGO BOARD OF TRADE ,375.25,0.17747294341950318,-25319,3.587509077705156,22604,-3.3500363108206246,0.034112488347201604,0.07218188646178882,-0.024057217165149525,0.04596935376415723,0.12335577703597753
2004-02-24,135792,44648,15471,56666,86089,001602,WHEAT - CHICAGO BOARD OF TRADE ,392.5,0.21667697655237422,-29423,-2.876689283911849,29177,4.607329108955308,0.02874855521698014,0.10933315590745023,0.04596935376415723,-0.04713375796178343,0.1260509871287422
2004-03-02,126917,43469,14476,53853,82642,001602,WHEAT - CHICAGO BOARD OF TRADE ,374.0,0.2268332847451484,-28789,0.4668905384706021,28993,-0.13550135501355012,0.04586248580534086,0.037518336353438604,-0.04713375796178343,-0.02941176470588236,0.1306790834533096
2004-03-09,126808,36693,22434,57413,73530,001602,WHEAT - CHICAGO BOARD OF TRADE ,363.0,0.12709765945366222,-16117,9.984478044706382,14259,-11.609161893205796,0.09677493260426293,0.24919241632418354,-0.02941176470588236,0.024793388429751984,0.13441197338984637
2004-03-16,131031,34954,29456,62904,69724,001602,WHEAT - CHICAGO BOARD OF TRADE ,372.0,0.0520487518220879,-6820,7.331556368683363,5498,-6.908870102832629,0.07009832011339989,0.1360192516689955,0.024793388429751984,0.11021505376344076,0.13728267719989284
2004-03-23,157534,52261,16085,63555,100288,001602,WHEAT - CHICAGO BOARD OF TRADE ,413.0,0.23317506062183402,-36733,-22.828948874693776,36176,23.412780181789042,0.19051775175015107,0.4488631375647441,0.11021505376344076,0.005447941888619745,0.14416375865817146
2004-03-30,167543,58215,16123,63654,108898,001602,WHEAT - CHICAGO BOARD OF TRADE ,415.25,0.27004410807971685,-45244,-5.402643238919852,42092,3.755379791029238,0.05047174185173165,0.08060480507950174,0.005447941888619745,0.003010234798314304,0.15181161608662003
2004-04-06,172453,56834,17743,67106,106114,001602,WHEAT - CHICAGO BOARD OF TRADE ,416.5,0.22619496326535346,-39008,3.7220295685286766,39091,-1.7911819652268375,0.03600046184043413,0.04024028856081634,0.003010234798314304,-0.04681872749099636,0.15888690401409708
2004-04-20,151261,47261,16400,67104,96427,001602,WHEAT - CHICAGO BOARD OF TRADE ,397.0,0.1938569756910241,-29323,5.616022916388813,30861,-4.772314775620024,0.05924870513847527,0.17147075917751842,-0.04681872749099636,-0.047229219143576806,0.1650119998910791
2004-04-27,141159,41222,18846,68594,86697,001602,WHEAT - CHICAGO BOARD OF TRADE ,378.25,0.12824545370822973,-18103,7.417642353283398,22376,-5.609509391052551,0.07225145050260479,0.1412565758806686,-0.047229219143576806,0.06675479180436228,0.16946247269032308
2004-05-04,133529,43457,15882,66462,89013,001602,WHEAT - CHICAGO BOARD OF TRADE ,403.5,0.16888466175886885,-22551,-3.151056609922145,27575,3.6830807812466797,0.028609101141662648,0.0876152277591466,0.06675479180436228,-0.08302354399008671,0.17401233287080983
2004-05-11,130596,40065,21818,65683,77653,001602,WHEAT - CHICAGO BOARD OF TRADE ,370.0,0.09165671230359276,-11970,7.924121351916064,18247,-6.985748414202159,0.08468912206284535,0.1507360664479744,-0.08302354399008671,0.0013513513513514486,0.17809457478110347
2004-05-18,122776,30728,31109,61461,54651,001602,WHEAT - CHICAGO BOARD OF TRADE ,370.5,-0.05546686648856454,6810,14.380226040613802,-381,-14.26383656467273,0.2344632768361582,0.30124359202419265,0.0013513513513514486,0.020242914979757165,0.17823944510069312
2004-05-25,123938,31105,33350,64130,54092,001602,WHEAT - CHICAGO BOARD OF TRADE ,378.0,-0.08099210895770466,10038,2.6291783410438523,-2245,-1.5182120284094611,0.027304562602561283,0.040617485067101076,0.020242914979757165,0.027116402116402094,0.17505004390786078
2004-06-01,122975,29015,29513,67135,60224,001602,WHEAT - CHICAGO BOARD OF TRADE ,388.25,-0.056198414311852005,6911,-2.523035711404089,-498,1.4095757556197452,0.07174208340203676,0.10126776927282669,0.027116402116402094,-0.06503541532517709,0.17017729407091378
2004-06-08,126503,29673,29502,67452,60143,001602,WHEAT - CHICAGO BOARD OF TRADE ,363.0,-0.057777285914168044,7309,0.32364301687334823,171,0.5440130107745477,0.0031192444845017436,0.011305449936628643,-0.06503541532517709,-0.03305785123966942,0.16599330105796237
2004-06-15,135180,29656,31925,72721,64022,001602,WHEAT - CHICAGO BOARD OF TRADE ,351.0,-0.06435123538985058,8699,1.098788171031517,-2269,-1.9288080124582025,0.06689921970411648,0.03962261087023595,-0.03305785123966942,-0.02065527065527062,0.16191484683979332
2004-06-22,143635,31870,34538,76016,67813,001602,WHEAT - CHICAGO BOARD OF TRADE ,343.75,-0.05711003585477077,8203,-0.36691818316318986,-2668,-0.295162006213937,0.04926683770310577,0.07268702565955909,-0.02065527065527062,-0.018181818181818188,0.15765882282275606
2004-06-29,144525,31817,42477,78879,63915,001602,WHEAT - CHICAGO BOARD OF TRADE ,337.5,-0.1035391800726518,14964,4.70707000382915,-10660,-5.564103456678386,0.04734792778408056,0.10757261690042265,-0.018181818181818188,0.002962962962963056,0.1531170071480166
2004-07-06,151856,37556,50557,82055,66588,001602,WHEAT - CHICAGO BOARD OF TRADE ,338.5,-0.10185307133073437,15467,0.3480366718560803,-13001,-1.6197889638470853,0.0393493134557295,0.15683270346032935,0.002962962962963056,-0.01624815361890697,0.1511091865999792
2004-07-13,156203,37818,53434,81975,66192,001602,WHEAT - CHICAGO BOARD OF TRADE ,333.0,-0.10104159331126802,15783,0.20809187651459277,-15616,-1.7220261300179118,0.0032125911977700836,0.034399246043922325,-0.01624815361890697,-0.005255255255255276,0.1490204423395639
2004-07-20,156170,34935,55151,81395,61927,001602,WHEAT - CHICAGO BOARD OF TRADE ,331.25,-0.12465902542101556,19468,2.3591096201737485,-20216,-2.944885821655154,0.033804998534767865,0.05106231822924761,-0.005255255255255276,-0.030188679245283012,0.14644749586030173
2004-07-27,154277,35655,53872,77217,58882,001602,WHEAT - CHICAGO BOARD OF TRADE ,321.25,-0.11884467548630062,18335,-0.725491451623231,-18217,1.2800153678683486,0.05307166107025033,0.02232845957085572,-0.030188679245283012,-0.01322957198443575,0.1434519872095958
2004-08-03,164297,41517,58670,77680,60672,001602,WHEAT - CHICAGO BOARD OF TRADE ,317.0,-0.10351984515846303,17008,-0.8601411746404195,-17153,0.6896685831329362,0.016284549554758877,0.10640103007376206,-0.01322957198443575,-0.01577287066246058,0.1393751721320167
2004-08-10,164510,39061,59517,83610,64015,001602,WHEAT - CHICAGO BOARD OF TRADE ,312.0,-0.11911130022491034,19595,1.5745874848597357,-20456,-2.010383634515542,0.06281456392887383,0.033506461888048046,-0.01577287066246058,-0.01041666666666663,0.13291559708927256
2004-08-17,170785,41349,58432,85320,70427,001602,WHEAT - CHICAGO BOARD OF TRADE ,308.75,-0.08720320871270897,14893,-2.85818491277126,-17083,2.050331286851863,0.052148677021066216,0.03380403082751225,-0.01041666666666663,0.00890688259109318,0.12678520467603954
2004-08-24,168344,41562,58144,87232,74416,001602,WHEAT - CHICAGO BOARD OF TRADE ,311.5,-0.07612982939694911,12816,-1.21614895921773,-16582,0.2933512896331645,0.03650524596654459,0.005024772832126451,0.00890688259109318,-0.005617977528089901,0.12059712963958298
2004-08-31,165453,37403,58525,88060,69354,001602,WHEAT - CHICAGO BOARD OF TRADE ,309.75,-0.11305929780662786,18706,3.4987881955994866,-21122,-2.696858812906905,0.03741725640667285,0.047327162038195314,-0.005617977528089901,-0.012913640032284124,0.11387852467264893
2004-09-07,161968,39419,61747,84642,66413,001602,WHEAT - CHICAGO BOARD OF TRADE ,305.75,-0.11254692284895781,18229,-0.2882993962031513,-22328,-0.7289079073815524,0.042097249346264604,0.051776288476365576,-0.012913640032284124,0.07031888798037622,0.10706309478588762
2004-09-14,153943,35708,52356,82904,69641,001602,WHEAT - CHICAGO BOARD OF TRADE ,327.25,-0.0861552652605185,13263,-3.0660377358490565,-16648,3.5068655536896176,0.0325543282310138,0.1487781613372093,0.07031888798037622,0.02291825821237592,0.10026716045595367
2004-09-21,149943,36622,45649,79662,72425,001602,WHEAT - CHICAGO BOARD OF TRADE ,334.75,-0.04826500736946707,7237,-3.914435862624478,-9027,4.9505336390742025,0.039622058427084494,0.09263288400529957,0.02291825821237592,-0.0567587752053772,0.09442980909788308
2004-09-28,151470,33850,54624,83548,64718,001602,WHEAT - CHICAGO BOARD OF TRADE ,315.75,-0.12431504588367333,18830,7.731604676443715,-20774,-7.834310371274418,0.07819054941793803,0.13277347017202795,-0.0567587752053772,-0.0300870942201108,0.08759464198926925
2004-10-05,155168,35120,62804,82232,56509,001602,WHEAT - CHICAGO BOARD OF TRADE ,306.25,-0.1657751598267684,25723,4.55073611936357,-27684,-4.561959463920248,0.06865310182282094,0.09650341080838201,-0.0300870942201108,0.015510204081632617,0.08046127605926329
2004-10-12,161776,39059,64654,82450,58432,001602,WHEAT - CHICAGO BOARD OF TRADE ,311.0,-0.1484645435664128,24018,-1.098809032790266,-25595,1.3462827387090122,0.01519711531636405,0.05581749636014772,0.015510204081632617,0.026527331189710512,0.07311514980024122
2004-10-19,154723,38117,58153,77510,59927,001602,WHEAT - CHICAGO BOARD OF TRADE ,319.25,-0.11364179856905567,17583,-3.977722282662447,-20036,3.4362328157452278,0.04682145273834557,0.07731380492365222,0.026527331189710512,-0.011746280344557603,0.06790211558301815
2004-10-26,156004,35704,59017,79551,59640,001602,WHEAT - CHICAGO BOARD OF TRADE ,315.5,-0.1276313427860824,19911,1.5046243932705545,-23313,-2.1179785810771508,0.016725219302972175,0.03459634083255033,-0.011746280344557603,-0.04199683042789226,0.06357882667151202
2004-11-02,164170,36863,63338,81115,58364,001602,WHEAT - CHICAGO BOARD OF TRADE ,302.25,-0.13858195772674667,22751,1.8204661418937975,-26475,-2.0268711058690805,0.020361488109321115,0.05469007295336374,-0.04199683042789226,0.007444168734491274,0.05941870540488731
2004-11-09,168056,34039,66218,84043,61093,001602,WHEAT - CHICAGO BOARD OF TRADE ,304.5,-0.13656162231637073,22950,0.12121581287689591,-32179,-3.4744472193458,0.03897723514496748,0.05689378297774719,0.007444168734491274,0.020525451559934238,0.05312002573567727
2004-11-16,173570,35756,67005,86512,64682,001602,WHEAT - CHICAGO BOARD OF TRADE ,310.75,-0.12577058247392983,21830,-0.6664445184938355,-31249,0.5533869662493455,0.04006772755532627,0.024367221027432585,0.020525451559934238,-0.032984714400643655,0.04625810931014445
2004-11-23,185168,38862,63448,95601,74350,001602,WHEAT - CHICAGO BOARD OF TRADE ,300.5,-0.11476605028946686,21251,-0.3335829924526128,-24586,3.8387970271360263,0.11036710581285195,0.06512559867070668,-0.032984714400643655,-0.035773710482529086,0.03926346205052432
2004-11-30,171858,34123,71384,97611,63983,001602,WHEAT - CHICAGO BOARD OF TRADE ,289.75,-0.1956731720373797,33628,6.6842002937872635,-37261,-6.84513522854921,0.07659319034122554,0.12013420910460917,-0.035773710482529086,-0.009490940465918918,0.03085332336159604
2004-12-07,178989,35557,74297,104515,69076,001602,WHEAT - CHICAGO BOARD OF TRADE ,287.0,-0.19799540753901076,35439,1.0537769553934062,-38740,-0.860594211500192,0.0691107257864751,0.03957070293298378,-0.009490940465918918,-0.006968641114982632,0.022587543603093247
2004-12-14,186561,36265,75069,106767,73233,001602,WHEAT - CHICAGO BOARD OF TRADE ,285.0,-0.1797481788798302,33534,-1.0643112146556493,-38804,-0.03575638726402181,0.03560555555555556,0.013293333572852856,-0.006968641114982632,0.07192982456140351,0.014667650529194788
2004-12-21,184701,38286,68697,105221,79732,001602,WHEAT - CHICAGO BOARD OF TRADE ,305.5,-0.13800141850883318,25489,-4.312262477152244,-30411,4.498796640240994,0.0434975372121566,0.07845171662787545,0.07192982456140351,-0.0016366612111292644,0.00686242403961999
2004-12-28,183042,37754,67376,106574,80526,001602,WHEAT - CHICAGO BOARD OF TRADE ,305.0,-0.14230613738923306,26048,0.3026513121206707,-29622,0.4271768967141488,0.011475146980224478,0.017625796632740418,-0.0016366612111292644,-0.02950819672131144,-0.001422457054426793
2005-01-04,195001,38061,76909,110992,76866,001602,WHEAT - CHICAGO BOARD OF TRADE ,296.0,-0.17500423074753463,34126,4.413194785896133,-38848,-5.040373247669934,0.04300056425598058,0.08558754457684613,-0.02950819672131144,0.03547297297297303,-0.00790178173374356
2005-01-11,192983,37013,66426,109514,82793,001602,WHEAT - CHICAGO BOARD OF TRADE ,306.5,-0.13846297342252945,26721,-3.79741642350552,-29413,4.838436725965508,0.03850613862209904,0.11147632904417096,0.03547297297297303,-0.03262642740619903,-0.014831476984296526
