,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CT_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-04-01,83618,31405,5434,31799,62829,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,57.720001220703125,0.37109234853739625,-31030,12.532090481384767,25971,-10.684339845084235,0.12019698186583253,0.29536632373300037,0.004699746809017302,-0.012993762718961799,
2003-04-08,81649,30915,5596,31827,61713,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,56.970001220703125,0.366030202451959,-29886,1.3681264799445096,25319,-0.7797364203879548,0.012230062005559119,0.01785763194653666,-0.012993762718961799,0.018079669250955943,
2003-04-15,76623,30743,5048,30147,61097,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,58.0,0.40392571421113765,-30950,-1.3031390464059571,25695,0.4605077833163909,0.025163298408662486,0.020116789136933867,0.018079669250955943,0.0065517425537109375,
2003-04-22,80737,35616,4718,28482,64027,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,58.380001068115234,0.4402566357432156,-35545,-5.99689388303773,30898,6.7903893086932126,0.049670842836913164,0.12899786780383796,0.0065517425537109375,-0.06988697767056085,
2003-04-29,71545,26401,8048,30313,51536,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,54.29999923706055,0.29663847927877557,-21223,17.73907873713415,18353,-15.538105205791645,0.17498075724810322,0.3641615141223258,-0.06988697767056085,-0.0755064186321901,
2003-05-06,73115,21648,15539,35440,41629,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,50.20000076293945,0.08464747315872256,-6189,21.013348242364945,6109,-17.113704661401915,0.19507194851366957,0.32925484712399494,-0.0755064186321901,0.07589636455556614,
2003-05-13,73061,18313,18102,40064,39988,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,54.0099983215332,-0.001040226659914318,76,8.568693154619435,211,-8.066744170142925,0.07826162994053865,0.16196622271042152,0.07589636455556614,-0.010553595862582643,
2003-05-20,73484,18770,16880,39142,40670,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,53.43999862670898,0.020793642153393938,-1528,-2.1954257401349557,1890,2.298079686837027,0.02009722848694432,0.04709677419354839,-0.010553595862582643,-0.018525409603486254,
2003-05-27,72986,17610,16758,39310,39378,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,52.45000076293945,0.0009316855287315375,-68,1.9868270643949704,852,-1.41255239235752,0.018554290361935746,0.03730214152700186,-0.018525409603486254,-0.07283126099634651,
2003-06-03,79626,17997,24280,44712,37142,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,48.630001068115234,-0.0950694496772411,7570,10.46502068889924,-6283,-9.775847422793413,0.09331248320179833,0.18707571492773847,-0.07283126099634651,0.09376922596005355,
2003-06-10,79613,18655,25415,43722,35890,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,53.18999862670898,-0.0983758933842463,7832,0.3290382538366865,-6760,-0.5990505613744255,0.028161583680852132,0.04068527342863626,0.09376922596005355,0.06410979386075422,
2003-06-17,69960,14153,12437,39187,39919,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,56.59999847412109,0.0104631217838765,-732,-10.757037167296799,1716,10.646502455629106,0.10825980330189872,0.6573899962391877,0.06410979386075422,-0.054240278755977034,
2003-06-24,56343,13363,8764,32393,36748,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,53.52999877929688,0.07729442876666134,-4355,-5.1786735277301315,4599,4.120926243567753,0.14412577197321416,0.2016992814208885,-0.054240278755977034,0.08537268445804047,
2003-07-01,59260,16396,12846,30349,40625,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,58.09999847412109,0.17340533243334458,-10276,-10.508847594199812,3550,-1.861810695206148,0.0834249161664835,0.24331441077901647,0.08537268445804047,0.005507740158835928,
2003-07-08,61992,20373,2843,27474,47389,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,58.41999816894531,0.32125112917795845,-19915,-16.265609179885253,17530,23.59095511306109,0.12875519281888248,0.602170916609235,0.005507740158835928,0.03046906281726569,0.28348373794311355
2003-07-15,64303,25586,2902,25533,50511,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,60.20000076293945,0.38844221887003716,-24978,-8.167182862304813,22684,8.313975996902826,0.06657987480932091,0.18506037629879246,0.03046906281726569,-0.03803988183563478,0.28737108908855513
2003-07-22,63491,24293,3172,25829,49288,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,57.90999984741211,0.36948543888110125,-23459,2.362253705114847,21121,-2.430679750555962,0.020221787345075015,0.056908793009284545,-0.03803988183563478,-0.0024175339322625167,0.29030374443828894
2003-07-29,62278,22772,2482,26587,48959,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,57.77000045776367,0.3592279777770641,-22372,1.712053676899088,20290,-1.3088469231859634,0.014388584438620178,0.08755048705155619,-0.0024175339322625167,-0.03185044379449398,0.292680442139626
2003-08-05,61831,18464,7174,30054,42702,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,55.93000030517578,0.20455758438323818,-12648,15.613860432255372,11290,-14.451331128167249,0.13365220737808567,0.35104142288790074,-0.03185044379449398,-0.020382610109568322,0.28974301354774645
2003-08-12,61329,16781,10026,32136,39743,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,54.790000915527344,0.1240359373216586,-7607,8.152868302307905,6755,-7.334508579838592,0.07013174918961032,0.16917223113365912,-0.020382610109568322,0.006935521939556599,0.28439762399206614
2003-08-19,63711,17454,15554,34082,36831,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,55.16999816894531,0.043147965029586725,-2749,7.921211824748488,1900,-7.916320174794958,0.06850647977098698,0.18786354823073195,0.006935521939556599,0.015044441881491455,0.27685857214948867
2003-08-26,64220,18298,16585,33866,37246,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,56.0,0.05263157894736842,-3380,-0.9904098193404592,1713,-0.29351289416270343,0.008873326583417707,0.05375111085629103,0.015044441881491455,0.02678571428571419,0.27006381477972746
2003-09-02,64671,19301,11681,32758,42389,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,57.5,0.14892301031374186,-9631,-9.733727810650887,7620,9.198069137340392,0.08318362675822055,0.19065909237621845,0.02678571428571419,0.011826092263926613,0.26650084994249257
2003-09-09,62848,18909,6492,31835,46573,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,58.18000030517578,0.23450229124236252,-14738,-7.89689350713612,12417,7.417544185183466,0.06513365983062953,0.21971575922207787,0.011826092263926613,0.07597109222689524,0.26558660540820317
2003-09-16,82098,36823,4287,29936,65903,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,62.59999847412109,0.43809837024044435,-35967,-33.77832230142566,32536,32.012156313645626,0.22150690220056554,0.489394307954269,0.07597109222689524,0.044728484345176955,0.27037859887576543
2003-09-23,91119,44690,5183,32117,75648,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,65.4000015258789,0.4777379031815538,-43531,-9.213379132256572,39507,8.491071646081512,0.11066672852967105,0.1757062939867263,0.044728484345176955,0.020642178021768043,0.27598290439754347
2003-09-30,99434,49805,4986,33341,82646,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,66.75,0.4958565480620311,-49305,-6.336768401760335,44819,5.829739132343419,0.07088725460611965,0.0969502290522166,0.020642178021768043,0.0014981044812147903,0.28176905291503
2003-10-07,99896,49400,5738,33559,81598,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,66.8499984741211,0.48089012573076,-48039,1.2732063479292797,43662,-1.1635858961723355,0.010993686879651259,0.020983713591352607,0.0014981044812147903,0.07135384265277867,0.2868747214487667
2003-10-14,109423,55018,6029,35585,89004,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,71.62000274658203,0.4881880409054769,-53419,-5.385601025066069,48989,5.3325458476815895,0.07570491776962653,0.0967942732648615,0.07135384265277867,0.05152184683751382,0.29190755443518446
2003-10-21,110013,53217,6655,37476,87168,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,75.30999755859375,0.45169207275503803,-49692,3.4060480886102558,46562,-2.21799804428685,0.02990115849940631,0.040536477819347945,0.05152184683751382,0.08856733520871973,0.29580473780883937
2003-10-28,116395,48471,6080,43263,91548,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,81.9800033569336,0.4148374071051162,-48285,1.2789397616645306,42391,-3.7913701108050866,0.07541669448338785,0.09754174992209125,0.08856733520871973,-0.05403757164888068,0.29863884898256027
2003-11-04,111493,44506,5812,40863,86243,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,77.55000305175781,0.40702106858726556,-45380,2.495811675759268,38694,-3.176253275484342,0.060618696206315985,0.08412496522119321,-0.05403757164888068,-0.020631928311437453,0.3011593657175534
2003-11-11,104688,44976,2653,39177,87241,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,75.94999694824219,0.45911661317438485,-48064,-2.4073260204676528,42323,3.2549128644847656,0.021231153791390466,0.07619307564718973,-0.020631928311437453,-0.062146066898793095,0.3047493031597541
2003-11-18,91659,40234,3722,35149,76763,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,71.2300033569336,0.45400888074275303,-41614,6.1611646033929395,36512,-5.5507794589637784,0.12961970119379512,0.1322003822003822,-0.062146066898793095,-0.12129724550272225,0.3080661826615985
2003-11-25,84625,31169,5176,36585,66912,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,62.59000015258789,0.35836927621861153,-30327,12.314120817377454,25993,-11.476232557632093,0.10905630114882557,0.2894208281744394,-0.12129724550272225,0.09442402672957573,0.3091597281737075
2003-12-02,80546,29740,4874,35973,64952,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,68.5,0.35978198793236166,-28979,1.5929098966026587,24866,-1.3317577548005908,0.025484270497894475,0.0500086670133472,0.09442402672957573,0.025401428668168302,0.3102367975302746
2003-12-09,79270,26538,6602,37819,61343,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,70.23999786376953,0.29675791598334805,-23524,6.772527499813771,19936,-6.120726044744618,0.0550109921139146,0.1487628243814122,0.025401428668168302,-0.004555804449835832,0.309955987498047
2003-12-16,78890,26098,7051,38215,60456,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,69.91999816894531,0.28192419825072884,-22241,1.6185189857449225,19047,-1.1214835372776586,0.01300280730913845,0.026818305227910344,-0.004555804449835832,0.06364423189606394,0.3093839101664691
2003-12-30,82194,29075,6127,38404,66506,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,74.37000274658203,0.34189843540891063,-28102,-7.4293319812397005,22948,4.94485993155026,0.05947002192355352,0.11081756718368274,0.06364423189606394,0.01748010453614013,0.3100342006713179
2004-01-06,89122,34549,4955,38726,74555,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,75.66999816894531,0.40202194744283115,-35829,-9.400929508236612,29594,8.085748351461177,0.07389588721850972,0.1682361279870393,0.01748010453614013,-0.017972785030536786,0.3118378819805633
2004-01-13,91645,35965,4172,38728,76486,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,74.30999755859375,0.4120028370342081,-37758,-2.1644487331971907,31793,2.4674042324005296,0.016777474959640323,0.05478735331489648,-0.017972785030536786,0.012918841555817462,0.31376413111621027
2004-01-20,94665,36285,4653,39452,77541,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,75.2699966430664,0.40235567527597316,-38089,-0.36117627802935237,31632,-0.175677887500682,0.01520603796808356,0.01956617323757878,0.012918841555817462,-0.020061041240594157,0.3127233146057098
2004-01-27,99413,41857,4483,39059,82554,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,73.76000213623047,0.43751823202196893,-43495,-5.710663920139439,37374,6.06559974647441,0.044452484520569345,0.1239102287440656,-0.020061041240594157,-0.06588937729930411,0.3124567001123009
2004-02-03,88074,26660,8167,44358,66828,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,68.9000015258789,0.25512637100619934,-22470,21.149145483991028,18493,-18.99248589218714,0.18909754825247782,0.542136847847934,-0.06588937729930411,-0.05718435927648535,0.30955458457167645
2004-02-10,80124,17388,11327,46588,54574,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,64.95999908447266,0.09967051070840198,-7986,16.44526193882417,6061,-14.115402956604672,0.14317629149285305,0.43294445411805677,-0.05718435927648535,0.03448272622135784,0.30449948179823577
2004-02-17,80036,19992,17751,46217,49384,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,67.19999694824219,0.03956969363786296,-3167,6.014427637162399,2241,-4.767610204183516,0.05816884760619659,0.2391966722306123,0.03448272622135784,0.026785760915200463,0.297253864225137
2004-02-24,79676,21586,17762,44264,49865,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,69.0,0.07029720367488328,-5601,-3.041131490829127,3824,1.9778599630166422,0.025858130862964655,0.04078987496187862,0.026785760915200463,0.013043500375056638,0.2898437928665888
2004-03-02,78350,22621,10678,42500,57134,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,69.9000015258789,0.18677728142948308,-14634,-11.337165520357448,11943,10.19001957929615,0.09066182226950639,0.24382113576984293,0.013043500375056638,-0.10085841055593847,0.28368667198586217
2004-03-09,81527,19197,15478,47408,52948,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,62.84999847412109,0.06795294810308242,-5540,11.606892150606255,3719,-10.496490108487556,0.09061740204870661,0.23717375630857968,-0.10085841055593847,0.04677808294007879,0.27540780946705623
2004-03-16,86529,18783,21736,50923,50589,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,65.79000091552734,-0.003859977579770944,334,7.204975038944153,-2953,-8.183791872631154,0.05786507999054299,0.1646634912016585,0.04677808294007879,-0.014135891354825736,0.26601350374217836
2004-03-23,88352,18769,21544,51358,51198,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,64.86000061035156,-0.0018109380659181455,160,-0.20108865235932463,-2775,0.20571137999976885,0.010179804204532157,0.005110014139359512,-0.014135891354825736,0.0037002445499703107,0.2565041274580394
2004-03-30,89832,18219,22839,53265,51659,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,65.0999984741211,-0.017877816368331998,1606,1.636635277073524,-4620,-2.0882379572618617,0.022568716404254507,0.04493643138974134,0.0037002445499703107,-0.0519200819146195,0.2471754122859536
2004-04-06,91851,17414,28031,55078,45970,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,61.720001220703125,-0.09916059705392428,9108,8.351144358357823,-10617,-6.675794816991718,0.0742419444224527,0.1319617119595115,-0.0519200819146195,-0.003564504477510111,0.23813208640919747
2004-04-20,86782,11950,36449,64035,40289,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,61.5,-0.27362817174068355,23746,15.936680057919892,-24499,-15.113607908460441,0.14031287143897855,0.2868241079361144,-0.003564504477510111,0.05447151990440813,0.2258309638285697
2004-04-27,83546,11966,36252,61081,37423,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,64.8499984741211,-0.28317334163215474,23658,-0.10140351685833468,-24286,0.2454426033048328,0.059083895070250955,0.004417437471483678,0.05447151990440813,-0.06553585350809232,0.21261752044696797
2004-05-04,84864,12832,40957,60618,32801,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,60.59999847412109,-0.32778327677224733,27817,4.9780958992650755,-28125,-4.5950733727527355,0.054432181890193644,0.10357136217442228,-0.06553585350809232,0.058580909919887736,0.19784752212936288
2004-05-11,81694,11812,34362,59068,37012,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,64.1500015258789,-0.2699831076945675,22056,-6.788508672699849,-22550,6.569334464555053,0.05996044962531224,0.16491965175206827,0.058580909919887736,-0.01886208683380619,0.18695095314910629
2004-05-18,80864,11744,34319,58321,36149,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,62.93999862670898,-0.27418876137712705,22172,0.14199329204103117,-22575,-0.03060200259504982,0.01704244733777919,0.002409743177821679,-0.01886208683380619,0.011757256031346364,0.18005025633110916
2004-05-25,80999,10933,35379,59168,35478,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,63.68000030517578,-0.29247274657711825,23690,1.877225959635932,-24446,-2.3137613771270282,0.016038712676711114,0.04039989635515633,0.011757256031346364,-0.08558418242495658,0.17444578479423983
2004-06-01,81883,11244,37569,59497,33243,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,58.22999954223633,-0.32062821342647435,26254,3.1654711786565266,-26325,-2.319781725700317,0.02764718568039681,0.05123635097207711,-0.08558418242495658,-0.04362014314777718,0.1678799798792424
2004-06-08,86995,10554,40673,64557,35297,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,55.68999862670898,-0.336341169032703,29260,3.671091679591612,-30119,-4.6334403966635325,0.07124401626374507,0.07406250610029867,-0.04362014314777718,-0.024600448297150912,0.16139396344536866
2004-06-15,81283,9601,36039,59292,32256,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,54.31999969482422,-0.33261567609463233,27036,-2.5564687625725617,-26438,4.231277659635611,0.09072836107834141,0.12241454864154251,-0.024600448297150912,-0.10898376660906695,0.15682576678349577
2004-06-22,74987,9577,37281,55243,27344,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,48.400001525878906,-0.37205115553362583,27899,1.061722623426793,-27704,-1.5575212529065119,0.10850375967161902,0.027017798454906313,-0.10898376660906695,0.02685948752223588,0.15156278097293077
2004-06-29,70975,8691,35752,51934,24317,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,49.70000076293945,-0.38910884114124694,27617,-0.3760651846320029,-27061,0.857481963540347,0.08309399220993822,0.05433926602614585,0.02685948752223588,-0.06438633226995127,0.1438787047628322
2004-07-06,74601,10471,37908,52940,25583,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,46.5,-0.3667109019986327,27357,-0.3663261711870377,-27437,-0.5297640014089469,0.028934197623626198,0.08135761384071602,-0.06438633226995127,0.0021505048198082743,0.1353401407096535
2004-07-13,77935,11074,39836,54784,26362,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,46.59999847412109,-0.36468852248668765,28422,1.427594804359191,-28762,-1.776115601667538,0.032324452221920985,0.049715183657434686,0.0021505048198082743,0.04463523388761059,0.12499218196119134
2004-07-20,77178,11641,39356,52914,26234,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,48.68000030517578,-0.34569436886159266,26680,-2.2351959966638866,-27715,1.343427214986848,0.02524384697023298,0.020530619448202836,0.04463523388761059,-0.09737061727098706,0.1121663069988923
2004-07-27,79015,11397,41196,56205,25531,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,43.93999862670898,-0.388204771245966,30674,5.1750498846821635,-29799,-2.700251366969862,0.04886463736909073,0.03962504515810089,-0.09737061727098706,0.034592637807679516,0.0972307879581999
2004-08-03,78625,10799,40897,57303,26443,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,45.459999084472656,-0.3924960254372019,30860,0.23539834208694552,-30098,-0.3784091628171866,0.02400114632340649,0.017351439182915505,0.034592637807679516,-0.009018914554975166,0.082577298259771
2004-08-10,78442,10199,41361,57192,24788,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,45.04999923706055,-0.41309502562402795,32404,1.963751987281399,-31162,-1.3532591414944357,0.021541839473042206,0.020636152055857254,-0.009018914554975166,0.03440619896360464,0.06772493280975
2004-08-17,77719,9886,40620,56576,24996,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,46.59999847412109,-0.4063356450803536,31580,-1.0504576629866653,-30734,0.545626067667831,0.010101505418525964,0.02086880766641587,0.03440619896360464,0.0933476916578464,0.05597698608929632
2004-08-24,70476,9372,32796,50621,27185,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,50.95000076293945,-0.33253873659118,23436,-10.478776103655477,-23424,9.405679434887222,0.1046705909569956,0.19773287801176248,0.0933476916578464,0.05593716254061687,0.04719670389866481
2004-08-31,69292,9491,30748,48878,28131,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,53.79999923706055,-0.2994140737747503,20747,-3.81548328508996,-21257,3.0748056075827233,0.03491799659780026,0.05385322696886106,0.05593716254061687,-0.02973974901135168,0.04060897238319679
2004-09-07,68390,9394,27629,48411,30751,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,52.20000076293945,-0.25822488667933907,17660,-4.455059747156959,-18235,4.3612538243953125,0.03899598292109851,0.08686492180536423,-0.02973974901135168,-0.014367815881958346,0.03463096342883702
2004-09-14,67519,8640,27899,48873,30303,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,51.45000076293945,-0.27503369421940493,18570,1.3306038894575232,-19259,-1.4972949261587951,0.01149338183287865,0.028024850160102904,-0.014367815881958346,-0.024295432098426772,0.026477949880122663
2004-09-21,70745,8150,31913,53077,28684,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,50.20000076293945,-0.3448017527740476,24393,8.624239103067284,-23763,-6.670714909877219,0.07121977470921344,0.11242293387914036,-0.024295432098426772,-0.044820716450288955,0.015337487495191695
2004-09-28,70864,7787,31539,53684,28889,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,47.95000076293945,-0.3498955746218108,24795,0.5682380380238886,-23752,0.01554880203547954,0.009833722887626706,0.018740782179728424,-0.044820716450288955,0.019186614271263558,0.00018375778630217528
2004-10-05,71859,6769,33020,53823,27387,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,48.869998931884766,-0.3678871122615121,26436,2.3157033190336422,-26251,-3.5264732445247233,0.020206871074990765,0.06280630324964186,0.019186614271263558,-0.0834867629533641,-0.016078261741449093
2004-10-12,75572,7061,35712,55652,26556,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,44.790000915527344,-0.3850103212830149,29096,3.701693594400145,-28651,-3.3398739197595293,0.03235694822888283,0.06976363593855937,-0.0834867629533641,0.061397632145318015,-0.033018009228853826
2004-10-19,78191,7760,39236,59276,27195,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,47.540000915527344,-0.410290186850149,32081,3.9498756153072563,-31476,-3.738156989361139,0.049299765239213145,0.08985871137969188,0.061397632145318015,-0.019352165879788386,-0.050156092163102066
2004-10-26,80534,8463,38239,59322,29108,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,46.619998931884766,-0.37517073534159484,30214,-2.3877428348531162,-29776,2.1741632668721462,0.02215311545855479,0.03640101066335489,-0.019352165879788386,-0.031531476612722265,-0.06675914555246884
2004-11-02,84823,9310,42534,62209,28791,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,45.150001525878906,-0.3939733327045731,33418,3.978443887053915,-33224,-4.281421511411329,0.03520879120879121,0.09918216187022606,-0.031531476612722265,-0.02458473029542063,-0.08302194181130752
2004-11-09,88752,10727,44321,63937,30835,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,44.040000915527344,-0.37297187669010273,33102,-0.3725404666187237,-33594,-0.4362024450915436,0.03980078504199552,0.058203749455021075,-0.02458473029542063,0.05790188882946823,-0.09817212034583095
2004-11-16,88395,12299,43347,62502,33171,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,46.59000015258789,-0.3318174104870185,29331,-4.248918334234721,-31048,2.868667748332432,0.03941550907779624,0.04575351328037954,0.05790188882946823,0.05172783514743662,-0.11238055263572103
2004-11-23,81787,12822,40966,57337,29979,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,49.0,-0.3345030383801827,27358,-2.2320266983426666,-28144,3.2852536908196166,0.09570983553987815,0.05398973748791552,0.05172783514743662,-0.007142826002471292,-0.1276424690117704
2004-11-30,80690,12648,38780,56533,31966,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,48.650001525878906,-0.30446151939521626,24567,-3.412522772567767,-26132,2.460048662990451,0.03153707951502277,0.045889398771097455,-0.007142826002471292,-0.05508736322958141,-0.14222843824519288
