,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZM_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-07-22,151785,22773,9418,83489,107580,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,176.3000030517578,0.15871792337846297,-24091,3.7274825564428413,13355,-2.060727456026318,0.041471928989003974,0.0965176602155882,-0.0318506472122837,-0.035167310498695814,0.22842144667998399
2003-07-29,150989,20828,11834,85513,105791,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,170.10000610351562,0.1343011742577274,-20278,2.5121059393220673,8994,-2.873142932437329,0.019931627148412998,0.1335190741534505,-0.035167310498695814,-0.032333920062606825,0.22528410426590875
2003-08-05,143405,19234,13879,81017,97364,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,164.60000610351562,0.113991841288658,-16347,2.6035009172853654,5355,-2.410109345713926,0.07244605647462454,0.10989641530516715,-0.032333920062606825,0.09781282046005146,0.22169403126664264
2003-08-12,141843,20603,8842,73989,98631,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,180.6999969482422,0.1737272900319367,-24642,-5.784317143753705,11761,4.4670687911858025,0.04805352798053528,0.2175581592800136,0.09781282046005146,0.012174858801311306,0.22019507060305807
2003-08-19,149930,32774,6707,72121,113541,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,182.8999938964844,0.2762622557193357,-41420,-11.828571025711526,26067,10.085799087723752,0.09036851913692624,0.36235151085332185,0.012174858801311306,0.053581210381583144,0.22189407621264223
2003-08-26,148541,40603,5662,64647,113719,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,192.6999969482422,0.3303599679549754,-49072,-5.103715067031281,34941,5.918762088974855,0.04290055279593644,0.19180806225008107,0.053581210381583144,0.0155682410353426,0.22508424949918143
2003-09-02,149481,40303,5390,63336,114065,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,195.6999969482422,0.3393675450391689,-50729,-1.1155169279862127,34913,-0.018850014474118257,0.009340420854448396,0.012518328846869323,0.0155682410353426,0.05160963853355005,0.22834948651460965
2003-09-09,149283,43205,5758,61594,115273,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,205.8000030517578,0.35957878659994774,-53679,-1.973494959225587,37447,1.695198720907674,0.01667919962457666,0.06678512346057226,0.05160963853355005,-0.0947521851838643,0.2319947448503135
2003-09-16,146804,44160,5977,58953,112367,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,186.3000030517578,0.3638456717800605,-53414,0.17751518927138388,38183,0.49302331812731526,0.03237800607051133,0.023415840596764863,-0.0947521851838643,0.045088533327348745,0.2355582834159823
2003-09-23,158217,44145,5470,68172,120836,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,194.6999969482422,0.33285930083366516,-52664,0.5108852619819624,38675,0.3351407318601673,0.09358334038770846,0.010521011790789075,0.045088533327348745,0.026194176597092556,0.23811883650592133
2003-09-30,166704,46625,7186,69163,125423,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,199.8000030517578,0.3374844034936174,-56260,-2.2728278250756873,39439,0.4828811063286499,0.02866598830337229,0.0779766218802847,0.026194176597092556,0.006506521681188371,0.24066667155688792
2003-10-07,169171,44357,5345,73769,129334,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,201.1000061035156,0.3284546405707834,-55565,0.4169066129187062,39012,-0.2561426240522123,0.04193438797063559,0.08267272946762706,0.006506521681188371,0.09149673464959052,0.2428613707822353
2003-10-14,168356,44557,4800,74748,132111,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,219.5,0.3407244173061845,-57363,-1.0628299176572815,39757,0.44038280792807283,0.01815729554914217,0.01509411025791681,0.09149673464959052,0.02505694760820054,0.24524827435599017
2003-10-21,167566,36172,3584,79436,131156,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,225.0,0.30865450031629327,-51720,3.351825892751075,32588,-4.2582384946185465,0.026795889682419086,0.24149813864573902,0.02505694760820054,0.10088887532552082,0.24675794640266405
2003-10-28,168920,33648,2357,78017,128870,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,247.6999969482422,0.3010478332938669,-50853,0.5174080660754569,31291,-0.7740233698960409,0.017908326767752444,0.10417997500347174,0.10088887532552082,-0.010496531597737002,0.24802050191176178
2003-11-04,172509,29303,3735,85361,131088,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,245.1000061035156,0.26507022821997694,-45727,3.034572578735496,25568,-3.387994316836372,0.044176688272988096,0.1732247714752709,-0.010496531597737002,-0.0016320242566801868,0.24840799569149397
2003-11-11,169107,28314,2091,83364,130614,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,244.6999969482422,0.27940889495999577,-47250,-0.882852488855654,26223,0.37969033499701466,0.011547916140911682,0.08659759907909884,-0.0016320242566801868,-0.017572550491969596,0.24909690456412734
2003-11-18,170773,29980,1911,82838,130019,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,240.3999938964844,0.2762790370843166,-47181,0.040802568787808906,28069,1.0916165504680468,0.005266446487547978,0.057884669656015804,-0.017572550491969596,-0.04159733882649752,0.24968782048847923
2003-11-25,172871,19717,2799,95342,130737,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,230.3999938964844,0.20474804912333475,-35395,6.901559379995667,16918,-6.529720740398072,0.05848398126318676,0.49524782376976373,-0.04159733882649752,-0.0026041269992227445,0.2487316551402847
2003-12-30,178731,28181,4661,88594,132759,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,229.8000030517578,0.24710318859067537,-44165,-5.073147028709269,23520,3.8190326891150046,0.03961997352644871,0.3144144692771451,-0.0026041269992227445,0.05526543420185148,0.24869772875383453
2004-01-06,176547,27145,5103,88146,132772,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,242.5,0.25277121672982267,-44626,-0.2579295141861233,22042,-0.8269410454817575,0.0020867471188404747,0.04583229967749938,0.05526543420185148,0.046185554425741016,0.24878086116150774
2004-01-13,184633,29625,6183,88743,135094,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,253.6999969482422,0.25104396288854103,-46351,-0.9770769256911758,23442,0.7929899686768962,0.013040739466665474,0.09941912421805184,0.046185554425741016,0.023255850320239135,0.24882612319604838
2004-01-20,185209,32418,5174,90499,139838,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,259.6000061035156,0.266396341430492,-49339,-1.618345582858969,27244,2.059220182740897,0.028219521831056235,0.10113854011491807,0.023255850320239135,0.004237311547200084,0.2491706372790767
2004-01-27,191673,32576,5566,94771,142805,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,260.70001220703125,0.2506038930887501,-48034,0.7046093872328019,27010,-0.1263437521934679,0.03047024952015355,0.014419799695873316,0.004237311547200084,-0.0533180226483263,0.2491981998908012
2004-02-03,184147,26196,4630,91155,120273,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,246.8000030517578,0.15812367293520938,-29118,9.868891288809587,21566,-2.840253974216504,0.12367330722515467,0.2373321222344774,-0.0533180226483263,0.006482944995714002,0.24883283419579308
2004-02-10,184011,28346,6415,95203,136513,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,248.3999938964844,0.2244974485220992,-41310,-6.620797515028755,21931,0.19821121169500455,0.08755545581660308,0.11320157647938782,0.006482944995714002,0.03542680566334511,0.25220404059601154
2004-02-17,181209,29156,4797,95632,139180,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,257.20001220703125,0.2403191894442329,-43548,-1.2162316383259697,24359,1.3194863350560564,0.01318501609798477,0.07151061761847259,0.03542680566334511,0.08981327562046681,0.2561166623475788
2004-02-24,191863,34301,4860,95701,144703,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,280.29998779296875,0.255400989247536,-49002,-3.009784282237637,29441,2.8044964654073476,0.02326084424552004,0.13298945379331478,0.08981327562046681,-0.0010702383376138824,0.2598953115166079
2004-03-02,184308,32493,6243,93842,138291,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,280.0,0.2411669596544914,-44449,2.373047434888436,26250,-1.663165904838348,0.035630436000051696,0.08237814952498967,-0.0010702383376138824,0.014642878941127258,0.2626944424529144
2004-03-09,184282,33830,5457,90881,138377,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,284.1000061035156,0.257735427225665,-47496,-1.6532109295310027,28373,1.151876207218352,0.013290703050711426,0.05403823147606078,0.014642878941127258,0.06335797118371578,0.2652825012709018
2004-03-16,188281,38830,4562,89162,144772,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,302.1000061035156,0.29535640877199504,-55610,-4.403034479764709,34268,3.1989016832897406,0.03468499662297913,0.1358545353982301,0.06335797118371578,0.07745777366342144,0.26754421577909027
2004-03-23,185232,34682,4653,89788,142870,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,325.5,0.2865703550142524,-53082,1.3426739819737519,30029,-2.2514220765770308,0.010865734253711457,0.1077666200584721,0.07745777366342144,-0.027649769585253448,0.2690019653937545
2004-03-30,185132,29375,6143,94794,141062,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,316.5,0.2499189767301169,-46268,3.6786300423253,23232,-3.6694523624427746,0.0288905094634014,0.19136775719353566,-0.027649769585253448,0.01674561703939581,0.26916855956140345
2004-04-06,188568,33649,7006,93692,142817,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,321.79998779296875,0.2605161002927326,-49125,-1.5432232137069766,26643,1.8424691571419312,0.012079878566988994,0.12635592178083876,0.01674561703939581,-0.07613424776063749,0.2702156177649868
2004-04-20,168496,25359,8482,87447,123276,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,297.29998779296875,0.2126400626721109,-35829,7.05103729158712,16877,-5.179033558185906,0.12236917659676447,0.28858485269347833,-0.07613424776063749,0.03666338668554858,0.27026301199034847
2004-04-27,163098,29250,5245,81395,123302,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,308.20001220703125,0.2569436780340654,-41907,-3.6072072927547243,24005,4.230367486468521,0.029692667699086944,0.20663864328163503,0.03666338668554858,0.04607391670028349,0.272038458055157
2004-05-04,162347,31486,4265,79320,125543,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,322.3999938964844,0.28471730306072796,-46223,-2.6462617567352145,27221,1.9718206231836073,0.02106773795170431,0.0899555257195603,0.04607391670028349,0.033808914711034754,0.2743495649868223
2004-05-11,168816,35331,5669,77629,130064,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,333.29998779296875,0.3106044450762961,-52435,-3.826371907087904,29662,1.5035695146815156,0.029909529931196527,0.12802439024390244,0.033808914711034754,-0.15241521048156614,0.27659517576088755
2004-05-18,160312,26262,4193,81114,120948,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,282.5,0.24847796796247318,-39834,7.4643398729978205,22069,-4.497796417401194,0.0623620472924152,0.3462485634542768,-0.15241521048156614,0.015929203539823078,0.27644556938708803
2004-05-25,158414,26625,4025,79962,118779,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,287.0,0.245035161033747,-38817,0.6343879435101553,22600,0.3312291032486651,0.016710190650142648,0.01732463295269168,0.015929203539823078,-0.04634142088142423,0.2756841643937547
2004-06-01,158820,22600,4903,85084,117432,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,273.70001220703125,0.20367711875078706,-32348,4.083603721893267,17697,-3.0950547300112365,0.03194315510873215,0.17827146129513144,-0.04634142088142423,-0.018268176021190352,0.2740466578483698
2004-06-08,147245,17724,4262,78212,104994,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,268.70001220703125,0.1818873306394105,-26782,3.504596398438484,13462,-2.6665407379423245,0.10540047815027892,0.25093241153461293,-0.018268176021190352,0.053963525646689936,0.2709765106296054
2004-06-15,151240,20303,3440,74375,104561,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,283.20001220703125,0.1995900555408622,-30186,-2.311793269720534,16863,2.309755849095046,0.023863280726069656,0.14324221875921325,0.053963525646689936,0.045903952823619365,0.26839210176779604
2004-06-22,148226,20182,4392,72986,104125,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,296.20001220703125,0.21007785408767693,-31139,-0.6301243057392224,15790,-0.709468394604602,0.010304272461902422,0.043664035159111256,0.045903952823619365,-0.009790763992391427,0.2655258792878057
2004-06-29,144148,26389,2963,67417,104394,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,293.29998779296875,0.2565210755612287,-36977,-3.9385802760649278,23426,5.1515928379636495,0.033979198072300376,0.26015263014445356,-0.009790763992391427,0.17524727771330206,0.2637350037165063
2004-07-06,141358,24001,3562,69118,103894,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,344.70001220703125,0.2460136674259681,-34776,1.526902905347282,20439,-2.072175819296834,0.01272166092525374,0.10836991619199651,0.17524727771330206,-0.12590665180480443,0.26167336509537886
2004-07-13,135516,19847,3853,63848,94252,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,301.29998779296875,0.22435727146609993,-30404,3.0928564354334385,15994,-3.1444983658512426,0.09432005060088551,0.18755274261603375,-0.12590665180480443,-0.18851639593161063,0.25883064945904943
2004-07-20,132142,19365,3016,65586,94585,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,244.5,0.21945331537285648,-28999,1.0367779450397,16349,0.2619616871808495,0.012929931136098295,0.05893391716187838,-0.18851639593161063,-0.13006136217487863,0.25596519677861695
2004-07-27,133020,10882,3777,73845,89079,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,212.6999969482422,0.11452413170951736,-15234,10.416824325346976,7105,-6.995504835707042,0.0844872455868994,0.6306023603247152,-0.13006136217487863,-0.11612598637814087,0.25133201766727387
2004-08-03,132465,9080,8408,77692,85921,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,188.0,0.06212206998074963,-8229,5.266125394677492,672,-4.836114869944369,0.042814446284830665,0.367852241537054,-0.11612598637814087,0.04946810133913737,0.2469586369392749
2004-08-10,135636,6307,8733,79992,86634,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,197.3000030517578,0.04896930018579138,-6642,1.1980523157060357,-2426,-2.338730985543351,0.018082412108554487,0.2059840425531915,0.04946810133913737,0.00354788108167714,0.2439438237697657
2004-08-17,139284,8038,9654,78984,86624,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,198.0,0.05485195715229316,-7640,-0.735792857353505,-1616,0.5971865876316023,0.0061470460364233615,0.14989825910015828,0.00354788108167714,0.006565671978574716,0.24120907033714584
2004-08-24,135167,6709,9232,75765,85412,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,199.3000030517578,0.07137097072510303,-9647,-1.4409408115792193,-2523,-0.6511875017948938,0.02749151553881757,0.10984254438241013,0.006565671978574716,-0.0928248856834969,0.2395293212476581
2004-08-31,129059,5606,9801,72646,78009,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,180.8000030517578,0.04155463780131568,-5363,3.1694126524965416,-4195,-1.2369883181545793,0.06984169128140454,0.10852210034399948,-0.0928248856834969,-0.04092925348654464,0.23774573400811175
2004-09-07,135161,5641,13360,78538,80284,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,173.39999389648438,0.01291792750867484,-1746,2.802594162359851,-7719,-2.7305340968084364,0.05142234703000844,0.18914793958212725,-0.04092925348654464,-0.04267586019006431,0.2358020048969582
2004-09-14,133986,5970,14627,77597,77856,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,166.0,0.0019330377800665741,-259,1.1001694275715628,-8657,-0.6939871708554982,0.021672145278637273,0.07748701267174832,-0.04267586019006431,-0.0367470247199736,0.23249826927672995
2004-09-21,133666,5807,14625,75781,74520,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,159.89999389648438,-0.009433962264150943,1261,1.134446882510113,-8818,-0.12016180795008434,0.034277882382685414,0.00807556773688332,-0.0367470247199736,-0.010631626098389524,0.227004111238586
2004-09-28,132378,6932,16363,76723,74547,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,158.1999969482422,-0.0164377766698394,2176,0.684542067541484,-9431,-0.45860577858243684,0.006405764527004694,0.12290191028117622,-0.010631626098389524,-0.035398172899830715,0.2203349238419549
2004-10-05,137578,8527,23385,81720,71629,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,152.60000610351562,-0.0733474828824376,10091,5.9790901811479245,-14858,-4.09962380455967,0.05161429158325127,0.2700238154926047,-0.035398172899830715,0.004587135781418894,0.21239809638192403
2004-10-12,136341,6689,23631,77824,70104,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,153.3000030517578,-0.05662273270696269,7720,-1.7233860064835949,-16942,-1.514777071915568,0.03664620626250609,0.0687335092348285,0.004587135781418894,0.022831049773810674,0.20439422101063728
2004-10-19,138670,7262,23362,78976,71095,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,156.8000030517578,-0.05683276844306627,7881,0.11808626898731857,-16100,0.6175691831510698,0.014279907510445056,0.027494775339602925,0.022831049773810674,-0.0012754907165158924,0.19630425100634638
2004-10-26,139173,7875,23104,78849,71160,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,156.60000610351562,-0.05524778513073657,7689,-0.13845821013917936,-15229,0.628109901204298,0.0012799232046077236,0.028115820394460762,-0.0012754907165158924,-0.03512132685591596,0.18884065319933868
2004-11-02,147961,9005,30043,84321,69087,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,151.10000610351562,-0.10295956366880461,15234,5.421310167920502,-21038,-4.173941784685248,0.04918257196495619,0.20664310592091784,-0.03512132685591596,-0.007941840890523522,0.1803705769077536
2004-11-09,156499,9025,32755,91922,71869,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,149.89999389648438,-0.12813500405753392,20053,3.256939328606863,-23730,-1.8193983549719184,0.06339176145209444,0.06539013882240306,-0.007941840890523522,0.043362243259920774,0.1715900068187475
2004-11-16,157341,7002,30816,88463,70417,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,156.39999389648438,-0.11469356366109279,18046,-1.2824363094971853,-23814,-0.05367446437357427,0.03091012084592145,0.10476492675445555,0.043362243259920774,0.03964202333111877,0.16283196872322298
2004-11-23,151633,7212,27529,85438,72216,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,162.60000610351562,-0.08719737787948534,13222,-3.065952294697504,-20317,2.2225611887556327,0.03059865274588656,0.10065916352436602,0.03964202333111877,-0.051660570971478026,0.15521943260407337
2004-11-30,146664,7299,29783,83499,65060,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,154.1999969482422,-0.12572274041346207,18439,3.440543944919641,-22484,-1.4291084394557914,0.061221467565075155,0.06313035974327166,-0.051660570971478026,0.011673171772902169,0.14701230618662472
2004-12-07,152486,8485,34997,91325,69743,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,156.0,-0.14153430478863632,21582,2.1429935089728906,-26512,-2.746413571155839,0.07766285047309211,0.14718734188859758,0.011673171772902169,0.056410275972806456,0.1391929882441514
2004-12-14,145508,9880,29249,83803,72049,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,164.8000030517578,-0.08077906369409242,11754,-6.445181852760254,-19369,4.684364466246082,0.06305982598875856,0.18255002683431726,0.056410275972806456,-0.033980618930916306,0.13226629673157278
