,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,GF_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-03-18,14448,3134,5018,4898,1640,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,76.4000015258789,-0.22549833887043189,3258,-1.6054744045269114,-1884,2.743782076589025,0.04955643927806669,0.051153091265947005,0.02930283727140992,0.020287897793277665,
2003-03-25,13731,3140,4468,4552,1664,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,77.94999694824219,-0.2103269973053674,2888,-2.560908084163898,-1328,3.84828349944629,0.05952380952380952,0.07308096740273397,0.020287897793277665,0.003527922214820567,
2003-04-01,12334,3186,3733,4124,1446,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.2249984741211,-0.2171233987352035,2678,-1.529386060738475,-547,5.687859587794042,0.11597845601436266,0.11287758346581876,0.003527922214820567,0.006072208160901926,
2003-04-08,12280,3970,3471,4009,2118,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.69999694824219,-0.1539902280130293,1891,-6.3807361764228965,499,8.480622669044918,0.12844785376203688,0.14057250369573981,0.006072208160901926,0.007941550498547612,
2003-04-15,13334,4285,3830,4277,2061,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,79.32499694824219,-0.16619169041547924,2216,2.6465798045602607,455,-0.3583061889250814,0.051278005680025246,0.08305606900800985,0.007941550498547612,-0.004727387512472037,
2003-04-22,13021,4198,3701,4144,2110,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.94999694824219,-0.1562092005222333,2034,-1.3649317534123293,497,0.3149842507874606,0.02910137511992325,0.02734523357387011,-0.004727387512472037,0.009499683711092333,
2003-04-29,13975,4256,3486,4009,2464,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,79.69999694824219,-0.11055456171735241,1545,-3.7554719299592962,770,2.096613163351509,0.07554456975127452,0.0352622061482821,0.009499683711092333,0.007841907452090346,
2003-05-06,16328,6519,3286,3803,3467,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,80.32499694824219,-0.020578147966683,336,-8.651162790697674,3233,17.62432915921288,0.16629986244841816,0.25119836817950025,0.007841907452090346,-0.0003111596319198551,
2003-05-13,17151,7351,3503,3741,3471,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,80.30000305175781,-0.015742522301906595,270,-0.4042136207741303,3848,3.7665360117589417,0.009151414309484194,0.09664639764142252,-0.0003111596319198551,0.0006226079758808734,
2003-05-20,16308,6018,2894,4314,3386,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,80.3499984741211,-0.05690458670591121,928,3.8365109906127923,3124,-4.221328202437176,0.08545454545454545,0.2179084380610413,0.0006226079758808734,0.05942752478603741,
2003-05-27,12958,4486,2920,3922,2398,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,85.125,-0.11761074239851829,1524,3.6546480255089526,1566,-9.553593328427766,0.21835443037974683,0.21036997029435592,0.05942752478603741,0.008223165324430903,
2003-06-03,14742,6346,3254,4140,2874,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,85.82499694824219,-0.08587708587708588,1266,-1.9910480012347587,3092,11.776508720481555,0.09894496720844026,0.22854166666666667,0.008223165324430903,-0.0072822606725744254,
2003-06-10,15288,6221,3491,4649,2873,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,85.19999694824219,-0.11616954474097331,1776,3.4595034595034595,2730,-2.455569122235789,0.06780111672427545,0.03727347611202636,-0.0072822606725744254,-0.010856754172481997,
2003-06-17,15449,5398,3714,5055,2700,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,84.2750015258789,-0.15243705094180854,2355,3.7872841444270016,1684,-6.84196755625327,0.0746615087040619,0.11479367866549604,-0.010856754172481997,0.010679341555426047,
2003-06-24,16066,5231,3605,5200,2788,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,85.17500305175781,-0.15013071081787627,2412,0.3689559194769888,1626,-0.3754288303450062,0.029168753129694542,0.03123585332729742,0.010679341555426047,0.013795073440141525,
2003-07-01,17548,6321,3342,5080,2744,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,86.3499984741211,-0.133120583542284,2336,-0.4730486742188473,2979,8.421511266027636,0.020961145194274028,0.14001862775535548,0.013795073440141525,0.017371164174942555,-0.12895159589046587
2003-07-08,19488,7868,3355,5332,3333,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,87.8499984741211,-0.10257594417077176,1999,-1.9204467745612037,4513,8.741736950079781,0.09705712637045585,0.13900026730820636,0.017371164174942555,-0.004837739666990193,-0.12797471990084755
2003-07-15,21022,8838,3348,5310,4018,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,87.42500305175781,-0.061459423461135955,1292,-3.6278735632183907,5490,5.013341543513957,0.07579331046312178,0.08017397012965698,-0.004837739666990193,0.025164390865845654,-0.1255991735994293
2003-07-22,22420,10638,3457,5303,4123,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,89.625,-0.05263157894736842,1180,-0.5327751878983922,7181,8.043953953001617,0.011882028431996604,0.1354380986165307,0.025164390865845654,0.008089243783777844,-0.12308304964590996
2003-07-29,23856,11606,3718,5546,4515,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,90.3499984741211,-0.0432176391683434,1031,-0.664585191793042,7888,3.153434433541481,0.06311499850909452,0.08020099190811798,0.008089243783777844,0.005257315795718087,-0.12042086929665774
2003-08-05,24246,12055,3548,5284,4224,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,90.8249969482422,-0.043718551513651734,1060,0.1215627095908786,8507,2.5947350771294433,0.058161548169962135,0.03967185797603025,0.005257315795718087,0.001376273098816938,-0.1179466009810769
2003-08-12,24036,12655,3266,5700,4350,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,90.9499969482422,-0.05616575137294059,1350,1.1960735791470758,9389,3.637713437268003,0.05393034825870647,0.055398530243075186,0.001376273098816938,0.032710348579875204,-0.11601594943082263
2003-08-19,24289,10955,3449,6195,3824,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,93.9250030517578,-0.09761620486640042,2371,4.247794974205359,7506,-7.834082210018306,0.10190637788202415,0.13072757567342405,0.032710348579875204,0.03114181876311961,-0.11545838141371893
2003-08-26,24488,11064,2705,6112,3644,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,96.8499984741211,-0.10078405749754982,2468,0.39935773395364155,8359,3.51187780476759,0.026957769577695776,0.06195075895126734,0.03114181876311961,-0.0043881820243586445,-0.11502678365147867
2003-09-02,22108,10188,3152,5589,2830,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,96.4250030517578,-0.12479645377239008,2759,1.1883371447239464,7036,-5.402646194054231,0.1588074593182088,0.09917541229385307,-0.0043881820243586445,0.02463054109238838,-0.11530591708350471
2003-09-09,21438,9277,3365,5819,2946,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,98.8000030517578,-0.13401436701184813,2873,0.5156504432784512,5912,-5.084132440745432,0.039475185396463205,0.08890998259769024,0.02463054109238838,0.018977732207333675,-0.11582559624818092
2003-09-16,21465,9496,3257,6193,3417,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,100.6750030517578,-0.12932681108781738,2776,-0.452467580931057,6239,1.5253288553036664,0.08792924037460978,0.02564102564102564,0.018977732207333675,0.011422834483483246,-0.11619049394654947
2003-09-23,21670,9488,3432,5830,3120,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,101.8249969482422,-0.12505768343331794,2710,-0.3074772886093641,6056,-0.8525506638714186,0.07374301675977654,0.014164086687306501,0.011422834483483246,-0.024060859530273704,-0.11642384103830654
2003-09-30,20916,8734,3053,5980,2724,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,99.375,-0.1556703002486135,3256,2.5196123673281035,5681,-1.7305029995385326,0.0627297794117647,0.09612284720454738,-0.024060859530273704,0.049559779137185345,-0.11743016050523747
2003-10-07,20046,7467,3347,6193,2572,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,104.3000030517578,-0.18063454055671954,3621,1.745075540256263,4120,-7.4631860776439085,0.04164289788933257,0.1443499167745515,0.049559779137185345,0.028763182284005095,-0.11901027000652453
2003-10-14,20076,5855,3657,6826,2993,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,107.3000030517578,-0.19092448694959155,3833,1.057567594532575,2198,-9.587947720243442,0.10734290660963439,0.2020605550883095,0.028763182284005095,-0.03937563824185164,-0.12076427529781886
2003-10-21,19876,5951,4149,7043,2709,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,103.0749969482422,-0.21805192191587844,4334,2.4955170352659892,1802,-1.972504482964734,0.0513740771123872,0.05821782178217822,-0.03937563824185164,0.03177299658348165,-0.12308064783634406
2003-10-28,19955,5580,4752,7146,2952,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,106.3499984741211,-0.21017288900025055,4194,-0.7043670758703965,828,-4.900382370698329,0.03426421073479897,0.09427022841656987,0.03177299658348165,-0.04137284051724344,-0.12510604879364423
2003-11-04,18167,5525,5150,6167,2424,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,101.9499969482422,-0.20603291682721417,3743,-2.260085191681283,375,-2.270107742420446,0.17541613316261204,0.04243559718969555,-0.04137284051724344,0.008827872023731365,-0.12694529579440716
2003-11-11,18712,5535,5598,6967,2803,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,102.8499984741211,-0.2225309961522018,4164,2.3173886717674903,-63,-2.410964936423185,0.12067553735926305,0.041138956256175335,0.008827872023731365,0.002430724391920158,-0.12906942246902484
2003-11-18,18445,5334,5385,6850,2787,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,103.0999984741211,-0.22027649769585253,4063,-0.539760581445062,-51,0.06412997007268063,0.013800975407284425,0.038623005877413935,0.002430724391920158,-0.051891353572269816,-0.13105218497395588
2003-11-25,16942,4857,5363,5893,2678,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,97.75,-0.18976508086412466,3215,-4.5974518839793985,-506,-2.4667931688804554,0.12437288531093221,0.04882583170254403,-0.051891353572269816,0.04194371840533084,-0.13230139552481052
2003-12-02,18246,5436,5117,6012,2883,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,101.8499984741211,-0.17148964156527458,3129,-0.5076142131979695,319,4.869554952189824,0.03642495784148398,0.0781768217568464,0.04194371840533084,-0.0530191615785931,-0.1331178173173202
2003-12-09,18120,5277,5340,6614,2694,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,96.4499969482422,-0.2163355408388521,3920,4.33519675545325,-63,-2.0936095582593444,0.08498066179630426,0.03598003202411227,-0.0530191615785931,-0.018144116696438006,-0.13481613820551472
2003-12-16,16743,4505,5476,6789,2307,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,94.6999969482422,-0.26769396165561726,4482,3.1015452538631347,-971,-5.011037527593818,0.06178540017590149,0.09097284841198276,-0.018144116696438006,-0.14757126636190998,-0.13747369467451678
2003-12-30,14745,3469,4570,6210,1591,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,80.7249984741211,-0.3132587317734825,4619,0.8182524039897271,-1101,-0.7764438869975512,0.16600435841558775,0.24157233486752083,-0.14757126636190998,0.016723425204571374,-0.14092046010782983
2004-01-06,14276,2694,4881,6218,1465,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,82.07499694824219,-0.33293639674978986,4753,0.9087826381824347,-2187,-7.365208545269583,0.017441103735519978,0.14336633663366335,0.016723425204571374,0.0621383648266447,-0.14461307427402137
2004-01-13,13690,2489,3758,6058,1196,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,87.17500305175781,-0.35514974433893354,4862,0.7635191930512749,-1269,6.430372653404315,0.05913978494623656,0.21258203937890188,0.0621383648266447,0.035847432068853546,-0.15208866010057923
2004-01-20,13767,2289,2993,6374,1668,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,90.3000030517578,-0.34183191690273845,4706,-1.139517896274653,-704,4.127100073046019,0.09798557572743098,0.18269594850435442,0.035847432068853546,-0.011627940379536406,-0.15815178682904285
2004-01-27,14616,2457,2846,6975,1993,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,89.25,-0.34085933223864257,4982,2.004794072782741,-389,2.288080191762911,0.10325602140945585,0.05940033943051103,-0.011627940379536406,-0.06190477900144431,-0.1639471976465066
2004-02-03,14199,2585,2599,6897,2136,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,83.7249984741211,-0.3353053031903655,4761,-1.5120415982484947,-14,2.5656814449917897,0.02446584744824532,0.07233796296296297,-0.06190477900144431,-0.021200376927179576,-0.16857786093791946
2004-02-10,16080,3161,2952,7601,2658,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,81.94999694824219,-0.3074004975124378,4943,1.2817804070709204,209,1.5705331361363477,0.1195048250316795,0.15197120889906757,-0.021200376927179576,0.03538745129802123,-0.17290585855026508
2004-02-17,16156,3215,2695,7156,2824,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,84.8499984741211,-0.26813567714780884,4332,-3.7997512437810945,520,1.93407960199005,0.061222444889779556,0.052622673434856174,0.03538745129802123,0.010606971621259342,-0.17465774420325036
2004-02-24,15270,2967,2483,6681,2547,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,85.75,-0.27072691552062866,4134,-1.2255508789304284,484,-0.22282743253280515,0.08149111400086692,0.08440366972477065,0.010606971621259342,0.020408163265306145,-0.17597386196994236
2004-03-02,15410,3210,2313,6627,3068,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,87.5,-0.2309539260220636,3559,-3.765553372626064,897,2.704649639816634,0.0593089221248066,0.07477820025348543,0.020408163265306145,0.005142822265624902,-0.17616279517862926
2004-03-09,14729,2795,2665,6345,2776,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,87.94999694824219,-0.24231108697128115,3569,0.06489292667099286,130,-4.977287475665153,0.06293169608595549,0.14047619047619048,0.005142822265624902,0.02899378215167503,-0.1765135233796626
2004-03-16,14818,3280,2772,6721,3307,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,90.5,-0.23039546497503036,3414,-1.0523457125398874,508,2.5663656731617897,0.09044674910251296,0.09781890284203569,0.02899378215167503,0.00027625995446300955,-0.17651295432286676
2004-03-23,14410,2828,2866,6498,2833,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,90.5250015258789,-0.2543372657876475,3665,1.6938858145498719,-38,-3.6847077878256176,0.07469724574000643,0.0958904109589041,0.00027625995446300955,-0.008837371314808662,-0.17706754907127478
2004-03-30,13589,3212,2362,5738,3068,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,89.7249984741211,-0.19648244903966444,2670,-6.904927133934767,850,6.162387231089521,0.11299114240290711,0.15931108719052745,-0.008837371314808662,0.011145165973877713,-0.17680130775847283
2004-04-06,13600,3073,2407,5882,2837,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,90.7249984741211,-0.22389705882352942,3045,2.7595849584222534,666,-1.354036352932519,0.04300951944030279,0.033576642335766425,0.011145165973877713,0.03968033656289327,-0.17693157045247906
2004-04-20,14843,4721,2810,5635,3586,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,94.3249969482422,-0.13804486963551843,2049,-7.3235294117647065,1911,9.154411764705882,0.10801431515020063,0.27234099057230116,0.03968033656289327,0.013252054497132848,-0.17662492894521928
2004-04-27,15431,4529,2636,5743,3457,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,95.5749969482422,-0.14814334780636382,2286,1.5967122549349861,1893,-0.12126928518493567,0.025760869565217392,0.05108164689462666,0.013252054497132848,0.04760662513253133,-0.1762778454335055
2004-05-04,15830,5467,2766,5322,3645,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,100.125,-0.10593809222994315,1677,-3.9466009979910575,2701,5.236212818352667,0.06791569086651054,0.12972185108708856,0.04760662513253133,0.032709128847729474,-0.17531109335096143
2004-05-11,15866,5372,2875,5032,3459,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,103.4000015258789,-0.0991428211269381,1573,-0.65698041692988,2497,-1.288692356285534,0.05605935696619951,0.024736267733721354,0.032709128847729474,-0.0007253827517393896,-0.1750916368011458
2004-05-18,15790,5998,2942,4826,3558,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,103.3249969482422,-0.08030398986700443,1268,-1.9223496785579226,3056,3.523257279717635,0.03637881679389313,0.07751677852348993,-0.0007253827517393896,0.022985725334109475,-0.17624021068384427
2004-05-25,15362,5520,2914,4972,3281,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,105.6999969482422,-0.11007681291498503,1691,2.6789107029765677,2606,-2.8499050031665614,0.05125408942202835,0.059995257291913684,0.022985725334109475,-0.009224205319499967,-0.17805433165717274
2004-06-01,14482,5448,2804,4763,2884,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,104.7249984741211,-0.12974727247617732,1879,1.2237989845072257,2644,0.24736362452805624,0.07924676343664182,0.022055259331071254,-0.009224205319499967,0.03604680430538987,-0.17945515253737016
2004-06-08,15754,6252,2913,4916,3278,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,108.5,-0.10397359400787101,1638,-1.6641347880127055,3339,4.799060903190167,0.06675616304613131,0.09961811238406983,0.03604680430538987,-0.014055313602570618,-0.17919289968370383
2004-06-15,15805,6208,2741,4815,3149,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,106.9749984741211,-0.10540968048086048,1666,0.17773263932969405,3467,0.8124920655071729,0.028879959819186337,0.024136775058665773,-0.014055313602570618,0.04346811490727731,-0.17956852650300717
2004-06-22,16606,6446,2869,4758,3241,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,111.625,-0.09135252318439119,1517,-0.9427396393546346,3577,0.6959822840873141,0.018627328416052007,0.0392914653784219,0.04346811490727731,0.0035834403214236588,-0.17909127608845757
2004-06-29,17108,6705,3184,5265,2851,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,112.0250015258789,-0.14110357727379003,2414,5.401662049861495,3521,-0.33722750812959174,0.11052242483982257,0.05804429163717262,0.0035834403214236588,-0.0055791117294081705,-0.17887332467176487
2004-07-06,16152,5795,2886,5056,2768,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,111.4000015258789,-0.141654284299158,2288,-0.7364975450081833,2909,-3.5772737900397478,0.037321063394683024,0.1391544752908651,-0.0055791117294081705,0.01907540368844929,-0.17871031646948182
2004-07-13,17357,5194,3014,5687,3321,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,113.5250015258789,-0.13631387912657716,2366,0.48291233283803864,2180,-4.513372956909361,0.13143872113676733,0.08881578947368421,0.01907540368844929,-0.038537766493688896,-0.178771725999949
2004-07-20,18062,5185,2929,6463,3678,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,109.1500015258789,-0.15419111947735578,2785,2.414011637955868,2256,0.43786368612087345,0.11172468198402524,0.011584914961794429,-0.038537766493688896,0.05748970625887817,-0.17976432552507565
2004-07-27,20510,4992,3221,6889,3851,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,115.4250030517578,-0.14812286689419796,3038,1.4007308160779537,1771,-2.6851954379359984,0.05577281191806331,0.05905272129550712,0.05748970625887817,-0.03357158239157598,-0.18143093020648066
2004-08-03,20814,4601,2974,8192,4900,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,111.5500030517578,-0.15816277505525128,3292,1.2384202827888835,1627,-0.7020965382740126,0.17965169569202566,0.08422442244224422,-0.03357158239157598,0.03137606368666823,-0.1834603762854784
2004-08-10,21363,5499,3015,7650,5012,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,115.0500030517578,-0.12348452932640547,2638,-3.1421158835399248,2484,4.117420966657058,0.051650608118780604,0.11028893587033121,0.03137606368666823,0.019339403868769534,-0.18500397032697957
2004-08-17,22370,5344,3133,8035,4972,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,117.2750015258789,-0.1369244523915959,3063,1.9894209614754483,2211,-1.277910405841876,0.032674713615745365,0.03220478943022296,0.019339403868769534,0.009592837223299844,-0.1867963914977093
2004-08-24,20598,4662,2993,7835,4766,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,118.4000015258789,-0.14899504806291872,3069,0.026821636119803306,1669,-2.4228877961555653,0.03221966510594397,0.10738079686479425,0.009592837223299844,-0.0506756750225934,-0.1885815702802089
2004-08-31,16511,3604,2301,6391,3451,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,112.4000015258789,-0.17806310944219006,2940,-0.6262743955723856,1303,-1.7768715409263034,0.280329201381833,0.29635901778154106,-0.0506756750225934,-0.02557829146771018,-0.1901286261374356
2004-09-07,15669,3451,2076,6199,3275,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,109.5250015258789,-0.1866105048184313,2924,-0.09690509357398099,1375,0.4360729210829144,0.038843149672788686,0.06839153247693143,-0.02557829146771018,0.036749613967618666,-0.19177913473976027
2004-09-14,16822,4356,2650,6300,3562,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,113.5500030517578,-0.1627630483890144,2738,-1.187057246793031,1706,2.1124513370349094,0.03934293246805922,0.21110476734227804,0.036749613967618666,0.014530989450808773,-0.19250926155931072
2004-09-21,18107,4780,2991,6555,3640,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,115.1999969482422,-0.16098746341194015,2915,1.0521935560575437,1789,0.4934014980382832,0.03266307013241785,0.09844292883798739,0.014530989450808773,-0.0028211541393374784,-0.1930279749516202
2004-09-28,18545,5390,3312,6551,3786,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,114.875,-0.14909679158802913,2765,-0.8284089026343403,2078,1.5960678190754956,0.014510979974847635,0.10698689956331878,-0.0028211541393374784,-0.01436345180308074,-0.19340816688431656
2004-10-05,18779,5725,3106,5850,4019,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,113.2249984741211,-0.09750252942116194,1831,-5.03639795093017,2619,2.9172283634402807,0.0946397811328402,0.06126146529271883,-0.01436345180308074,0.0090527846296522,-0.1928782600763905
2004-10-12,19501,6792,3956,6051,4390,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,114.25,-0.08517511922465515,1661,-0.9052665211140103,2836,1.155546088716119,0.05478402451872426,0.17835876442128767,0.0090527846296522,-0.007439811589681322,-0.19152258351823742
2004-10-19,18654,7345,4304,5716,3957,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,113.4000015258789,-0.09429612951645759,1759,0.5025383313676222,3041,1.0512281421465566,0.0793962576243151,0.07734569490943428,-0.007439811589681322,0.0050705197575413585,-0.18986222945977088
2004-10-26,18338,6834,4575,6108,3737,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,113.9749984741211,-0.129294361435271,2371,3.280797684142811,2259,-4.192130374182481,0.062163534789233116,0.06854237882373565,0.0050705197575413585,-0.05110767296535479,-0.1886770347383416
2004-11-02,15608,4817,3719,5866,2719,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,108.1500015258789,-0.20162737057919017,3147,4.231650125422619,1098,-6.331115715999563,0.14676761793826443,0.33657450796626054,-0.05110767296535479,-0.0069348126622128525,-0.18836117798186686
2004-11-09,14458,4077,3748,5290,2033,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,107.4000015258789,-0.22527320514593996,3257,0.7047667862634547,329,-4.92696053305997,0.17233374300150212,0.09827476038338658,-0.0069348126622128525,0.008147113478291335,-0.18865156867697627
