,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,KC_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-05-20,72610,19906,12692,30031,47484,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",67.1500015258789,0.24036634072441812,-17453,-0.5350732313236237,7214,-0.46682409467520236,0.015558279042765917,0.05650653414319897,0.002238828744461241,-0.08935219454444332,
2003-05-27,71460,16666,14315,31070,42694,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",61.150001525878906,0.1626644276518332,-11624,8.02781985952348,2351,-6.697424597162925,0.07902228729461526,0.15696717342887576,-0.08935219454444332,-0.025347555406059152,
2003-06-03,72412,14798,21577,35363,36825,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",59.59999847412109,0.020190023752969122,-1462,14.220542961097118,-6779,-12.776378393506857,0.1407713193328531,0.25099656357388317,-0.025347555406059152,0.011744979544645595,
2003-06-10,73459,16092,24555,35982,36056,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",60.29999923706055,0.0010073646523911298,-74,1.9168093686129368,-8463,-2.3255813953488373,0.019267608762042254,0.10510000738061849,0.011744979544645595,-0.010779398331768997,
2003-06-17,71035,13123,25270,35647,32645,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",59.650001525878906,-0.042260857323854435,3002,4.18736982534475,-12147,-5.0150424046066515,0.0548526913840567,0.09595499179537936,-0.010779398331768997,-0.036881822408420084,
2003-06-24,71555,13907,30788,38661,28706,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",57.45000076293945,-0.13912375096079937,9955,9.788132610684874,-16881,-6.664320405433941,0.10321077085219767,0.14100011186933661,-0.036881822408420084,0.023498667644787252,
2003-07-01,72623,13172,31439,40505,31080,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",58.79999923706055,-0.12977982181953376,9425,-0.740688980504507,-18267,-1.9369715603382014,0.05892295872040232,0.031068570531931586,0.023498667644787252,0.03316327871158209,
2003-07-08,71414,13985,26026,35949,33219,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",60.75,-0.03822779847088806,2730,-9.218842515456537,-12041,8.573041598391693,0.09679331482766597,0.1556072080177951,0.03316327871158209,0.004115226337448652,0.07658159997975135
2003-07-15,69974,13432,23428,34735,33758,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",61.0,-0.013962328865007003,977,-2.454700758954827,-9996,2.863584171170919,0.025593856306483875,0.08548562126966902,0.004115226337448652,-0.024590163934426257,0.07322812113364918
2003-07-22,72983,12036,27888,39195,32170,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",59.5,-0.09625529232835044,7025,8.643210335267385,-15852,-8.368822705576356,0.0847474252084355,0.14667868951006913,-0.024590163934426257,0.05798320609982266,0.06717514208143491
2003-07-29,74029,12047,25216,36778,32683,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",62.95000076293945,-0.05531615988328898,4095,-4.014633544798104,-13169,3.6761985667895263,0.04218194382459222,0.07200171752140193,0.05798320609982266,0.004765674875689019,0.06295130408265133
2003-08-05,70123,13854,17686,32723,37557,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",63.25,0.06893601243529227,-4834,-12.061489416309824,-3832,12.612624782179957,0.12704894706886738,0.29603677869372225,0.004765674875689019,-0.04426876264127344,0.0631507943610727
2003-08-12,65849,10819,17361,31705,32772,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",60.45000076293945,0.016203738857082112,-1067,5.371989218943856,-6542,-3.864637850633886,0.09000108565845186,0.11923349893541518,-0.04426876264127344,-0.020678246223717944,0.06163637321578268
2003-08-19,68794,12269,22641,32763,30713,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",59.20000076293945,-0.029799110387533797,2050,4.7335570775562275,-10372,-5.816337377940439,0.04910517360892306,0.19278143798338584,-0.020678246223717944,0.01858105506663632,0.05877901435317904
2003-08-26,66716,12081,23573,33213,29889,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",60.29999923706055,-0.04982313088314647,3324,1.8519056894496615,-11492,-1.6280489577579442,0.02018953440461475,0.031413025186514835,0.01858105506663632,0.02653403497615625,0.05548804025510857
2003-09-02,69764,11654,25957,34958,30089,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",61.900001525878906,-0.06979244309385929,4869,2.3157863181245877,-14303,-4.2133820972480365,0.029901455870370654,0.07473877323123554,0.02653403497615625,0.11793207176758025,0.05180332015660951
2003-09-09,76236,24595,18517,30562,45237,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",69.19999694824219,0.19249435962012698,-14675,-28.014448712803166,6078,29.21420790092311,0.25783981319014765,0.47274540731118947,0.11793207176758025,-0.12572250479648595,0.055823064141281444
2003-09-16,74304,20447,13382,29841,45306,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",60.5,0.2081314599483204,-15465,-1.0362558371373105,7065,1.2946639382968677,0.010512728385697367,0.274409530284667,-0.12572250479648595,0.06115697435111045,0.060053852913699184
2003-09-23,73345,19443,14580,30940,41647,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",64.19999694824219,0.14598132115345286,-10707,6.403423772609819,4863,-2.963501291989664,0.06554892749390387,0.06472092408076889,0.06115697435111045,-0.0202491508435948,0.06237621692017902
2003-09-30,74222,19871,16691,30734,40759,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",62.900001525878906,0.13506776966398104,-10025,0.9298520689890245,3180,-2.294634944440657,0.015302197417929028,0.0694436846999617,-0.0202491508435948,0.006359263934470283,0.06428915251870011
2003-10-07,74876,18695,16323,30791,40420,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",63.29999923706055,0.12859928414979432,-9629,0.5335345315405136,2372,-1.0886260138503407,0.005560938619033577,0.04409161002912788,0.006359263934470283,-0.02922588461956832,0.06593813025283074
2003-10-14,79112,14864,23023,37373,35460,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",61.45000076293945,-0.0241809080796845,1913,15.414819167690583,-8159,-14.064586783482024,0.15847212115387255,0.27795813867553515,-0.02922588461956832,0.016273392800396858,0.06368515429451786
2003-10-21,81142,15597,25901,38242,35201,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",62.45000076293945,-0.03747750856523132,3041,1.4258266761047629,-10304,-2.711345939933259,0.015358849720191168,0.0870162417465902,0.016273392800396858,0.03362693776081738,0.061217772273548375
2003-10-28,81547,17468,22224,36086,40961,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",64.55000305175781,0.059781475713392276,-4875,-9.755736856375243,-4756,6.83739616967785,0.10274248186172077,0.13977627733548323,0.03362693776081738,-0.07436100425756831,0.06118357473640179
2003-11-04,86024,17882,31251,41006,34777,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",59.75,-0.07241002510927183,6229,13.616687309159135,-13369,-10.562007186039953,0.14652362667088925,0.19215191419209085,-0.07436100425756831,-0.0075313935219991635,0.05807674683301404
2003-11-11,83286,17736,32145,39732,34965,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",59.29999923706055,-0.05723651033787191,4767,-1.6995257137543012,-14409,-1.2089649400167395,0.01957240585297937,0.020849622100599426,-0.0075313935219991635,0.005059009121758162,0.055455990988221175
2003-11-18,74596,16546,31313,34989,28369,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",59.59999847412109,-0.08874470480990938,6620,2.2248637225944337,-14767,-0.42984415147803956,0.17896713911423973,0.0422491067510813,0.005059009121758162,-0.03523487462894692,0.05225153108159605
2003-11-25,81487,15253,39653,41293,25420,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",57.5,-0.19479180728214315,15873,12.404150356587484,-24400,-12.913561048849804,0.13869860446989343,0.17544530652387716,-0.03523487462894692,0.07826086956521738,0.046881023725862586
2003-12-02,78440,14712,34231,40032,30540,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",62.0,-0.12100968893421724,9492,-7.83069692098126,-19519,5.989912501380588,0.09041829620812787,0.12183560468299859,0.07826086956521738,0.024193548387096753,0.0433088809033077
2003-12-09,74039,16277,24599,37118,38231,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",63.5,0.015032617944596767,-1113,-13.519887812340642,-8322,14.274604793472717,0.14074506629152345,0.27392602015852824,0.024193548387096753,-0.055118110236220486,0.042719792091667895
2003-12-16,76875,15694,27341,40337,37778,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",60.0,-0.033287804878048784,2559,4.959548346141898,-11647,-4.4908764299896005,0.0470076169749728,0.0772626931567329,-0.055118110236220486,0.06083335876464835,0.04116861664330633
2003-12-30,77553,16441,26320,38426,37728,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",63.650001525878906,-0.009000296571376994,698,-2.4208130081300814,-9879,2.2998373983739837,0.025750453029387818,0.04134608638712846,0.06083335876464835,0.10054990373058814,0.04016523837901266
2004-01-06,79148,18698,18800,35204,46551,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",70.05000305175781,0.14336433011573255,-11347,-15.531314069088237,-102,12.606862403775482,0.1473304385052902,0.2607339058083098,0.10054990373058814,-0.0014276388173992682,0.04218874998169344
2004-01-13,85777,26182,19882,36468,53332,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",69.94999694824219,0.1966028189374774,-16864,-6.970485672411179,6300,8.088644059230807,0.08958797327394209,0.1859586662035429,-0.0014276388173992682,0.06790564985320358,0.04515825130776621
2004-01-20,93318,30080,20139,38796,59629,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",74.69999694824219,0.22324739064274846,-20833,-4.6271144945614795,9941,4.244727607633748,0.08763017526035052,0.0827376092713913,0.06790564985320358,0.05287824282474318,0.04667725430178923
2004-01-27,107004,43187,19966,39056,72660,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",78.6500015258789,0.31404433479122273,-33604,-13.685462611714783,23221,14.230909363681176,0.11897132013319489,0.21028296359634538,0.05287824282474318,-0.05085823168972026,0.04962645417347506
2004-02-03,109783,43708,18379,36337,72929,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",74.6500015258789,0.3333120792836778,-36592,-2.7924189749915893,25329,1.970019812343464,0.02734610949426171,0.033952357176220464,-0.05085823168972026,-0.006697923506761905,0.052421093712401404
2004-02-10,108141,40494,17113,38966,74532,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",74.1500015258789,0.32888543660591263,-35566,0.9345709262818469,23381,-1.7744095169561773,0.03728700065199387,0.07776832676584443,-0.006697923506761905,0.0020229470369808045,0.05461333685737135
2004-02-17,110426,42276,15141,41241,80260,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",74.30000305175781,0.3533497545867821,-39019,-3.193053513468527,27135,3.471393828427701,0.06586777063563262,0.06538133305467023,0.0020229470369808045,-0.016150801189076525,0.05632804333578259
2004-02-24,95151,32798,10972,39584,72638,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",73.0999984741211,0.3473846832928713,-33054,5.401807545324471,21826,-4.807744552913263,0.08268432214717257,0.3117888965044551,-0.016150801189076525,0.008207913633999642,0.05759948578088169
2004-03-02,97874,36683,10774,38997,76121,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",73.69999694824219,0.3793040031060343,-37124,-4.277411692993242,25909,4.291074187344327,0.035355027015757746,0.08603577975851824,0.008207913633999642,-0.021709613844960396,0.06278577522685849
2004-03-09,97845,34840,10182,41020,75899,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",72.0999984741211,0.3564719709745005,-34879,2.2937654535423095,24658,-1.2781739787890554,0.01920132741470591,0.05408466971702723,-0.021709613844960396,0.06171989836080183,0.06949971248124466
2004-03-16,107979,40929,11732,43075,84505,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",76.55000305175781,0.3836857166671297,-41430,-6.695283356328888,29197,4.63896979917216,0.08356325442859382,0.1450599115094662,0.06171989836080183,-0.0019595234474057976,0.07693573002969216
2004-03-23,108352,39695,11157,41838,82971,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",76.4000015258789,0.37962381866509154,-41133,0.2750534826216208,28538,-0.6103038553792868,0.022201924540698185,0.03557382207189491,-0.0019595234474057976,-0.0405758954477381,0.08451243498023851
2004-03-30,102117,33037,13674,43856,73637,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",73.30000305175781,0.2916360645142337,-29781,10.476963969285293,19363,-8.467771707028943,0.09661852195449942,0.19642054334096895,-0.0405758954477381,-0.0068212821170955396,0.0903322658912962
2004-04-06,103619,30857,14068,46083,71395,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",72.80000305175781,0.24427952402551656,-25312,4.376352615137538,16789,-2.520638091600811,0.03804116515432677,0.05729549248747913,-0.0068212821170955396,-0.0432692499152697,0.0956450408285236
2004-04-20,97960,26662,20091,50106,64768,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",69.6500015258789,0.14967333605553287,-14662,10.278037811598258,6571,-9.861125855296809,0.09271027386527848,0.21855282013988409,-0.0432692499152697,-0.0064609413894918255,0.09808328219987658
2004-04-27,92635,25962,23868,47272,56721,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",69.19999694824219,0.10200248286284881,-9449,5.321559820334831,2094,-4.570232748060433,0.1046320425413249,0.08984547461368654,-0.0064609413894918255,0.01300580297065701,0.10019597266462302
2004-05-04,96486,26210,26093,49568,56907,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",70.0999984741211,0.07606284849615488,-7339,2.277756787391375,117,-2.134182544394667,0.023310636299600847,0.04728218266638625,0.01300580297065701,0.0049928456738883575,0.10062975694961375
2004-05-11,96949,26441,23686,50264,59230,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",70.44999694824219,0.09248161404449762,-8966,-1.686255000725494,2755,2.7340754099040274,0.027572287065957952,0.05262632912402498,0.0049928456738883575,0.004258382750225165,0.10054476312666011
2004-05-18,95374,25374,22842,49440,57766,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",70.75,0.08729842514731478,-8326,0.6601408988230926,2532,-0.23001784443367132,0.021342089062179357,0.039634146341463415,0.004258382750225165,0.0996466862439267,0.0982224343186665
2004-05-25,92547,26926,14423,46996,66215,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",77.80000305175781,0.20766745545506607,-19219,-11.42135173107975,12503,10.454631241218781,0.09621856533375732,0.24114247019274954,0.0996466862439267,0.06555267704460421,0.09773758338373038
2004-06-01,112457,42629,19183,47262,77922,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",82.9000015258789,0.2726375414602915,-30660,-12.362367229623866,23446,11.824262266740144,0.09564321319018405,0.33105222286934577,0.06555267704460421,-0.0156815805528302,0.0983581833978818
2004-06-08,114567,47401,18734,44113,79713,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",81.5999984741211,0.3107352029816614,-35600,-4.392790133117548,28667,4.642663418017554,0.03989469093728296,0.07894458304982234,-0.0156815805528302,-0.041666686145309106,0.10120569830807079
2004-06-15,103388,40466,15175,44022,76799,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",78.19999694824219,0.31702905559639416,-32777,2.464060331509073,25291,-2.946747318163171,0.02487150412593837,0.18860193023130425,-0.041666686145309106,-0.05242965005273259,0.10691414122813667
2004-06-22,91710,29848,13179,41996,66380,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",74.0999984741211,0.2658815832515538,-24384,8.117963400007739,16669,-8.33945912485008,0.11483169705469845,0.29316475701303835,-0.05242965005273259,-0.03171388019585197,0.11200787620119748
2004-06-29,87157,24548,14950,44269,61833,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",71.75,0.2015213924297532,-17564,7.436484570930106,9598,-7.710173372587505,0.06427777044730543,0.17902172261886679,-0.03171388019585197,-0.04250875333460369,0.11669599638876688
2004-07-06,88907,22491,18609,47857,58350,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",68.69999694824219,0.11802220297614362,-10493,8.112945603910186,3882,-6.558279885723464,0.0665775325543514,0.13907542579075427,-0.04250875333460369,-0.002183317367501214,0.12164111088755422
2004-07-13,88745,19815,20713,50080,56425,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",68.55000305175781,0.07149698574567581,-6345,4.665549394310909,-898,-5.376404557571394,0.03894652833200319,0.11794315041452823,-0.002183317367501214,0.04813997484247601,0.12551181872534672
2004-07-20,90210,21163,20425,49037,57122,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",71.8499984741211,0.08962421017625541,-8085,-1.9606738407797624,738,1.8434841399515467,0.016390508576757504,0.039338270654996635,0.04813997484247601,-0.05427977186782551,0.12797051119933026
2004-07-27,89390,19442,23118,50583,52437,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",67.94999694824219,0.0207405750083902,-1854,6.907216494845361,-3676,-4.893027380556479,0.060483401281304604,0.10371240601503759,-0.05427977186782551,-0.016924119913652502,0.12863787473535712
2004-08-03,92676,20179,32161,53548,47162,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",66.80000305175781,-0.06890672881868014,6386,9.218033337062312,-11982,-9.291867099228101,0.08181908450004964,0.1868551776843714,-0.016924119913652502,0.003742514799083052,0.12916380864900462
2004-08-10,94054,19897,34461,56739,47861,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",67.05000305175781,-0.09439258298424309,8878,2.688937804825413,-14564,-2.7860503258664595,0.03718929254302103,0.04749990801721918,0.003742514799083052,0.032065530180882096,0.12841233897398627
2004-08-17,89976,14879,32870,57685,45370,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",69.19999694824219,-0.13686983195518804,12315,3.6542837093584537,-17991,-3.6436515193399535,0.03335112318664791,0.13841127562880898,0.032065530180882096,0.0036127169223285627,0.12445453427416935
2004-08-24,80485,15527,32470,48778,37915,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",69.44999694824219,-0.13496924892837175,10863,-1.6137636703120832,-16943,1.1647550457899885,0.18873496130022033,0.021834698001958457,0.0036127169223285627,-0.0021597394251313684,0.1215473614321414
2004-08-31,81082,15304,32491,48767,37829,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",69.30000305175781,-0.1349004711279939,10938,0.09318506554016276,-17187,-0.30316207989066285,0.0011201441175112015,0.005105136520556544,-0.0021597394251313684,-0.031024551676760326,0.11952618141790176
2004-09-07,80812,14736,32204,49327,37768,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",67.1500015258789,-0.1430356877691432,11559,0.7658913198983746,-17468,-0.34656273895562517,0.007130145243699409,0.01821474222411589,-0.031024551676760326,0.10201039938146805,0.11773363224701722
2004-09-14,82325,17742,26595,47700,44277,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",74.0,-0.04157910719708473,3423,-10.067811711132011,-8853,10.660545463545018,0.08845689683290388,0.19430723774725397,0.10201039938146805,0.10337839899836365,0.11827619639887826
2004-09-21,81731,21005,21497,43716,49123,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",81.6500015258789,0.06615604850056894,-5407,-10.725781961737017,-492,10.156088672942605,0.09511089089714451,0.19672015434567786,0.10337839899836365,-0.006736105835631778,0.11584661349273294
2004-09-28,87632,27480,20411,41766,54160,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",81.0999984741211,0.14143235347818148,-12394,-8.548775862279918,7069,9.251079761657143,0.0728373954923587,0.15787935102628886,-0.006736105835631778,-0.036374808924115154,0.11456393836830717
2004-10-05,81983,23796,18736,41582,52452,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",78.1500015258789,0.13258846346193723,-10870,1.7390907431075404,5060,-2.292541537337959,0.02012038198949316,0.12599924762531742,-0.036374808924115154,-0.04670507299568294,0.1143063834127011
2004-10-12,79132,20117,18242,42405,48911,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",74.5,0.0822170550472628,-6506,5.323054779649439,1875,-3.884951758291353,0.04779009155022121,0.10878802888500742,-0.04670507299568294,-0.02080541009070891,0.11329002351622575
2004-10-19,77479,17364,19429,41905,43843,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",72.94999694824219,0.02501322939118987,-1938,5.772633068796441,-2065,-4.979022392963656,0.06493445911274899,0.1070855869322969,-0.02080541009070891,0.039067939996456635,0.1112979840016372
2004-10-26,71953,18511,12856,37305,46371,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",75.80000305175781,0.12599891595902882,-9066,-9.199912234282838,5655,9.963990242517328,0.08518571633443281,0.2461185322153856,0.039067939996456635,-0.0013193416819170523,0.11418605754084324
2004-11-02,75702,18658,14076,39722,48256,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",75.69999694824219,0.11273149982827402,-8534,0.7393715341959335,4582,-1.4912512334440537,0.0488985882834345,0.04176086026761166,-0.0013193416819170523,0.05680321301330871,0.11707469231764141
2004-11-09,77213,20347,11573,38564,52692,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",80.0,0.18297436960097394,-14128,-7.389500937888034,8774,5.53750231169586,0.061300078898921716,0.13132832080200502,0.05680321301330871,0.07562503814697275,0.11944378643086415
