,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,KE_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-04-08,52542,2431,12208,34560,25221,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,320.0,-0.17774351947013817,9339,-4.543135293997592,-9777,0.2285854235973631,0.06975460430571587,0.00765079581938657,0.0054988216810683,0.004687499999999956,
2003-04-15,54163,2860,11786,35133,26429,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,321.5,-0.16070010893045067,8704,-1.2085569639526474,-8926,1.6196566556278786,0.028930184204541763,0.058104601939096,0.004687499999999956,-0.0031104199066873672,
2003-04-22,54848,2626,12051,36004,25995,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,320.5,-0.18248614352392065,10009,2.4093938666617434,-9425,-0.9212931336890497,0.021048726592364394,0.03399877359133338,-0.0031104199066873672,-0.0015600624024960652,
2003-04-29,51619,2829,13019,34800,22517,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,320.0,-0.2379550165636684,12283,4.14600350058343,-10190,-1.3947637106184363,0.0816860617268873,0.073889449772842,-0.0015600624024960652,0.050000000000000044,
2003-05-06,51547,2535,12531,35597,24097,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,336.0,-0.22309736745106407,11500,-1.5168833181580426,-9996,0.3758306050097832,0.039819747378295973,0.051904951546528605,0.050000000000000044,0.10863095238095233,
2003-05-13,54205,8056,5524,31029,33474,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,372.5,0.04510653998708606,-2445,-27.052980774826857,2532,24.304033212408093,0.21619149496922624,0.9225331369661267,0.10863095238095233,-0.06308724832214763,
2003-05-20,58140,10209,7183,33087,35268,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,349.0,0.03751289989680082,-2181,0.48703994096485564,3026,0.9113550410478738,0.05635286372613561,0.21918123275068999,-0.06308724832214763,-0.05014326647564471,
2003-05-27,57423,7474,7602,35101,33289,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,331.5,-0.03155530014105846,1812,6.867905056759546,-128,-5.42483660130719,0.05838572890773505,0.2092066861236402,-0.05014326647564471,-0.02714932126696834,
2003-06-03,57840,6849,6801,35783,33296,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,322.5,-0.04299792531120332,2487,1.1754871741288335,48,0.3064973965135921,0.00997408763879037,0.10446886446886447,-0.02714932126696834,0.023255813953488413,
2003-06-10,57649,5601,5969,36870,32951,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,330.0,-0.06798036392652085,3919,2.475795297372061,-368,-0.719225449515906,0.020509588805660187,0.1797752808988764,0.023255813953488413,-0.05681818181818177,
2003-06-17,59232,4945,6734,40091,34437,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,311.25,-0.09545515937331173,5654,3.0095925341289527,-1789,-2.464916997692935,0.06315747101760412,0.12167137597397037,-0.05681818181818177,-0.0345381526104418,
2003-06-24,55750,1813,4352,39858,33021,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,300.5,-0.12263677130044844,6837,1.9972312263641274,-2539,-1.2662074554294975,0.022626545369722417,0.8944038929440389,-0.0345381526104418,0.0024958402662229595,
2003-07-01,52836,2373,4577,35843,28779,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,301.25,-0.13369672193201604,7064,0.4071748878923767,-2204,0.600896860986547,0.12777382315620067,0.11294964028776978,0.0024958402662229595,-0.02240663900414941,-0.09779347260526582
2003-07-08,56955,3209,6321,38911,31671,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,294.5,-0.12711790009656745,7240,0.33310621545915664,-3112,-1.7185252479370126,0.08444079226998386,0.2707240293809024,-0.02240663900414941,0.029711375212224,-0.09887956251235107
2003-07-15,63947,6656,6858,43033,38395,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,303.25,-0.07252881292320203,4638,-4.568519006232991,-202,5.109296813273637,0.13319742594684875,0.2948053870060678,0.029711375212224,0.048639736191261385,-0.09793846431273859
2003-07-22,66641,8080,3837,44327,45946,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,318.0,0.024294353326030523,-1619,-9.784665426055952,4243,6.951068853894632,0.09798057004863027,0.37299655953679617,0.048639736191261385,0.062106918238993725,-0.09372353956657414
2003-07-29,67352,10964,2495,42671,49847,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,337.75,0.10654472027556718,-7176,-8.338710403505349,8469,6.34144145496016,0.06006398754836897,0.3139906382346385,0.062106918238993725,0.019985196150999363,-0.08704793090516943
2003-08-05,69723,12087,2157,42006,53597,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,344.5,0.16624356381681799,-11591,-6.555113433899513,9930,2.169200617650552,0.0461805591874732,0.10256950294860995,0.019985196150999363,0.04716981132075482,-0.07887723752704082
2003-08-12,70624,15546,2260,37942,53708,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,360.75,0.2232385591300408,-15766,-5.9879810105704,13286,4.813332759634554,0.045553737043098744,0.2000449286757273,0.04716981132075482,0.02979902979902982,-0.06943611888150701
2003-08-19,76363,19908,1979,38912,58873,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,371.5,0.2613962259209303,-19961,-5.939907113729044,17929,6.5742523787947444,0.0627396840006136,0.2121350573399735,0.02979902979902982,-0.024226110363391617,-0.05941089631173618
2003-08-26,68499,14953,1238,37399,53427,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,362.5,0.23398881735499788,-16028,5.150400062857666,13715,-5.518379319827665,0.07661902979323101,0.3518003829287876,-0.024226110363391617,-0.0096551724137931,-0.05078149296859694
2003-09-02,66472,16322,1924,35282,52419,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,359.0,0.25780779877241544,-17137,-1.6190017372516388,14398,0.9970948480999723,0.03563243292550826,0.11262742518908254,-0.0096551724137931,-0.04038997214484674,-0.041964656061710875
2003-09-09,64517,14891,2361,36055,50533,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,344.5,0.22440597051939798,-14478,4.000180527139246,12530,-2.810205800938741,0.030708643230008777,0.1082773011824716,-0.04038997214484674,-0.004354136429608135,-0.034565471990013405
2003-09-16,63022,14316,2842,35256,48370,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,343.0,0.2080860651835867,-13114,2.1141714586853078,11474,-1.636777903498303,0.03541960634252505,0.06154563468935773,-0.004354136429608135,-0.0021865889212827616,-0.02800732233667286
2003-09-23,63467,12390,3871,38303,47303,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,342.25,0.1418059779097799,-9000,6.527879153311542,8519,-4.688838818190473,0.04805737915566666,0.1817231412582252,-0.0021865889212827616,0.04236669101533974,-0.023538551277555688
2003-09-30,64067,12186,3357,37866,47930,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,356.75,0.15708555106373015,-10064,-1.6764617832889535,8829,0.48844281280035295,0.012401510559932863,0.04619442836003346,0.04236669101533974,-0.047652417659425406,-0.018907164038035534
2003-10-07,63308,9549,4519,37347,43406,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,339.75,0.09570670373412522,-6059,6.2512682035993565,5030,-5.929729814100863,0.06244969227149456,0.2700454933181689,-0.047652417659425406,-0.02207505518763797,-0.01604181734373152
2003-10-14,63287,10236,6425,37395,41370,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,332.25,0.0628091077156446,-3975,3.2918430530106777,3811,-1.9255070449232323,0.02645845235828096,0.15563291519116498,-0.02207505518763797,0.02483069977426644,-0.014118624049600393
2003-10-21,64141,12085,7588,38468,44292,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,340.5,0.09079995634617484,-5824,-2.9216110733641982,4497,1.0839508903882313,0.04827211213146448,0.1531032379403243,0.02483069977426644,0.09177679882525691,-0.011620562611605743
2003-10-28,62556,11607,4629,36878,44514,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,371.75,0.12206662830104227,-7636,-2.8250261143418407,6978,3.8680407227826197,0.022262630233929624,0.211690071446169,0.09177679882525691,-0.028917283120376558,-0.00851155817177672
2003-11-04,65322,12157,4443,36976,46022,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,361.0,0.1384832062704755,-9046,-2.253980433531556,7714,1.1765458149498051,0.019349863852141016,0.04433734939759036,-0.028917283120376558,0.05886426592797789,-0.005170768070816442
2003-11-11,72592,14419,4189,37036,49717,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,382.25,0.17468867092792595,-12681,-5.564740822387558,10230,3.851688558219283,0.043283805747351675,0.13521066208082544,0.05886426592797789,0.0,-0.0011738916486221669
2003-11-18,75957,17150,3859,38322,54060,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,382.25,0.2071961767842332,-15738,-4.211207846594666,13291,4.2167180956579235,0.06093178324781884,0.14569946213527535,0.0,0.01831262262916944,0.003355892447744254
2003-11-25,65739,14806,2812,34762,49648,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,389.25,0.22644092547802674,-14886,1.121687270429322,11994,-1.7075450583882985,0.09444378628124629,0.19247360653876716,0.01831262262916944,0.05330764290301859,0.00810238251221835
2003-12-02,66457,17129,3118,32134,49437,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,410.0,0.26036384429029297,-17303,-3.6766607341152135,14011,3.0681939183741767,0.034804035747998674,0.129846396997086,0.05330764290301859,-0.02073170731707319,0.013357829632594903
2003-12-09,70460,19153,3501,30969,52716,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,401.5,0.30864320181663357,-21747,-6.687030711587943,15652,2.4692658410701656,0.0531039015355201,0.10625055177893529,-0.02073170731707319,-0.023661270236612686,0.019384061717983448
2003-12-16,63060,17926,2733,29554,47104,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,392.0,0.27830637488106563,-17550,5.95657110417258,15193,-0.6514334374112971,0.09166688408254846,0.09656808170773029,-0.023661270236612686,-0.04591836734693877,0.024562507981245093
2003-12-30,57208,15841,2669,28733,42578,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,374.0,0.24201160676828415,-13845,5.87535680304472,13172,-3.2048842372343804,0.07498141941635933,0.11609940572663426,-0.04591836734693877,0.06550802139037426,0.028826215800598798
2004-01-06,58166,17165,1982,26881,42625,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,398.5,0.2706735893821133,-15744,-3.3194658089777653,15183,3.5152426234093133,0.02732138232670561,0.10502950853919674,0.06550802139037426,0.011919698870765272,0.03347712683101254
2004-01-13,66340,17757,1802,29365,48727,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,403.25,0.29186011456135064,-19362,-6.220128597462435,15955,1.3272358422446102,0.10994724171490038,0.03947032056853622,0.011919698870765272,0.002479851208927464,0.03926624144209002
2004-01-20,66436,18066,1960,30627,48924,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,404.25,0.2754079113733518,-18297,1.6053662948447394,16106,0.22761531504371418,0.018340435695340097,0.023319684410266654,0.002479851208927464,-0.03401360544217691,0.04511354599179492
2004-01-27,64565,16441,1813,29472,47294,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,390.5,0.27603190583133275,-17822,0.7149738093804564,14628,-2.2246974531880306,0.0362790818852096,0.09707461378328038,-0.03401360544217691,-0.007682458386683688,0.050754109015389744
2004-02-03,63983,16686,2383,28899,44660,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,387.5,0.24633105668693248,-15761,3.19213196004027,14303,-0.5033686982111051,0.04359765630310363,0.042739524883318475,-0.007682458386683688,-0.003870967741935516,0.0549782310841092
2004-02-10,66367,14054,4389,32406,43004,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,386.0,0.15968779664592342,-10598,8.069330916024569,9665,-7.248800462622884,0.06846572072669407,0.25147752534837065,-0.003870967741935516,-0.012305699481865329,0.058266077519002334
2004-02-17,65099,14253,3926,32629,43640,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,381.25,0.16914238313952595,-11011,-0.6222972260310095,10327,0.997483689182877,0.011262767310440677,0.03641564442488586,-0.012305699481865329,0.034754098360655794,0.062419109090291816
2004-02-24,59876,13716,3794,30407,41586,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,394.5,0.18670251853831252,-11179,-0.2580684803145978,9922,-0.6221293721869767,0.059394663370049866,0.038206739006282124,0.034754098360655794,-0.0392902408111534,0.06714736690388703
2004-03-02,57529,12428,4733,30664,37930,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,379.0,0.12630151749552398,-7266,6.535172690226468,7695,-3.719353330215779,0.057045805755605444,0.1297709923664122,-0.0392902408111534,-0.02638522427440637,0.07118272799487538
2004-03-09,59040,11485,7136,34062,36076,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,369.0,0.03411246612466125,-2014,9.129308696483513,4349,-5.816197048445132,0.07488094898628418,0.17968959776596316,-0.02638522427440637,0.027100271002709952,0.0742792885788974
2004-03-16,60078,11240,8375,34303,34564,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,379.0,0.004344352341955458,-261,2.9691734417344176,2865,-2.513550135501355,0.025454862270753772,0.07565638541932194,0.027100271002709952,0.10026385224274414,0.0771820264239576
2004-03-23,62723,17815,1863,27928,44519,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,417.0,0.2645122203976213,-16591,-27.18133093644928,15952,21.78334831385865,0.22540615898518918,0.6650574245350137,0.10026385224274414,0.003597122302158251,0.0858580000926368
2004-03-30,66212,18125,2309,30235,46827,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,418.5,0.2505890170965988,-16592,-0.0015943114965802018,15816,-0.21682636353490747,0.05988684435908749,0.03699716159342273,0.003597122302158251,0.0029868578255674016,0.0949758524204931
2004-04-06,71609,17725,3007,31779,46978,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,419.75,0.2122498568615677,-15199,2.1038482450311125,14718,-1.6583096719627863,0.02152189646634585,0.05296160524792591,0.0029868578255674016,-0.03275759380583676,0.10359671234623667
2004-04-20,64078,16885,3154,31391,46148,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,406.0,0.2302974499828334,-14757,0.6172408496138754,13731,-1.3783183678029298,0.015708224248442718,0.04925395478816308,-0.03275759380583676,-0.0431034482758621,0.11144365406648613
2004-04-27,59790,16052,2610,29659,42499,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,388.5,0.21475163070747616,-12840,2.9916664065669965,13442,-0.4510128281157339,0.0745724659774384,0.07378630371878683,-0.0431034482758621,0.06821106821106815,0.11866387982875395
2004-05-04,57771,17506,2261,25181,40673,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,415.0,0.26816222672275014,-15492,-4.435524335173105,15245,3.0155544405418966,0.09572691104564643,0.09121262710578236,0.06821106821106815,-0.054216867469879526,0.12733019464118994
2004-05-11,61608,20711,2076,24762,43862,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,392.5,0.31002467212050383,-19100,-6.245348011978328,18635,5.867996053383185,0.052576358125437164,0.14876903497608285,-0.054216867469879526,-0.016560509554140124,0.13786826557742402
2004-05-18,57050,16735,2734,26283,38985,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,386.0,0.22264680105170903,-12702,10.385014933125568,14001,-7.521750422023114,0.09802659802659802,0.23801941548102112,-0.016560509554140124,0.020077720207253957,0.14644026881786196
2004-05-25,57349,16577,2393,26261,39143,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,393.75,0.22462466651554516,-12882,-0.31551270815074495,14184,0.3207712532865907,0.0027521252522781483,0.026304691618344755,0.020077720207253957,0.02412698412698422,0.14989254048187078
2004-06-01,59657,16527,2371,26126,39894,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,403.25,0.2307859932614781,-13768,-1.5449266770126768,14156,-0.04882386789656315,0.013420175704332021,0.003809926976399619,0.02412698412698422,-0.04773713577185368,0.1536093307388838
2004-06-08,60694,15520,2652,28240,40899,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,384.0,0.20857086367680497,-12659,1.8589603902308196,12868,-2.1590090014583367,0.045112020711899216,0.07087827426810478,-0.04773713577185368,-0.02734375,0.15822714158153503
2004-06-15,61923,13918,4328,30859,39234,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,373.5,0.13524861521567108,-8375,7.058358322074669,9590,-5.400863347283092,0.061118799309488825,0.1796558149731448,-0.02734375,-0.0060240963855421326,0.1616549596685903
2004-06-22,60477,12360,5122,30761,36754,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,371.25,0.09909552391818377,-5993,3.8467128530594445,7238,-3.798265587907563,0.038184107235429164,0.13453838233611715,-0.0060240963855421326,-0.032996632996633024,0.1648679575117577
2004-06-29,57394,9685,6474,32818,34722,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,359.0,0.033174199393664845,-1904,6.7612480777816355,3211,-6.658729765034642,0.06054190109564703,0.24921096602512532,-0.032996632996633024,0.011142061281337101,0.16734159902650722
2004-07-06,62748,11095,10163,34561,34079,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,363.0,-0.007681519729712501,482,4.157228978638882,932,-3.9707983412900307,0.03476107226107226,0.23986263994731397,0.011142061281337101,0.011019283746556363,0.1695522769413291
2004-07-13,62527,12834,10513,33636,36391,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,367.0,0.04406096566283366,-2755,-5.158730158730158,2321,2.213616370242876,0.04622502748939695,0.0894761639611085,0.011019283746556363,-0.01498637602179842,0.1729706940104608
2004-07-20,67201,12610,10484,37270,40440,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,361.5,0.047171917084567194,-3170,-0.6637132758648263,2126,-0.311865274201545,0.09886758460944538,0.01095522646574868,-0.01498637602179842,-0.03112033195020747,0.17632242126394418
2004-07-27,72704,12752,12084,42514,42177,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,350.25,-0.004635233274647888,337,5.2186723411854,668,-2.169610571271261,0.08242906566223093,0.07014011918183283,-0.03112033195020747,-0.03140613847251961,0.17762806702641637
2004-08-03,74310,12599,16606,45432,39111,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,339.25,-0.08506257569640695,6321,8.230633802816902,-4007,-6.430182658450705,0.07078054954283619,0.160075329566855,-0.03140613847251961,-0.024318349299926267,0.17552504916060027
2004-08-10,82525,11718,18095,48580,40973,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,331.0,-0.09217812784004847,7607,1.7305880769748352,-6377,-3.189341945902301,0.05594452447154199,0.07949552208767988,-0.024318349299926267,-0.02114803625377648,0.17170345592760766
2004-08-17,74984,11327,16878,47264,39513,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,324.0,-0.10336871865998079,7751,0.17449257800666465,-5551,1.0009088155104513,0.031990043444691564,0.05701116823258288,-0.02114803625377648,0.01620370370370372,0.16651860434151539
2004-08-24,75691,10908,18598,48223,38610,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,329.25,-0.12700321042131826,9613,2.48319641523525,-7690,-2.8526085564920516,0.021443460435548695,0.0724937300887955,0.01620370370370372,0.0015186028853455547,0.15978318569629696
2004-08-31,69482,10467,18067,45962,36649,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,329.75,-0.13403471402665437,9313,-0.39634831089561506,-7600,0.11890449326868453,0.051106995436443085,0.03406462465830238,0.0015186028853455547,-0.01743745261561791,0.15217874454345875
2004-09-07,69037,10216,18643,45581,36501,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,324.0,-0.13152367571012646,9080,-0.3353386488586972,-8427,-1.1902363201980368,0.006444774737457665,0.028656571606777783,-0.01743745261561791,0.07561728395061729,0.14514965813836023
2004-09-14,68133,9675,15750,44771,38392,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,348.5,-0.09362570266977822,6379,-3.9123948027869115,-6075,3.406868780509002,0.03247838582061734,0.1350639134709931,0.07561728395061729,0.042324246771879404,0.1383913215721642
2004-09-21,69591,9421,12410,45541,42711,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,363.25,-0.04066617809774253,2830,-5.208929593589009,-2989,4.52937636681197,0.05766441553732493,0.16462828088498008,0.042324246771879404,-0.049552649690295936,0.1332937802526038
2004-09-28,69461,10668,12479,44510,42614,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,345.25,-0.02729589265919005,1896,-1.3421275739678982,-1811,1.6927476254113318,0.01294706395482301,0.05685401995938998,-0.049552649690295936,-0.027516292541636456,0.1287672041402427
2004-10-05,70916,9609,15663,45412,39130,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,335.75,-0.08858367646229341,6282,6.314334662616432,-6054,-6.108463742243849,0.051879539163965836,0.16789332067109844,-0.027516292541636456,0.011913626209977712,0.12433663386385668
2004-10-12,73065,10777,18733,45819,37759,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,339.75,-0.11031273523574898,8060,2.5071916069716282,-7956,-2.682046364713182,0.02127354088396468,0.1436123348017621,0.011913626209977712,0.019131714495952856,0.11919435912732824
2004-10-19,71368,13834,17040,40221,36446,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,346.25,-0.05289485483690169,3775,-5.864641073017177,-3206,6.501060699377267,0.09014308633440724,0.15385113687892726,0.019131714495952856,-0.012996389891696714,0.11633663684711618
2004-10-26,75359,13865,18248,42846,36328,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,341.75,-0.08649265515731366,6518,3.8434592534469227,-4383,-1.6491985203452526,0.03464521181195847,0.03858250552735652,-0.012996389891696714,-0.002926115581565525,0.1134654490995593
2004-11-02,79681,13263,15750,39307,35471,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,340.75,-0.04814196608978301,3836,-3.558964423625579,-2487,2.5159569527196486,0.05878734387119206,0.10684865405163203,-0.002926115581565525,0.043286867204695545,0.11079348905271394
2004-11-09,86584,19402,11921,32763,40812,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,355.5,0.09296174812898457,-8049,-14.915726459256284,7481,12.5098831590969,0.16153584777437988,0.3182326086262491,0.043286867204695545,-0.008438818565400852,0.11023377981863593
2004-11-16,80113,19521,11673,31073,39469,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,352.5,0.10480196722129992,-8396,-0.4007668853367828,7848,0.4238658412639749,0.042995662158713956,0.011765083028787588,-0.008438818565400852,-0.017021276595744705,0.10958606368307484
2004-11-23,69841,15312,13530,33915,35137,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,346.5,0.017496885783422345,-1222,8.954851272577484,1782,-7.571804825683722,0.10389271853096217,0.21031828583315998,-0.017021276595744705,-0.015873015873015928,0.10656314473798824
2004-11-30,65137,11223,19165,38749,29777,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,341.0,-0.13774045473386862,8972,14.596010939133174,-7942,-13.92305379361693,0.14876105419840643,0.31999473476372253,-0.015873015873015928,0.01026392961876832,0.09992974797802476
2004-12-07,71667,13216,27476,42621,28334,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,344.5,-0.19935256115087838,14287,8.159724887544712,-14260,-9.699556319756821,0.07490663096328659,0.25321930600609455,0.01026392961876832,0.014513788098693858,0.09174141169669964
2004-12-14,68951,12959,25457,40747,27471,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,349.5,-0.19254253020260764,13276,-1.4106911130645903,-12498,2.4585932158455077,0.04012137559002023,0.059246147438567265,0.014513788098693858,-0.03505007153075823,0.0830316737256823
2004-12-21,69238,12469,24083,40254,28473,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,337.25,-0.17015222854501863,11781,-2.168206407448768,-11614,1.2820698757088367,0.02175273182300988,0.05099584154081856,-0.03505007153075823,-0.000741289844329085,0.07382406929565057
2004-12-28,67584,12252,23479,41054,29169,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,337.0,-0.17585523200757575,11885,0.1502065339842283,-11227,0.5589416216528496,0.021303561511185794,0.02297724664856847,-0.000741289844329085,-0.02522255192878342,0.06509019224009976
