,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZS_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-04-08,250245,85188,18330,90030,154105,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,601.0,0.25604907190952864,-64075,-7.159212943651097,66858,9.101559379798177,0.06608229053597395,0.3050097567572789,0.04749455337690622,0.01580698835274541,
2003-04-15,264241,89426,19360,94072,159873,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,610.5,0.2490188880605205,-65801,-0.6897240704109973,70066,1.2819436951787249,0.038630412097107644,0.04842534885003585,0.01580698835274541,-0.0008190008190007703,
2003-04-22,259644,86884,22115,92943,156424,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,610.0,0.2444924589052703,-63481,0.8779863836422054,64769,-2.004609428514122,0.01835848368067948,0.04859677611721208,-0.0008190008190007703,0.017622950819672134,
2003-04-29,244760,83609,23453,86127,146891,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,620.75,0.24825951952933487,-60764,1.0464328079986442,60156,-1.7766634314677021,0.07016196173686153,0.04308718312753358,0.017622950819672134,0.006846556584776398,
2003-05-06,227968,81681,25194,75783,134291,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,625.0,0.25665005614823133,-58508,0.9217192351691452,56487,-1.4990194476221606,0.10921865628302407,0.03432982456140351,0.006846556584776398,0.028000000000000025,
2003-05-13,228340,78738,27965,79133,132070,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,642.5,0.2318341070333713,-52937,2.443764037057833,50773,-2.5064921392476136,0.02637746622917288,0.05355050935775001,0.028000000000000025,0.00038910505836575737,
2003-05-20,234615,81504,33063,83899,131393,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,642.75,0.20243377448159752,-47494,2.3837260225978802,48441,-1.021284050100727,0.025281942663916913,0.06864105719797149,0.00038910505836575737,-0.0190587320108907,
2003-05-27,226964,72021,31977,88678,125602,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,630.5,0.1626865934685677,-36924,4.505253287300471,40044,-3.579055047631226,0.04932798207952212,0.10162695436450701,-0.0190587320108907,-0.03211736716891356,
2003-06-03,225277,60636,36370,99315,117986,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,610.25,0.08288018750249693,-18671,8.042244585044324,24266,-6.951763275233076,0.08399869305709592,0.1626497330062058,-0.03211736716891356,0.03809913969684553,
2003-06-10,223015,67941,40271,95849,117717,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,633.5,0.09805618456157658,-21868,-1.4191417676904434,27670,1.5110286447351482,0.017488738844198045,0.1035559827006247,0.03809913969684553,-0.01933701657458564,
2003-06-17,219421,57510,38233,99316,111210,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,621.25,0.05420629748292096,-11894,4.472344909535233,19277,-3.7634239849337487,0.0473765710648566,0.13023406410912547,-0.01933701657458564,0.023340040241448756,
2003-06-24,227141,59246,36555,98689,116074,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,635.75,0.0765383616344033,-17385,-2.502495203285009,22691,1.5559130621043564,0.025567718834249846,0.03563637122785775,0.023340040241448756,-0.01494298073141953,
2003-07-01,206282,51026,38189,99622,108008,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,626.25,0.0406530865514199,-8386,3.9618562919067895,12837,-4.338274463879264,0.04334152097481096,0.11045227820433784,-0.01494298073141953,-0.019960079840319334,0.21659289895370348
2003-07-08,186585,31478,37787,101817,91667,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,613.75,-0.054398799474770214,10150,8.985757361282129,-6309,-9.281469056922077,0.09580120320026463,0.28802425467407783,-0.019960079840319334,-0.04643584521384925,0.20655616938227853
2003-07-15,187716,26122,41511,112259,89049,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,585.25,-0.12364422851541691,23210,6.999490848674866,-15389,-4.866414770747916,0.06487571283803922,0.13425398843759703,-0.04643584521384925,-0.04015378043571127,0.19476329802878942
2003-07-22,192674,23326,51710,118553,83052,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,561.75,-0.18425423253786188,35501,6.547657099021927,-28384,-6.922691725798547,0.06096574985739441,0.17318353856815397,-0.04015378043571127,-0.039608366711170406,0.1816937280092497
2003-07-29,181182,23054,58621,112208,71964,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,539.5,-0.22211919506352729,40244,2.4616710090619387,-35567,-3.728058793609932,0.09465608235779598,0.08794612794612795,-0.039608366711170406,0.004633920296570837,0.16823329724015715
2003-08-05,175653,20802,57474,112277,71540,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,542.0,-0.23191747365544568,40737,0.27210208519610113,-36672,-0.6098839840602267,0.0026820152651822193,0.04342327150084317,0.004633920296570837,0.053966789667896586,0.15532520785642803
2003-08-12,177014,27525,48017,107245,80881,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,571.25,-0.14893737218525088,26364,-8.182610032279552,-20492,9.211342817942194,0.0764009227857925,0.21418548621958647,0.053966789667896586,-0.006126914660831484,0.14581700223012556
2003-08-19,196787,39681,40935,106885,100280,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,567.75,-0.03356420901787212,6605,-11.162393934943,-1254,10.868066932559007,0.09537808027417759,0.23863749131686018,-0.006126914660831484,0.01585204755614278,0.14038120794988318
2003-08-26,210908,47327,41187,106260,110944,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,576.75,0.022208735562425322,-4684,-5.736659433804062,6140,3.7573620208651994,0.05197418095431024,0.08922882255914319,0.01585204755614278,0.005201560468140354,0.1369055469973109
2003-09-02,212264,47764,37381,104457,113071,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,579.75,0.04058153996909509,-8614,-1.8633717070950369,10383,2.011777647125761,0.018066639696958552,0.04983263844030771,0.005201560468140354,0.061664510564898745,0.13415343251079045
2003-09-09,215151,56590,34624,99814,117616,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,615.5,0.0827418882552254,-17802,-4.3285719669845095,21966,5.45688388045076,0.0422572782044796,0.12698708531585065,0.061664510564898745,-0.0077173030056864045,0.132725334059247
2003-09-16,230740,58505,32474,105903,126988,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,610.75,0.09137990812169541,-21085,-1.525905062026205,26031,1.889370721028487,0.06638727988629874,0.0446806405873883,-0.0077173030056864045,0.0659025787965617,0.13160789011498883
2003-09-23,245042,62067,27596,106981,137060,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,651.0,0.1227503856481746,-30079,-3.8978937332062062,34471,3.657796654242871,0.04568904405407288,0.09413024324414752,0.0659025787965617,0.040322580645161255,0.13137479789217793
2003-09-30,256461,69073,20910,107851,152382,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,677.25,0.17363653732926254,-44531,-5.897764464867247,48163,5.58761355196252,0.0622211633420819,0.15216207505862217,0.040322580645161255,0.015503875968992276,0.13245843223671858
2003-10-07,263408,70147,18229,108221,160585,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,687.75,0.19879426592966046,-52364,-3.0542655608455087,51918,1.464160242687972,0.031892889295625844,0.042488911016565586,0.015503875968992276,0.07815339876408589,0.1341168280790421
2003-10-14,269327,75773,18983,106941,163226,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,741.5,0.2089838746208141,-56285,-1.4885652675697019,56790,1.8496021381279233,0.014513245511109794,0.06733082865464984,0.07815339876408589,-0.015171948752528697,0.13594285360445119
2003-10-21,267664,77093,15366,103415,173306,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,730.25,0.26111468109271324,-69891,-5.051851466804293,61727,1.8330876592395118,0.04916865723960234,0.05339664067316324,-0.015171948752528697,0.07086614173228356,0.13892313521131458
2003-10-28,263976,73612,14357,97735,170723,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,782.0,0.27649483286359366,-72988,-1.1570476418195947,59255,-0.9235459381911651,0.030779488784092857,0.051040707521967967,0.07086614173228356,-0.03196930946291565,0.14212247701718153
2003-11-04,245228,67232,18447,91804,156213,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,757.0,0.2626494527541716,-64409,3.2499166590902204,48785,-3.966269660878262,0.08241773749380082,0.12220030579255127,-0.03196930946291565,0.026420079260237816,0.1448617264657495
2003-11-11,237914,64690,16283,87620,154136,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,777.0,0.27958001630841395,-66516,-0.8592004175705874,48407,-0.15414226760402566,0.025898012872483,0.0581181381448137,0.026420079260237816,0.0,0.1478554662400309
2003-11-18,240829,66069,18403,89763,153813,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,777.0,0.2659563424670617,-64050,1.036508990643678,47666,-0.3114570811301563,0.010124150162577594,0.041422009660005685,0.0,-0.039897039897039854,0.15042287659279244
2003-11-25,241924,66000,18320,92409,155311,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,746.0,0.2600072750119872,-62902,0.4766867777551707,47680,0.005813253387258179,0.016728564508315842,0.0018026565464895636,-0.039897039897039854,0.0365281501340482,0.1527544595378817
2003-12-02,245648,68804,18117,90664,157789,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,773.25,0.27325685533771904,-67125,-1.7455895239827384,50687,1.2429523321373654,0.016997178540810537,0.03459463190713406,0.0365281501340482,0.01778208858713226,0.15526492611704498
2003-12-09,259917,76850,18090,91357,165940,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,787.0,0.2869492953519778,-74583,-3.036051586009249,58760,3.286409822184589,0.03437272879201856,0.08503265220139035,0.01778208858713226,-0.02890724269377387,0.15795236222388034
2003-12-16,259222,70770,19188,91605,162490,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,764.25,0.27345287051253364,-70885,1.4227618816776124,51582,-2.761650834689535,0.014553611838092052,0.07979279219191178,-0.02890724269377387,0.017337258750408813,0.1602623723896534
2003-12-30,246795,73096,14208,87700,160847,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,777.5,0.29638769018821287,-73147,-0.8726111209696708,58888,2.8184336206031895,0.022321733917528678,0.08368459635297351,0.017337258750408813,0.02411575562700974,0.16293149626805653
2004-01-06,243722,74712,14381,85752,165417,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,796.25,0.3268683171810505,-79665,-2.6410583682813673,60331,0.5846958001580259,0.02595065473844304,0.02008014097628321,0.02411575562700974,0.04615384615384621,0.16608412743946027
2004-01-13,257217,84045,15243,87546,174901,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,833.0,0.3396159662852766,-87355,-3.1552342422924475,68802,3.4756813090324226,0.04297248587333823,0.10268108935621625,0.04615384615384621,-0.00570228091236491,0.16494089834915823
2004-01-20,262542,87636,18594,91516,180838,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,828.25,0.3402198505381996,-89322,-0.7647239490391381,69042,0.09330642997935595,0.036375452536037654,0.06534877153346512,-0.00570228091236491,0.008753395713854584,0.165776651761913
2004-01-27,274561,88937,18410,96619,188928,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,835.5,0.3362057976187441,-92309,-1.137722726268559,70527,0.5656237859085403,0.046202551593958266,0.013833642300204011,0.008753395713854584,-0.03949730700179532,0.1678530367703958
2004-02-03,267713,73834,21218,105889,179479,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,802.5,0.2748839242024108,-73590,6.817792767363172,52616,-6.523504794927175,0.06559600235485408,0.1884336994487228,-0.03949730700179532,0.040186915887850505,0.16761297405360778
2004-02-10,267299,71505,24072,103571,173533,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,834.75,0.261736856479074,-69962,1.3551826022643652,47433,-1.936028508141181,0.029822738033373753,0.054228527783881056,0.040186915887850505,0.019466906259359096,0.16762374690580234
2004-02-17,261298,71869,24997,104211,167482,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,851.0,0.24214115684008297,-63271,2.5031893123431064,46872,-0.2098773283850669,0.024627060689822705,0.013307042718807425,0.019466906259359096,0.09253819036427724,0.16722726253881387
2004-02-24,274330,75631,18893,103706,172267,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,929.75,0.249921627237269,-68561,-2.0245084156786506,56738,3.7757656009613547,0.019168541850108526,0.10437560831111675,0.09253819036427724,0.0013444474321053779,0.16753993077170795
2004-03-02,266334,76462,17708,97281,165007,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,931.0,0.25428972643372605,-67726,0.30437793897860244,58754,0.73488134728247,0.05217547123772342,0.021408091748964637,0.0013444474321053779,0.011815252416756072,0.16715258271208538
2004-03-09,252173,73561,17725,94813,161855,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,942.0,0.26585716948285504,-67042,0.25682038342832686,55836,-1.0956167819354645,0.021895990150700515,0.031965471156584796,0.011815252416756072,0.04989384288747356,0.1670731899025739
2004-03-16,262994,76769,19505,96172,163944,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,989.0,0.25769409188042314,-67772,-0.2894838067517141,57264,0.5662779123855448,0.013255624413723108,0.05181045765211791,0.04989384288747356,0.06370070778564196,0.16754146258922134
2004-03-23,268598,74740,20467,97222,166079,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,1052.0,0.25635708382043054,-68857,-0.41255694046252006,54273,-1.137288303155205,0.012096421965735033,0.03141575724474041,0.06370070778564196,-0.03398288973384034,0.1679300170815649
2004-03-30,269823,71515,18265,100378,170508,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,1016.25,0.2599111269239464,-70130,-0.47394247164908154,53250,-0.3808665738389712,0.028000708785245455,0.06044776119402985,-0.03398288973384034,-0.0071340713407134215,0.1684673195166838
2004-04-06,275392,63756,20643,105397,163950,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,1009.0,0.2126169242389031,-58553,4.290590498215497,43113,-3.756907305900535,0.04298172988746858,0.12010805815234778,-0.0071340713407134215,-0.0557482656095144,0.1684647912174274
2004-04-20,262329,54497,20828,106021,148279,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,952.75,0.1610877943345951,-42258,5.9170201022542415,33669,-3.4292935161515223,0.0640778607943374,0.12537670096249584,-0.0557482656095144,0.052742062450800375,0.16663861280252482
2004-04-27,255513,54075,15888,100627,149616,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,1003.0,0.1917280138388262,-48989,-2.565861951976335,38187,1.7222647896343903,0.02689785528466331,0.07664050998384861,0.052742062450800375,0.03514456630109675,0.16553686522133843
2004-05-04,242547,58742,18277,96401,151736,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,1038.25,0.22814134992393226,-55335,-2.483630969852806,40465,0.8915397651000144,0.025574581783450272,0.09161375764421766,0.03514456630109675,0.014688177221285903,0.16522242081785116
2004-05-11,235332,61811,19982,92007,148096,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,1053.5,0.23833987727975797,-56089,-0.3108675844269358,41829,0.5623652323054913,0.03346063980874874,0.05836685290917316,0.014688177221285903,-0.1703844328429046,0.1650316584668977
2004-05-18,215413,40553,22249,100458,125029,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,874.0,0.11406461077093769,-24571,13.392993728009792,18304,-9.99651556099468,0.13977745945442532,0.37458998121078946,-0.1703844328429046,0.009439359267734648,0.16228963067118052
2004-05-25,204428,41921,19083,92977,120139,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,882.25,0.13286829592815075,-27162,-1.2028057730963313,22838,2.1047940467845487,0.05804819910283601,0.07432299521342862,0.009439359267734648,-0.02068574667044487,0.16038644199608013
2004-06-01,201050,41072,18086,93418,118070,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,864.0,0.12261626461079334,-24652,1.227816150429491,22986,0.07239712759504568,0.011868285671054623,0.031204570810372225,-0.02068574667044487,-0.01388888888888884,0.15885148988318007
2004-06-08,204374,40234,18564,91545,112054,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,852.0,0.10035033810562988,-20509,2.0606814225317085,21670,-0.6545635414076101,0.038747734517360105,0.022381713663730058,-0.01388888888888884,0.03755868544600949,0.1576527157415851
2004-06-15,202352,41124,16425,91058,117239,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,884.0,0.12938345062070056,-26181,-2.775304099347275,24699,1.4820867625040366,0.027230348972860866,0.0526334080522685,0.03755868544600949,0.0033936651583710287,0.15854700926308898
2004-06-22,200105,41445,15383,90226,113350,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,887.0,0.1155593313510407,-23124,1.5107337708547481,26062,0.6735787143196015,0.023190356427083742,0.023984655451537974,0.0033936651583710287,0.008455467869222133,0.1588836082398095
2004-06-29,183456,34735,17108,88209,103790,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,894.5,0.0849304465375894,-15581,3.769521001474226,17627,-4.215286974338472,0.06029718904785963,0.16270277568813532,0.008455467869222133,0.09502515371716047,0.15947445726009157
2004-07-06,168902,29585,19828,84534,94422,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,979.5,0.05854282364921671,-9888,3.1031964067678355,9757,-4.2898569684283965,0.07288383736784461,0.15926982777811508,0.09502515371716047,-0.06993363961204702,0.1591283892219149
2004-07-13,178515,28848,27092,89493,90637,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,911.0,0.006408425062319693,-1144,5.176966524967141,1756,-4.737066464577092,0.04854271914728252,0.14302824454772972,-0.06993363961204702,-0.2041712403951701,0.1584698380394322
2004-07-20,169419,25037,32809,91697,75260,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,725.0,-0.09701981477874383,16437,9.848472117189031,-7772,-5.33736660784808,0.10530256293536659,0.16471320402447878,-0.2041712403951701,-0.08206896551724141,0.1576502031297404
2004-07-27,166698,25014,40018,96854,67798,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,665.5,-0.1743032309925734,29056,7.448397169148678,-15004,-4.268706579545388,0.07664042951194033,0.11120679050313692,-0.08206896551724141,-0.09917355371900827,0.15667599154364126
2004-08-03,170508,32066,43239,101653,72406,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,599.5,-0.17152860862833416,29247,0.11457845924966105,-11173,2.2981679444264476,0.05404489282369771,0.13641856450434897,-0.09917355371900827,0.05170975813177647,0.15692071508036293
2004-08-10,168452,28427,47895,103698,67513,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,630.5,-0.21480896635243274,36185,4.069017289511343,-19468,-4.864874375395876,0.04052309723090222,0.10868425879824953,0.05170975813177647,-0.06145915939730373,0.15706129640173014
2004-08-17,172276,28433,49381,105060,66555,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,591.75,-0.22350762729573476,38505,1.3772469308764514,-20948,-0.878588559352219,0.013518631821227749,0.019173927570874136,-0.06145915939730373,0.047739754964089665,0.15722302421634
2004-08-24,176009,29469,51770,108568,70727,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,620.0,-0.21499468777164804,37841,-0.3854280340848406,-22301,-0.7853676658385381,0.04283443486990714,0.04215955390883689,0.047739754964089665,0.011693548387096797,0.15595269122429387
2004-08-31,174311,30928,50049,107126,69061,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,627.25,-0.218374055567348,38065,0.12726621934105642,-19121,1.8067257924310691,0.017640348039299154,0.03927041011645282,0.011693548387096797,-0.0625747309685134,0.15239865571372702
2004-09-07,177806,32437,51898,106355,69180,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,588.0,-0.20907618415576526,37175,-0.5105816615130427,-19461,-0.19505366844318486,0.00507021391745236,0.03981739491314401,-0.0625747309685134,-0.04761904761904767,0.1479508687960695
2004-09-14,181876,32439,58506,107176,62697,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,560.0,-0.24455673095955485,44479,4.107847879149185,-26067,-3.715285198474742,0.04299682704137797,0.07268129089009841,-0.04761904761904767,-0.031696428571428625,0.14246744050898008
2004-09-21,194711,34179,66518,116630,61300,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,542.25,-0.2841647364555675,55330,5.966152763421232,-32339,-3.4485033759264554,0.06098465688754005,0.09684499041679494,-0.031696428571428625,-0.019824804057169243,0.13541154387992638
2004-09-28,207611,35038,72651,125621,66189,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,531.5,-0.28626614196742944,59432,2.1067119988084904,-37613,-2.7086297127537735,0.07236327615869871,0.06492770849390374,-0.019824804057169243,-0.01411100658513642,0.12814911983975089
2004-10-05,231567,39091,83308,146918,79601,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,524.0,-0.2907020430372203,67317,3.797968315744349,-44217,-3.1809489863253875,0.1532277645583814,0.12018072043072248,-0.01411100658513642,-0.020992366412213692,0.120198111595801
2004-10-12,246199,38245,88987,157403,81977,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,513.0,-0.3063619267340647,75426,3.5017942971148743,-50742,-2.817759007112412,0.05372629292338541,0.051284268108651915,-0.020992366412213692,0.02875243664717342,0.11096737190227546
2004-10-19,264885,45197,92842,167431,92141,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,527.75,-0.28423655548634313,75290,-0.05523986693690876,-47645,1.2579254992912239,0.07778959209776093,0.07828946891820428,0.02875243664717342,0.02131691141639025,0.1016783176442754
2004-10-26,234339,32904,68778,147384,88465,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,539.0,-0.2514263524210652,58919,-6.180417917209355,-35874,4.4438152405760984,0.1005855441405306,0.35755590960051925,0.02131691141639025,-0.020408163265306145,0.09282427481654695
2004-11-02,229304,30780,82205,151563,80389,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,528.0,-0.31039144541743713,71174,5.229603267061821,-51425,-6.636112640234873,0.05283420707732634,0.13763773952294553,-0.020408163265306145,-0.03314393939393945,0.08183377238365944
2004-11-09,229696,31465,91675,146389,71931,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,510.5,-0.324158888269713,74458,1.4321599274325785,-60210,-3.831158636569794,0.06244045437889337,0.08246711060581452,-0.03314393939393945,0.05876591576885404,0.07028273928494201
2004-11-16,225177,33489,75539,134578,81719,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,540.5,-0.2347442234331215,52859,-9.403298272499304,-42050,7.9061019782669275,0.09985806553026626,0.1665627178339509,0.05876591576885404,0.03839037927844591,0.06071747628134023
2004-11-23,228585,39758,67215,131640,94241,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,561.25,-0.163610910602183,37399,-6.865710085843581,-27457,6.480679643125185,0.06844311827909386,0.13641760070298112,0.03839037927844591,-0.04721603563474386,0.05219457384075181
2004-11-30,237803,36769,65757,141461,101780,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,534.75,-0.1668650101134132,39681,0.9983157250038279,-28988,-0.669772732244023,0.07136954707471191,0.04337436357606851,-0.04721603563474386,-0.02384291725105192,0.0438710862911273
2004-12-07,242872,29029,78605,146032,87049,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,522.0,-0.24285631937810864,58983,8.116802563466399,-49576,-8.657586321450948,0.08281241285218444,0.1912778490068194,-0.02384291725105192,0.05411877394636022,0.03420063255285622
2004-12-14,253055,32052,69574,148699,101131,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,550.25,-0.18797494615794985,47568,-4.700006587832274,-37522,4.963108139266774,0.06704158828003041,0.11861137897782063,0.05411877394636022,-0.002271694684234493,0.025330790216401052
2004-12-21,242690,37562,70567,141602,99268,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,549.0,-0.1744365239606082,42334,-2.068325067673036,-33005,1.7849874533204242,0.03719848881139204,0.06014112772706674,-0.002271694684234493,0.004098360655737654,0.016457985998851326
2004-12-28,236272,36521,67090,144920,100484,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,551.25,-0.18807137536398727,44436,0.8661255099097613,-30569,1.0037496394577445,0.01847565646851722,0.043605408692127284,0.004098360655737654,-0.03900226757369618,0.007582519731995154
